"TenthTeeEarlyLowestRound_RANKTHISWEEK_2005","TenthTeeEarlyLowestRound_RANKLASTWEEK_2005","TenthTeeEarlyLowestRound_PLAYERNAME_2005","TenthTeeEarlyLowestRound_ROUNDS_2005","TenthTeeEarlyLowestRound_LOWRND_2005","stat_name","year"
1,1,"Phil Mickelson",81,60,"TenthTeeEarlyLowestRound",2005
2,2,"Ben Crane",78,62,"TenthTeeEarlyLowestRound",2005
2,2,"Brandt Jobe",96,62,"TenthTeeEarlyLowestRound",2005
2,2,"Tom Pernice Jr",111,62,"TenthTeeEarlyLowestRound",2005
2,2,"Dean Wilson",86,62,"TenthTeeEarlyLowestRound",2005
6,6,"Aaron Baddeley",84,63,"TenthTeeEarlyLowestRound",2005
6,6,"Harrison Frazar",105,63,"TenthTeeEarlyLowestRound",2005
6,6,"Matt Gogel",78,63,"TenthTeeEarlyLowestRound",2005
6,6,"Shigeki Maruyama",99,63,"TenthTeeEarlyLowestRound",2005
6,6,"Kenny Perry",82,63,"TenthTeeEarlyLowestRound",2005
6,6,"Kevin Stadler",96,63,"TenthTeeEarlyLowestRound",2005
6,6,"Kevin Sutherland",89,63,"TenthTeeEarlyLowestRound",2005
6,6,"Lee Westwood",50,63,"TenthTeeEarlyLowestRound",2005
14,14,"Michael Allen",90,64,"TenthTeeEarlyLowestRound",2005
14,14,"Stephen Ames",82,64,"TenthTeeEarlyLowestRound",2005
14,14,"Arjun Atwal",65,64,"TenthTeeEarlyLowestRound",2005
14,14,"Jaxon Brigman",8,64,"TenthTeeEarlyLowestRound",2005
14,14,"Jonathan Byrd",103,64,"TenthTeeEarlyLowestRound",2005
14,14,"Mark Calcavecchia",92,64,"TenthTeeEarlyLowestRound",2005
14,14,"Chad Campbell",95,64,"TenthTeeEarlyLowestRound",2005
14,14,"Tim Clark",92,64,"TenthTeeEarlyLowestRound",2005
14,14,"Jim Furyk",94,64,"TenthTeeEarlyLowestRound",2005
14,14,"Scott Hend",75,64,"TenthTeeEarlyLowestRound",2005
14,14,"Tim Herron",100,64,"TenthTeeEarlyLowestRound",2005
