"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2010","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2010","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2010","AverageApproachDistanceBogeyorWorse_ROUNDS_2010","AverageApproachDistanceBogeyorWorse_AVGYARDS_2010","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2010","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2010","stat_name","year"
1,NA,"John Daly",63,149.6,856475,159,"AverageApproachDistanceBogeyorWorse",2010
2,NA,"David Lutterus",69,149.7,1018272,189,"AverageApproachDistanceBogeyorWorse",2010
3,NA,"Shaun Micheel",70,151.5,790980,145,"AverageApproachDistanceBogeyorWorse",2010
4,NA,"Michael Sim",64,152.4,707949,129,"AverageApproachDistanceBogeyorWorse",2010
5,NA,"Martin Laird",91,152.5,1273904,232,"AverageApproachDistanceBogeyorWorse",2010
6,NA,"Matt Bettencourt",91,153.1,1240034,225,"AverageApproachDistanceBogeyorWorse",2010
7,NA,"Steve Wheatcroft",74,153.3,1103570,200,"AverageApproachDistanceBogeyorWorse",2010
8,NA,"Josh Teater",101,153.4,1485445,269,"AverageApproachDistanceBogeyorWorse",2010
9,NA,"Matt Jones",89,153.6,1194698,216,"AverageApproachDistanceBogeyorWorse",2010
9,NA,"Ian Poulter",55,153.6,514146,93,"AverageApproachDistanceBogeyorWorse",2010
11,NA,"JB Holmes",100,154.2,1343171,242,"AverageApproachDistanceBogeyorWorse",2010
11,NA,"Bubba Watson",77,154.2,1076832,194,"AverageApproachDistanceBogeyorWorse",2010
13,NA,"Ben Crane",85,154.6,1012643,182,"AverageApproachDistanceBogeyorWorse",2010
14,NA,"Kenny Perry",69,154.8,802454,144,"AverageApproachDistanceBogeyorWorse",2010
15,NA,"JP Hayes",79,154.9,1159671,208,"AverageApproachDistanceBogeyorWorse",2010
15,NA,"Bo Van Pelt",104,154.9,1159901,208,"AverageApproachDistanceBogeyorWorse",2010
17,NA,"Daniel Chopra",74,155,1222394,219,"AverageApproachDistanceBogeyorWorse",2010
17,NA,"John Mallinger",78,155,1004487,180,"AverageApproachDistanceBogeyorWorse",2010
19,NA,"Pat Perez",90,155.5,1175692,210,"AverageApproachDistanceBogeyorWorse",2010
20,NA,"Rod Pampling",77,155.8,1144438,204,"AverageApproachDistanceBogeyorWorse",2010
21,NA,"Rich Barcelo",70,156,1072848,191,"AverageApproachDistanceBogeyorWorse",2010
21,NA,"Jason Day",82,156,1117607,199,"AverageApproachDistanceBogeyorWorse",2010
21,NA,"David Toms",86,156,938112,167,"AverageApproachDistanceBogeyorWorse",2010
21,NA,"Cameron Tringale",55,156,735570,131,"AverageApproachDistanceBogeyorWorse",2010
25,NA,"Aaron Baddeley",94,156.1,1388181,247,"AverageApproachDistanceBogeyorWorse",2010
26,NA,"DJ Trahan",92,156.2,1315547,234,"AverageApproachDistanceBogeyorWorse",2010
27,NA,"Kevin Johnson",62,156.4,1075070,191,"AverageApproachDistanceBogeyorWorse",2010
27,NA,"Marc Leishman",87,156.4,1131994,201,"AverageApproachDistanceBogeyorWorse",2010
29,NA,"Bill Lunde",79,156.6,1178536,209,"AverageApproachDistanceBogeyorWorse",2010
29,NA,"Rory McIlroy",54,156.6,648373,115,"AverageApproachDistanceBogeyorWorse",2010
31,NA,"Ryan Palmer",84,156.7,1156218,205,"AverageApproachDistanceBogeyorWorse",2010
31,NA,"Brett Wetterich",54,156.7,817938,145,"AverageApproachDistanceBogeyorWorse",2010
33,NA,"Spencer Levin",110,156.8,1417143,251,"AverageApproachDistanceBogeyorWorse",2010
33,NA,"Chris Wilson",65,156.8,1078034,191,"AverageApproachDistanceBogeyorWorse",2010
35,NA,"Brendon de Jonge",114,156.9,1327724,235,"AverageApproachDistanceBogeyorWorse",2010
36,NA,"Tom Gillis",97,157,1520759,269,"AverageApproachDistanceBogeyorWorse",2010
36,NA,"Roland Thatcher",72,157,1158350,205,"AverageApproachDistanceBogeyorWorse",2010
38,NA,"Dustin Johnson",83,157.1,1086043,192,"AverageApproachDistanceBogeyorWorse",2010
39,NA,"Matt Every",60,157.3,922881,163,"AverageApproachDistanceBogeyorWorse",2010
40,NA,"Michael Letzig",84,157.4,1376611,243,"AverageApproachDistanceBogeyorWorse",2010
41,NA,"Kris Blanks",91,157.6,1253685,221,"AverageApproachDistanceBogeyorWorse",2010
41,NA,"Steve Flesch",78,157.6,1231552,217,"AverageApproachDistanceBogeyorWorse",2010
43,NA,"Justin Rose",78,157.7,993716,175,"AverageApproachDistanceBogeyorWorse",2010
43,NA,"John Senden",103,157.7,1192120,210,"AverageApproachDistanceBogeyorWorse",2010
45,NA,"Martin Flores",75,158,1268041,223,"AverageApproachDistanceBogeyorWorse",2010
46,NA,"Jonathan Byrd",85,158.2,1190311,209,"AverageApproachDistanceBogeyorWorse",2010
47,NA,"Angel Cabrera",64,158.4,872699,153,"AverageApproachDistanceBogeyorWorse",2010
48,NA,"Paul Casey",64,158.5,582046,102,"AverageApproachDistanceBogeyorWorse",2010
49,NA,"Brian Stuard",81,158.6,1261837,221,"AverageApproachDistanceBogeyorWorse",2010
50,NA,"Blake Adams",84,158.7,1320124,231,"AverageApproachDistanceBogeyorWorse",2010
50,NA,"Jerod Turner",54,158.7,942385,165,"AverageApproachDistanceBogeyorWorse",2010
52,NA,"Michael Bradley",77,158.8,1045888,183,"AverageApproachDistanceBogeyorWorse",2010
53,NA,"Ted Purdy",86,158.9,1527347,267,"AverageApproachDistanceBogeyorWorse",2010
53,NA,"Boo Weekley",88,158.9,1104038,193,"AverageApproachDistanceBogeyorWorse",2010
55,NA,"Henrik Bjornstad",72,159,1139377,199,"AverageApproachDistanceBogeyorWorse",2010
55,NA,"David Duval",71,159,921596,161,"AverageApproachDistanceBogeyorWorse",2010
55,NA,"Alex Prugh",88,159,1356422,237,"AverageApproachDistanceBogeyorWorse",2010
55,NA,"Jeev Milkha Singh",59,159,789743,138,"AverageApproachDistanceBogeyorWorse",2010
59,NA,"Jeff Quinney",91,159.1,1328569,232,"AverageApproachDistanceBogeyorWorse",2010
60,NA,"Geoff Ogilvy",62,159.2,779271,136,"AverageApproachDistanceBogeyorWorse",2010
61,NA,"Michael Connell",89,159.3,1290101,225,"AverageApproachDistanceBogeyorWorse",2010
61,NA,"Garth Mulroy",53,159.3,762944,133,"AverageApproachDistanceBogeyorWorse",2010
61,NA,"Greg Owen",69,159.3,1164175,203,"AverageApproachDistanceBogeyorWorse",2010
64,NA,"Jarrod Lyle",54,159.8,782570,136,"AverageApproachDistanceBogeyorWorse",2010
64,NA,"Ryan Moore",80,159.8,857119,149,"AverageApproachDistanceBogeyorWorse",2010
64,NA,"Vance Veazey",58,159.8,1087611,189,"AverageApproachDistanceBogeyorWorse",2010
67,NA,"Vaughn Taylor",87,159.9,1306462,227,"AverageApproachDistanceBogeyorWorse",2010
68,NA,"John Merrick",109,160.1,1435156,249,"AverageApproachDistanceBogeyorWorse",2010
