"FirstTeeLateRound1ScoringAverage_RANKTHISWEEK_2007","FirstTeeLateRound1ScoringAverage_RANKLASTWEEK_2007","FirstTeeLateRound1ScoringAverage_PLAYERNAME_2007","FirstTeeLateRound1ScoringAverage__2007","FirstTeeLateRound1ScoringAverage_AVG_2007","FirstTeeLateRound1ScoringAverage_TOTALSTROKES_2007","FirstTeeLateRound1ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Craig Barlow",NA,66,66,1,"FirstTeeLateRound1ScoringAverage",2007
2,2,"Jeff Overton",NA,68,272,4,"FirstTeeLateRound1ScoringAverage",2007
3,3,"Chris Riley",NA,68.33,205,3,"FirstTeeLateRound1ScoringAverage",2007
4,4,"KJ Choi",NA,68.4,342,5,"FirstTeeLateRound1ScoringAverage",2007
5,5,"Tom Lehman",NA,68.67,206,3,"FirstTeeLateRound1ScoringAverage",2007
6,6,"Ernie Els",NA,68.71,481,7,"FirstTeeLateRound1ScoringAverage",2007
7,7,"Scott Verplank",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2007
8,8,"Sergio Garcia",NA,68.83,413,6,"FirstTeeLateRound1ScoringAverage",2007
9,9,"Tommy Armour III",NA,69,414,6,"FirstTeeLateRound1ScoringAverage",2007
9,9,"Hunter Mahan",NA,69,276,4,"FirstTeeLateRound1ScoringAverage",2007
11,11,"Brandt Snedeker",NA,69.17,415,6,"FirstTeeLateRound1ScoringAverage",2007
12,12,"Matt Kuchar",NA,69.25,277,4,"FirstTeeLateRound1ScoringAverage",2007
13,13,"Craig Kanada",NA,69.3,693,10,"FirstTeeLateRound1ScoringAverage",2007
14,14,"Duffy Waldorf",NA,69.38,555,8,"FirstTeeLateRound1ScoringAverage",2007
15,15,"Robert Garrigus",NA,69.4,347,5,"FirstTeeLateRound1ScoringAverage",2007
16,16,"Jim Furyk",NA,69.5,834,12,"FirstTeeLateRound1ScoringAverage",2007
16,16,"Justin Leonard",NA,69.5,139,2,"FirstTeeLateRound1ScoringAverage",2007
16,16,"Justin Rose",NA,69.5,139,2,"FirstTeeLateRound1ScoringAverage",2007
16,16,"John Senden",NA,69.5,417,6,"FirstTeeLateRound1ScoringAverage",2007
16,16,"Steve Stricker",NA,69.5,278,4,"FirstTeeLateRound1ScoringAverage",2007
21,21,"Bob Estes",NA,69.57,487,7,"FirstTeeLateRound1ScoringAverage",2007
22,22,"Steve Marino",NA,69.71,488,7,"FirstTeeLateRound1ScoringAverage",2007
22,22,"Arron Oberholser",NA,69.71,488,7,"FirstTeeLateRound1ScoringAverage",2007
24,24,"Freddie Jacobson",NA,69.75,558,8,"FirstTeeLateRound1ScoringAverage",2007
