"ScramblingfromOtherLocations_RANKTHISWEEK_2013","ScramblingfromOtherLocations_RANKLASTWEEK_2013","ScramblingfromOtherLocations_PLAYERNAME_2013","ScramblingfromOtherLocations_ROUNDS_2013","ScramblingfromOtherLocations_Pct_2013","ScramblingfromOtherLocations_SUCCESSES_2013","ScramblingfromOtherLocations_ATTEMPTS_2013","stat_name","year"
1,1,"Charles Howell III",87,74.47,105,141,"ScramblingfromOtherLocations",2013
2,2,"Chris Kirk",89,70.11,122,174,"ScramblingfromOtherLocations",2013
3,3,"David Toms",49,69.23,54,78,"ScramblingfromOtherLocations",2013
4,4,"Morgan Hoffmann",64,68.57,72,105,"ScramblingfromOtherLocations",2013
4,4,"Graeme McDowell",53,68.57,48,70,"ScramblingfromOtherLocations",2013
6,6,"Mark Wilson",56,68.37,67,98,"ScramblingfromOtherLocations",2013
7,7,"Bob Estes",66,67.79,101,149,"ScramblingfromOtherLocations",2013
8,8,"Chris Stroud",88,67.66,113,167,"ScramblingfromOtherLocations",2013
9,9,"John Senden",79,67.29,72,107,"ScramblingfromOtherLocations",2013
10,10,"Chez Reavie",72,67.19,86,128,"ScramblingfromOtherLocations",2013
11,11,"Steve Stricker",51,66.67,40,60,"ScramblingfromOtherLocations",2013
12,12,"Roberto Castro",97,66.48,119,179,"ScramblingfromOtherLocations",2013
13,13,"Jerry Kelly",75,65.94,91,138,"ScramblingfromOtherLocations",2013
14,14,"Richard Lee",81,65.69,90,137,"ScramblingfromOtherLocations",2013
15,15,"Ted Potter Jr",65,65.49,74,113,"ScramblingfromOtherLocations",2013
16,16,"KJ Choi",85,64.66,75,116,"ScramblingfromOtherLocations",2013
17,17,"Bryce Molder",82,64.56,102,158,"ScramblingfromOtherLocations",2013
18,18,"Trevor Immelman",73,64.23,79,123,"ScramblingfromOtherLocations",2013
19,19,"Tim Clark",64,64.13,59,92,"ScramblingfromOtherLocations",2013
20,20,"Lee Westwood",70,64.04,57,89,"ScramblingfromOtherLocations",2013
21,21,"Stephen Ames",49,63.87,76,119,"ScramblingfromOtherLocations",2013
22,22,"Dicky Pride",71,63.83,90,141,"ScramblingfromOtherLocations",2013
23,23,"DJ Trahan",48,63.77,44,69,"ScramblingfromOtherLocations",2013
24,24,"Freddie Jacobson",63,63.73,65,102,"ScramblingfromOtherLocations",2013
25,25,"Ben Curtis",59,63.64,63,99,"ScramblingfromOtherLocations",2013
25,25,"Jordan Spieth",82,63.64,84,132,"ScramblingfromOtherLocations",2013
27,27,"Ryan Moore",72,63.53,54,85,"ScramblingfromOtherLocations",2013
28,28,"Stuart Appleby",88,63.52,101,159,"ScramblingfromOtherLocations",2013
29,29,"Hunter Mahan",91,63.39,71,112,"ScramblingfromOtherLocations",2013
29,29,"Kevin Streelman",86,63.39,71,112,"ScramblingfromOtherLocations",2013
31,31,"George McNeill",68,63.2,79,125,"ScramblingfromOtherLocations",2013
32,32,"William McGirt",75,62.91,95,151,"ScramblingfromOtherLocations",2013
33,33,"Ken Duke",87,62.9,78,124,"ScramblingfromOtherLocations",2013
34,34,"Webb Simpson",92,62.86,66,105,"ScramblingfromOtherLocations",2013
35,35,"Luke Donald",60,62.79,54,86,"ScramblingfromOtherLocations",2013
36,36,"Brendon de Jonge",110,62.71,111,177,"ScramblingfromOtherLocations",2013
37,37,"Bill Haas",85,62.39,68,109,"ScramblingfromOtherLocations",2013
38,38,"Rory McIlroy",56,62.3,38,61,"ScramblingfromOtherLocations",2013
39,39,"Angel Cabrera",73,62.1,77,124,"ScramblingfromOtherLocations",2013
40,40,"Camilo Villegas",79,62.04,85,137,"ScramblingfromOtherLocations",2013
41,41,"Matt Jones",83,61.9,91,147,"ScramblingfromOtherLocations",2013
41,41,"Rod Pampling",46,61.9,65,105,"ScramblingfromOtherLocations",2013
43,43,"Steven Bowditch",67,61.87,86,139,"ScramblingfromOtherLocations",2013
44,44,"Darron Stiles",51,61.82,68,110,"ScramblingfromOtherLocations",2013
45,45,"Jim Herman",59,61.8,55,89,"ScramblingfromOtherLocations",2013
46,46,"Sergio Garcia",65,61.76,42,68,"ScramblingfromOtherLocations",2013
47,47,"Erik Compton",74,61.59,85,138,"ScramblingfromOtherLocations",2013
48,48,"Jonas Blixt",76,61.48,75,122,"ScramblingfromOtherLocations",2013
48,48,"Scott Brown",65,61.48,83,135,"ScramblingfromOtherLocations",2013
48,48,"Jeff Maggert",63,61.48,75,122,"ScramblingfromOtherLocations",2013
51,51,"Ben Crane",62,61.47,67,109,"ScramblingfromOtherLocations",2013
51,51,"Fabian Gomez",65,61.47,67,109,"ScramblingfromOtherLocations",2013
53,53,"Ernie Els",63,61.46,59,96,"ScramblingfromOtherLocations",2013
54,54,"Brian Gay",79,61.39,97,158,"ScramblingfromOtherLocations",2013
55,55,"Troy Matteson",68,61.31,84,137,"ScramblingfromOtherLocations",2013
56,56,"Aaron Watkins",46,61.22,60,98,"ScramblingfromOtherLocations",2013
57,57,"Ian Poulter",59,61.18,52,85,"ScramblingfromOtherLocations",2013
58,58,"Russell Henley",80,61.11,66,108,"ScramblingfromOtherLocations",2013
59,59,"Jason Day",86,60.92,53,87,"ScramblingfromOtherLocations",2013
60,60,"David Hearn",88,60.87,98,161,"ScramblingfromOtherLocations",2013
60,60,"Phil Mickelson",78,60.87,56,92,"ScramblingfromOtherLocations",2013
62,62,"Harris English",95,60.84,87,143,"ScramblingfromOtherLocations",2013
62,62,"Jimmy Walker",84,60.84,87,143,"ScramblingfromOtherLocations",2013
64,64,"Aaron Baddeley",68,60.74,82,135,"ScramblingfromOtherLocations",2013
65,65,"Martin Flores",83,60.71,102,168,"ScramblingfromOtherLocations",2013
66,66,"Vijay Singh",61,60.53,46,76,"ScramblingfromOtherLocations",2013
67,67,"John Huh",88,60.43,84,139,"ScramblingfromOtherLocations",2013
68,68,"Derek Ernst",58,60.42,58,96,"ScramblingfromOtherLocations",2013
69,69,"Luke Guthrie",82,60.33,73,121,"ScramblingfromOtherLocations",2013
70,70,"Scott Piercy",78,60.32,76,126,"ScramblingfromOtherLocations",2013
71,71,"Henrik Norlander",70,60.31,79,131,"ScramblingfromOtherLocations",2013
72,72,"Jason Kokrak",78,60.29,82,136,"ScramblingfromOtherLocations",2013
73,73,"Rickie Fowler",75,60,60,100,"ScramblingfromOtherLocations",2013
74,74,"Greg Chalmers",77,59.87,94,157,"ScramblingfromOtherLocations",2013
75,75,"David Lingmerth",68,59.81,64,107,"ScramblingfromOtherLocations",2013
76,76,"Zach Johnson",84,59.65,68,114,"ScramblingfromOtherLocations",2013
77,77,"JJ Henry",83,59.59,87,146,"ScramblingfromOtherLocations",2013
78,78,"Brian Stuard",78,59.56,81,136,"ScramblingfromOtherLocations",2013
79,79,"YE Yang",56,59.52,50,84,"ScramblingfromOtherLocations",2013
80,80,"Tom Gillis",69,59.4,79,133,"ScramblingfromOtherLocations",2013
81,81,"Brian Harman",89,59.34,108,182,"ScramblingfromOtherLocations",2013
82,82,"Keegan Bradley",88,59.32,70,118,"ScramblingfromOtherLocations",2013
83,83,"Graham DeLaet",94,59.29,83,140,"ScramblingfromOtherLocations",2013
83,83,"Mike Weir",60,59.29,67,113,"ScramblingfromOtherLocations",2013
85,85,"Ricky Barnes",74,59.12,81,137,"ScramblingfromOtherLocations",2013
86,86,"Padraig Harrington",52,58.82,60,102,"ScramblingfromOtherLocations",2013
87,87,"Kevin Stadler",83,58.7,81,138,"ScramblingfromOtherLocations",2013
88,88,"Tiger Woods",61,58.67,44,75,"ScramblingfromOtherLocations",2013
89,89,"Jin Park",52,58.65,61,104,"ScramblingfromOtherLocations",2013
90,90,"Will Claxton",67,58.59,75,128,"ScramblingfromOtherLocations",2013
91,91,"Robert Karlsson",56,58.44,45,77,"ScramblingfromOtherLocations",2013
92,92,"Vaughn Taylor",50,58.33,56,96,"ScramblingfromOtherLocations",2013
93,93,"John Merrick",79,58.27,74,127,"ScramblingfromOtherLocations",2013
94,94,"Martin Kaymer",61,58.16,57,98,"ScramblingfromOtherLocations",2013
95,95,"Bobby Gates",49,58.06,54,93,"ScramblingfromOtherLocations",2013
95,95,"Jeff Overton",78,58.06,90,155,"ScramblingfromOtherLocations",2013
97,97,"Shawn Stefani",63,57.98,69,119,"ScramblingfromOtherLocations",2013
98,98,"Daniel Summerhays",83,57.93,95,164,"ScramblingfromOtherLocations",2013
99,99,"Matt Kuchar",93,57.84,59,102,"ScramblingfromOtherLocations",2013
100,100,"Tag Ridings",69,57.81,74,128,"ScramblingfromOtherLocations",2013
101,101,"Brandt Snedeker",79,57.8,63,109,"ScramblingfromOtherLocations",2013
101,101,"Kyle Stanley",71,57.8,63,109,"ScramblingfromOtherLocations",2013
103,103,"Justin Rose",62,57.75,41,71,"ScramblingfromOtherLocations",2013
104,104,"Billy Horschel",96,57.63,68,118,"ScramblingfromOtherLocations",2013
105,105,"Nick Watney",88,57.6,72,125,"ScramblingfromOtherLocations",2013
106,106,"Geoff Ogilvy",57,57.53,42,73,"ScramblingfromOtherLocations",2013
107,107,"Justin Leonard",86,57.51,111,193,"ScramblingfromOtherLocations",2013
108,108,"Patrick Reed",83,57.45,81,141,"ScramblingfromOtherLocations",2013
109,109,"Justin Hicks",79,57.39,66,115,"ScramblingfromOtherLocations",2013
110,110,"Steve LeBrun",66,57.38,70,122,"ScramblingfromOtherLocations",2013
111,111,"Cameron Tringale",80,57.34,82,143,"ScramblingfromOtherLocations",2013
112,112,"Ryan Palmer",79,57.26,71,124,"ScramblingfromOtherLocations",2013
113,113,"DA Points",87,57.24,87,152,"ScramblingfromOtherLocations",2013
114,114,"Dustin Johnson",71,57.14,40,70,"ScramblingfromOtherLocations",2013
114,114,"Pat Perez",69,57.14,72,126,"ScramblingfromOtherLocations",2013
116,116,"Andrew Svoboda",46,57,57,100,"ScramblingfromOtherLocations",2013
117,117,"Colt Knost",69,56.97,94,165,"ScramblingfromOtherLocations",2013
118,118,"Casey Wittenberg",72,56.83,79,139,"ScramblingfromOtherLocations",2013
119,119,"James Driscoll",76,56.74,80,141,"ScramblingfromOtherLocations",2013
120,120,"Bo Van Pelt",72,56.73,59,104,"ScramblingfromOtherLocations",2013
121,121,"Brian Davis",91,56.63,94,166,"ScramblingfromOtherLocations",2013
122,122,"Marc Leishman",77,56.49,74,131,"ScramblingfromOtherLocations",2013
123,123,"Jason Bohn",70,56.44,92,163,"ScramblingfromOtherLocations",2013
124,124,"Justin Bolli",59,56.41,66,117,"ScramblingfromOtherLocations",2013
125,125,"Doug LaBelle II",72,56.39,75,133,"ScramblingfromOtherLocations",2013
126,126,"Sean OHair",56,56.06,74,132,"ScramblingfromOtherLocations",2013
127,127,"Rory Sabbatini",86,56.03,79,141,"ScramblingfromOtherLocations",2013
128,128,"Seung Yul Noh",71,56,70,125,"ScramblingfromOtherLocations",2013
129,129,"Josh Teater",86,55.86,81,145,"ScramblingfromOtherLocations",2013
130,130,"Bubba Watson",76,55.79,53,95,"ScramblingfromOtherLocations",2013
131,131,"Johnson Wagner",64,55.74,68,122,"ScramblingfromOtherLocations",2013
132,132,"Chad Campbell",78,55.7,83,149,"ScramblingfromOtherLocations",2013
133,133,"Kevin Chappell",80,55.65,64,115,"ScramblingfromOtherLocations",2013
134,134,"Boo Weekley",100,55.63,79,142,"ScramblingfromOtherLocations",2013
135,135,"Lee Williams",62,55.56,75,135,"ScramblingfromOtherLocations",2013
136,136,"Carl Pettersson",82,55.47,71,128,"ScramblingfromOtherLocations",2013
137,137,"Alistair Presnell",59,55.34,57,103,"ScramblingfromOtherLocations",2013
138,138,"DH Lee",65,55.3,73,132,"ScramblingfromOtherLocations",2013
139,139,"Stewart Cink",71,54.74,52,95,"ScramblingfromOtherLocations",2013
139,139,"Brad Fritsch",81,54.74,75,137,"ScramblingfromOtherLocations",2013
139,139,"Robert Garrigus",69,54.74,52,95,"ScramblingfromOtherLocations",2013
