"ScramblingRoughRTPScore_RANKTHISWEEK_2005","ScramblingRoughRTPScore_RANKLASTWEEK_2005","ScramblingRoughRTPScore_PLAYERNAME_2005","ScramblingRoughRTPScore_ROUNDS_2005","ScramblingRoughRTPScore_AVGRTP_2005","ScramblingRoughRTPScore_TOTALHOLES_2005","ScramblingRoughRTPScore_TOTALRTP_2005","stat_name","year"
1,1,"Olin Browne",99,0.335,185,62,"ScramblingRoughRTPScore",2005
2,2,"Fred Funk",102,0.362,199,72,"ScramblingRoughRTPScore",2005
3,3,"Joe Durant",81,0.371,124,46,"ScramblingRoughRTPScore",2005
4,4,"Mathias Gronberg",60,0.375,136,51,"ScramblingRoughRTPScore",2005
5,5,"Kevin Sutherland",89,0.379,174,66,"ScramblingRoughRTPScore",2005
6,6,"Adam Scott",72,0.38,129,49,"ScramblingRoughRTPScore",2005
7,7,"Steve Stricker",62,0.392,158,62,"ScramblingRoughRTPScore",2005
8,8,"Tim Herron",100,0.394,170,67,"ScramblingRoughRTPScore",2005
8,8,"Kevin Na",88,0.394,213,84,"ScramblingRoughRTPScore",2005
10,10,"Stuart Appleby",84,0.395,162,64,"ScramblingRoughRTPScore",2005
11,11,"Bernhard Langer",67,0.396,106,42,"ScramblingRoughRTPScore",2005
12,12,"Jim Furyk",94,0.398,133,53,"ScramblingRoughRTPScore",2005
13,13,"Carlos Franco",78,0.408,147,60,"ScramblingRoughRTPScore",2005
14,14,"Phil Mickelson",81,0.411,129,53,"ScramblingRoughRTPScore",2005
15,15,"Brian Gay",101,0.419,234,98,"ScramblingRoughRTPScore",2005
16,16,"Matt Kuchar",60,0.421,140,59,"ScramblingRoughRTPScore",2005
16,16,"Tom Pernice Jr",111,0.421,242,102,"ScramblingRoughRTPScore",2005
18,18,"Carl Pettersson",109,0.426,223,95,"ScramblingRoughRTPScore",2005
19,19,"Lee Janzen",75,0.432,146,63,"ScramblingRoughRTPScore",2005
20,20,"Arjun Atwal",65,0.436,149,65,"ScramblingRoughRTPScore",2005
20,20,"Jose Maria Olazabal",55,0.436,94,41,"ScramblingRoughRTPScore",2005
22,22,"Luke Donald",67,0.439,82,36,"ScramblingRoughRTPScore",2005
23,23,"Rocco Mediate",73,0.441,143,63,"ScramblingRoughRTPScore",2005
24,24,"Jerry Kelly",101,0.442,199,88,"ScramblingRoughRTPScore",2005
25,25,"Tim Clark",92,0.447,190,85,"ScramblingRoughRTPScore",2005
25,25,"Bob Estes",92,0.447,159,71,"ScramblingRoughRTPScore",2005
27,27,"Tim Petrovic",97,0.449,207,93,"ScramblingRoughRTPScore",2005
28,28,"Ben Crane",78,0.45,202,91,"ScramblingRoughRTPScore",2005
29,29,"DJ Brigman",76,0.451,133,60,"ScramblingRoughRTPScore",2005
30,30,"Vijay Singh",111,0.453,203,92,"ScramblingRoughRTPScore",2005
31,31,"Brandt Jobe",96,0.455,198,90,"ScramblingRoughRTPScore",2005
32,32,"Todd Fischer",99,0.456,261,119,"ScramblingRoughRTPScore",2005
32,32,"Charles Howell III",95,0.456,169,77,"ScramblingRoughRTPScore",2005
32,32,"Neal Lancaster",95,0.456,215,98,"ScramblingRoughRTPScore",2005
32,32,"Stephen Leaney",89,0.456,204,93,"ScramblingRoughRTPScore",2005
36,36,"Tom Byrum",83,0.457,175,80,"ScramblingRoughRTPScore",2005
37,37,"Justin Rose",99,0.458,201,92,"ScramblingRoughRTPScore",2005
38,38,"Billy Mayfair",114,0.459,220,101,"ScramblingRoughRTPScore",2005
39,39,"Bo Van Pelt",112,0.46,213,98,"ScramblingRoughRTPScore",2005
39,39,"Tiger Woods",76,0.46,124,57,"ScramblingRoughRTPScore",2005
41,41,"Shigeki Maruyama",99,0.461,217,100,"ScramblingRoughRTPScore",2005
42,42,"Daniel Chopra",108,0.462,247,114,"ScramblingRoughRTPScore",2005
42,42,"Dan Forsman",52,0.462,104,48,"ScramblingRoughRTPScore",2005
42,42,"Arron Oberholser",65,0.462,119,55,"ScramblingRoughRTPScore",2005
42,42,"Geoff Ogilvy",97,0.462,169,78,"ScramblingRoughRTPScore",2005
46,46,"Jim Carter",62,0.463,149,69,"ScramblingRoughRTPScore",2005
46,46,"Glen Day",80,0.463,205,95,"ScramblingRoughRTPScore",2005
46,46,"Heath Slocum",103,0.463,203,94,"ScramblingRoughRTPScore",2005
49,49,"Chad Campbell",95,0.464,166,77,"ScramblingRoughRTPScore",2005
50,50,"Bill Glasson",54,0.465,101,47,"ScramblingRoughRTPScore",2005
51,51,"Dudley Hart",84,0.466,148,69,"ScramblingRoughRTPScore",2005
51,51,"Ted Purdy",122,0.466,262,122,"ScramblingRoughRTPScore",2005
51,51,"Loren Roberts",54,0.466,103,48,"ScramblingRoughRTPScore",2005
54,54,"Paul Gow",78,0.467,184,86,"ScramblingRoughRTPScore",2005
54,54,"JP Hayes",63,0.467,137,64,"ScramblingRoughRTPScore",2005
56,56,"Freddie Jacobson",72,0.469,147,69,"ScramblingRoughRTPScore",2005
57,57,"Briny Baird",98,0.47,185,87,"ScramblingRoughRTPScore",2005
57,57,"Brian Davis",75,0.47,149,70,"ScramblingRoughRTPScore",2005
59,59,"David Toms",87,0.471,138,65,"ScramblingRoughRTPScore",2005
60,60,"Scott Verplank",87,0.472,161,76,"ScramblingRoughRTPScore",2005
61,61,"Rory Sabbatini",81,0.473,186,88,"ScramblingRoughRTPScore",2005
62,62,"Gavin Coles",70,0.474,171,81,"ScramblingRoughRTPScore",2005
63,63,"Jesper Parnevik",84,0.476,189,90,"ScramblingRoughRTPScore",2005
64,64,"Jeff Hart",63,0.477,128,61,"ScramblingRoughRTPScore",2005
64,64,"Larry Mize",54,0.477,130,62,"ScramblingRoughRTPScore",2005
66,66,"Stephen Ames",82,0.479,165,79,"ScramblingRoughRTPScore",2005
66,66,"Tommy Armour III",103,0.479,188,90,"ScramblingRoughRTPScore",2005
66,66,"Steve Elkington",67,0.479,121,58,"ScramblingRoughRTPScore",2005
69,69,"Stewart Cink",98,0.48,171,82,"ScramblingRoughRTPScore",2005
69,69,"Kenny Perry",82,0.48,125,60,"ScramblingRoughRTPScore",2005
71,71,"Phillip Price",77,0.481,154,74,"ScramblingRoughRTPScore",2005
72,72,"Padraig Harrington",50,0.482,112,54,"ScramblingRoughRTPScore",2005
73,73,"Len Mattiace",86,0.483,232,112,"ScramblingRoughRTPScore",2005
74,74,"Ben Curtis",65,0.484,126,61,"ScramblingRoughRTPScore",2005
75,75,"Mario Tiziani",67,0.486,146,71,"ScramblingRoughRTPScore",2005
76,76,"Davis Love III",80,0.487,156,76,"ScramblingRoughRTPScore",2005
77,77,"Bob Heintz",67,0.488,172,84,"ScramblingRoughRTPScore",2005
78,78,"Brendan Jones",81,0.489,178,87,"ScramblingRoughRTPScore",2005
78,78,"Chris Riley",67,0.489,133,65,"ScramblingRoughRTPScore",2005
80,80,"Ryuji Imada",78,0.49,153,75,"ScramblingRoughRTPScore",2005
81,81,"Harrison Frazar",105,0.491,216,106,"ScramblingRoughRTPScore",2005
82,82,"Jason Bohn",91,0.492,185,91,"ScramblingRoughRTPScore",2005
82,82,"Matt Gogel",78,0.492,189,93,"ScramblingRoughRTPScore",2005
82,82,"Todd Hamilton",94,0.492,177,87,"ScramblingRoughRTPScore",2005
82,82,"Franklin Langham",91,0.492,191,94,"ScramblingRoughRTPScore",2005
86,86,"Zach Johnson",96,0.494,178,88,"ScramblingRoughRTPScore",2005
86,86,"Jeff Sluman",94,0.494,180,89,"ScramblingRoughRTPScore",2005
88,88,"Sergio Garcia",73,0.495,109,54,"ScramblingRoughRTPScore",2005
89,89,"Mark Wilson",74,0.497,155,77,"ScramblingRoughRTPScore",2005
90,90,"Woody Austin",100,0.498,215,107,"ScramblingRoughRTPScore",2005
91,91,"Billy Andrade",83,0.5,204,102,"ScramblingRoughRTPScore",2005
91,91,"Paul Azinger",66,0.5,150,75,"ScramblingRoughRTPScore",2005
91,91,"Jose Coceres",56,0.5,116,58,"ScramblingRoughRTPScore",2005
91,91,"Matt Davidson",53,0.5,128,64,"ScramblingRoughRTPScore",2005
91,91,"Jay Haas",54,0.5,90,45,"ScramblingRoughRTPScore",2005
96,96,"Corey Pavin",77,0.503,155,78,"ScramblingRoughRTPScore",2005
97,97,"Vaughn Taylor",99,0.504,228,115,"ScramblingRoughRTPScore",2005
98,98,"Mark Brooks",72,0.505,184,93,"ScramblingRoughRTPScore",2005
99,99,"Mark OMeara",66,0.506,154,78,"ScramblingRoughRTPScore",2005
99,99,"Lee Westwood",50,0.506,81,41,"ScramblingRoughRTPScore",2005
101,101,"Mark Calcavecchia",92,0.508,185,94,"ScramblingRoughRTPScore",2005
101,101,"Robert Damron",89,0.508,193,98,"ScramblingRoughRTPScore",2005
101,101,"Mike Weir",71,0.508,132,67,"ScramblingRoughRTPScore",2005
104,104,"Pat Perez",89,0.511,227,116,"ScramblingRoughRTPScore",2005
104,104,"Nick Watney",91,0.511,229,117,"ScramblingRoughRTPScore",2005
106,106,"Bob Tway",87,0.512,129,66,"ScramblingRoughRTPScore",2005
107,107,"Aaron Baddeley",84,0.514,255,131,"ScramblingRoughRTPScore",2005
107,107,"Steve Flesch",90,0.514,175,90,"ScramblingRoughRTPScore",2005
107,107,"Scott McCarron",78,0.514,148,76,"ScramblingRoughRTPScore",2005
107,107,"Kirk Triplett",55,0.514,105,54,"ScramblingRoughRTPScore",2005
111,111,"Hunter Haas",83,0.515,163,84,"ScramblingRoughRTPScore",2005
111,111,"Brett Wetterich",76,0.515,169,87,"ScramblingRoughRTPScore",2005
113,113,"Retief Goosen",71,0.518,110,57,"ScramblingRoughRTPScore",2005
114,114,"Joey Sindelar",104,0.52,204,106,"ScramblingRoughRTPScore",2005
114,114,"Omar Uresti",84,0.52,152,79,"ScramblingRoughRTPScore",2005
116,116,"JL Lewis",98,0.521,194,101,"ScramblingRoughRTPScore",2005
117,117,"Rob Rashell",65,0.522,182,95,"ScramblingRoughRTPScore",2005
118,118,"KJ Choi",78,0.523,128,67,"ScramblingRoughRTPScore",2005
118,118,"Roland Thatcher",75,0.523,151,79,"ScramblingRoughRTPScore",2005
120,120,"Jeff Maggert",79,0.525,122,64,"ScramblingRoughRTPScore",2005
121,121,"Alex Cejka",84,0.526,190,100,"ScramblingRoughRTPScore",2005
121,121,"Darron Stiles",78,0.526,137,72,"ScramblingRoughRTPScore",2005
123,123,"Frank Lickliter II",100,0.527,207,109,"ScramblingRoughRTPScore",2005
124,124,"Brett Quigley",96,0.528,176,93,"ScramblingRoughRTPScore",2005
125,125,"Richard Johnson",50,0.529,136,72,"ScramblingRoughRTPScore",2005
126,126,"JJ Henry",102,0.53,166,88,"ScramblingRoughRTPScore",2005
126,126,"Peter Lonard",85,0.53,164,87,"ScramblingRoughRTPScore",2005
126,126,"Joe Ogilvie",103,0.53,236,125,"ScramblingRoughRTPScore",2005
129,129,"John Cook",72,0.531,160,85,"ScramblingRoughRTPScore",2005
130,130,"Marco Dawson",82,0.533,180,96,"ScramblingRoughRTPScore",2005
130,130,"Jay Williamson",53,0.533,107,57,"ScramblingRoughRTPScore",2005
132,132,"Robert Gamez",91,0.534,191,102,"ScramblingRoughRTPScore",2005
133,133,"Brad Faxon",75,0.536,138,74,"ScramblingRoughRTPScore",2005
133,133,"Lucas Glover",88,0.536,192,103,"ScramblingRoughRTPScore",2005
133,133,"Jonathan Kaye",77,0.536,151,81,"ScramblingRoughRTPScore",2005
133,133,"Tom Lehman",69,0.536,110,59,"ScramblingRoughRTPScore",2005
133,133,"Justin Leonard",78,0.536,138,74,"ScramblingRoughRTPScore",2005
133,133,"Brenden Pappas",51,0.536,112,60,"ScramblingRoughRTPScore",2005
133,133,"Patrick Sheehan",114,0.536,267,143,"ScramblingRoughRTPScore",2005
140,140,"Bart Bryant",91,0.538,158,85,"ScramblingRoughRTPScore",2005
