"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2007","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2007","AverageDistanceafterGoingforitShot_PLAYERNAME_2007","AverageDistanceafterGoingforitShot_ROUNDS_2007","AverageDistanceafterGoingforitShot_AVG_2007","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2007","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2007","stat_name","year"
1,1,"Joey Sindelar",75,20.1,67405,93,"AverageDistanceafterGoingforitShot",2007
2,2,"Brett Wetterich",88,20.3,120592,165,"AverageDistanceafterGoingforitShot",2007
3,3,"Robert Allenby",90,20.5,121941,165,"AverageDistanceafterGoingforitShot",2007
4,4,"Tiger Woods",63,20.6,74017,100,"AverageDistanceafterGoingforitShot",2007
5,5,"Darron Stiles",65,21.5,61054,79,"AverageDistanceafterGoingforitShot",2007
6,6,"Joe Durant",88,21.6,105534,136,"AverageDistanceafterGoingforitShot",2007
7,7,"Craig Barlow",52,21.9,65290,83,"AverageDistanceafterGoingforitShot",2007
7,7,"JB Holmes",71,21.9,153865,195,"AverageDistanceafterGoingforitShot",2007
9,9,"Camilo Villegas",82,22,121228,153,"AverageDistanceafterGoingforitShot",2007
10,10,"Bill Haas",93,22.2,168184,210,"AverageDistanceafterGoingforitShot",2007
10,10,"Phil Mickelson",73,22.2,108055,135,"AverageDistanceafterGoingforitShot",2007
12,12,"Davis Love III",66,22.4,88038,109,"AverageDistanceafterGoingforitShot",2007
12,12,"Brett Quigley",79,22.4,95236,118,"AverageDistanceafterGoingforitShot",2007
14,14,"Chad Campbell",96,22.5,97003,120,"AverageDistanceafterGoingforitShot",2007
14,14,"Ted Purdy",102,22.5,142698,176,"AverageDistanceafterGoingforitShot",2007
16,16,"Tommy Armour III",81,22.6,77983,96,"AverageDistanceafterGoingforitShot",2007
17,17,"Matt Kuchar",85,22.7,74266,91,"AverageDistanceafterGoingforitShot",2007
17,17,"Bubba Watson",80,22.7,143110,175,"AverageDistanceafterGoingforitShot",2007
19,19,"Steve Allan",63,22.8,105750,129,"AverageDistanceafterGoingforitShot",2007
19,19,"Charles Howell III",89,22.8,113410,138,"AverageDistanceafterGoingforitShot",2007
21,21,"Lucas Glover",98,22.9,149224,181,"AverageDistanceafterGoingforitShot",2007
21,21,"Retief Goosen",50,22.9,54441,66,"AverageDistanceafterGoingforitShot",2007
21,21,"Charley Hoffman",97,22.9,148701,180,"AverageDistanceafterGoingforitShot",2007
24,24,"Harrison Frazar",88,23.1,134691,162,"AverageDistanceafterGoingforitShot",2007
