"GIRPuttingInside5_RANKTHISWEEK_2012","GIRPuttingInside5_RANKLASTWEEK_2012","GIRPuttingInside5_PLAYERNAME_2012","GIRPuttingInside5_ROUNDS_2012","GIRPuttingInside5_Pct_2012","GIRPuttingInside5_ATTEMPTS_2012","GIRPuttingInside5_PUTTSMADE_2012","stat_name","year"
1,1,"Sangmoon Bae",81,100,25,25,"GIRPuttingInside5",2012
2,2,"Bo Van Pelt",84,96.67,30,29,"GIRPuttingInside5",2012
3,3,"Ian Poulter",57,95.83,24,23,"GIRPuttingInside5",2012
4,4,"Luke Donald",63,95.65,23,22,"GIRPuttingInside5",2012
4,4,"Sergio Garcia",57,95.65,23,22,"GIRPuttingInside5",2012
6,6,"Edward Loar",59,94.44,18,17,"GIRPuttingInside5",2012
7,7,"Brian Harman",101,94.12,51,48,"GIRPuttingInside5",2012
7,7,"John Huh",99,94.12,51,48,"GIRPuttingInside5",2012
7,7,"Kevin Stadler",85,94.12,34,32,"GIRPuttingInside5",2012
10,10,"Louis Oosthuizen",65,93.75,32,30,"GIRPuttingInside5",2012
11,11,"Jonas Blixt",72,93.55,31,29,"GIRPuttingInside5",2012
11,11,"Brendon Todd",78,93.55,31,29,"GIRPuttingInside5",2012
13,13,"Gavin Coles",72,93.1,29,27,"GIRPuttingInside5",2012
14,14,"James Driscoll",83,92.59,27,25,"GIRPuttingInside5",2012
15,15,"Roberto Castro",92,92.31,39,36,"GIRPuttingInside5",2012
15,15,"Derek Lamely",64,92.31,26,24,"GIRPuttingInside5",2012
17,17,"Jim Furyk",85,91.89,37,34,"GIRPuttingInside5",2012
17,17,"Jerry Kelly",84,91.89,37,34,"GIRPuttingInside5",2012
19,19,"Greg Chalmers",88,91.67,36,33,"GIRPuttingInside5",2012
19,19,"William McGirt",96,91.67,48,44,"GIRPuttingInside5",2012
19,19,"Ted Potter Jr",77,91.67,36,33,"GIRPuttingInside5",2012
22,22,"Jason Day",57,91.3,23,21,"GIRPuttingInside5",2012
23,23,"Zach Johnson",95,91.11,45,41,"GIRPuttingInside5",2012
24,24,"Ben Crane",73,90.7,43,39,"GIRPuttingInside5",2012
24,24,"Martin Laird",77,90.7,43,39,"GIRPuttingInside5",2012
26,26,"Charl Schwartzel",56,90.48,21,19,"GIRPuttingInside5",2012
27,27,"John Daly",50,90,20,18,"GIRPuttingInside5",2012
28,28,"Matt Bettencourt",80,89.74,39,35,"GIRPuttingInside5",2012
28,28,"Steve Stricker",73,89.74,39,35,"GIRPuttingInside5",2012
28,28,"Charlie Wi",86,89.74,39,35,"GIRPuttingInside5",2012
31,31,"Daniel Chopra",55,89.66,29,26,"GIRPuttingInside5",2012
32,32,"Heath Slocum",93,89.58,48,43,"GIRPuttingInside5",2012
33,33,"Jimmy Walker",101,89.47,38,34,"GIRPuttingInside5",2012
34,34,"Ryuji Imada",78,89.29,28,25,"GIRPuttingInside5",2012
34,34,"Robert Karlsson",54,89.29,28,25,"GIRPuttingInside5",2012
36,36,"Bubba Watson",68,89.19,37,33,"GIRPuttingInside5",2012
37,37,"Erik Compton",81,88.89,36,32,"GIRPuttingInside5",2012
38,38,"Bud Cauley",99,88.68,53,47,"GIRPuttingInside5",2012
38,38,"Ryan Moore",89,88.68,53,47,"GIRPuttingInside5",2012
40,40,"Angel Cabrera",54,88.46,26,23,"GIRPuttingInside5",2012
