"Par5Performance_RANKTHISWEEK_2012","Par5Performance_RANKLASTWEEK_2012","Par5Performance_PLAYERNAME_2012","Par5Performance_ROUNDS_2012","Par5Performance_STATUS_2012","Par5Performance_PAR5AVG_2012","Par5Performance_TOTALPAR_2012","stat_name","year"
1,1,"Brendon de Jonge",115,-144,4.61,1850,"Par5Performance",2012
2,2,"Charles Howell III",98,-134,4.55,1490,"Par5Performance",2012
3,3,"Jeff Overton",101,-132,4.58,1565,"Par5Performance",2012
4,4,"Jimmy Walker",101,-127,4.62,1655,"Par5Performance",2012
5,5,"Robert Garrigus",89,-123,4.57,1430,"Par5Performance",2012
6,6,"Seung Yul Noh",105,-121,4.62,1575,"Par5Performance",2012
7,7,"Blake Adams",107,-117,4.65,1665,"Par5Performance",2012
8,8,"Keegan Bradley",90,-116,4.56,1330,"Par5Performance",2012
8,8,"Zach Johnson",95,-116,4.6,1445,"Par5Performance",2012
8,8,"Josh Teater",97,-116,4.61,1485,"Par5Performance",2012
11,11,"Kevin Chappell",91,-114,4.58,1355,"Par5Performance",2012
11,11,"Will Claxton",99,-114,4.62,1495,"Par5Performance",2012
11,11,"Scott Piercy",95,-114,4.62,1505,"Par5Performance",2012
11,11,"Nick Watney",97,-114,4.62,1515,"Par5Performance",2012
15,15,"Bud Cauley",99,-112,4.65,1605,"Par5Performance",2012
15,15,"Kyle Stanley",86,-112,4.55,1255,"Par5Performance",2012
17,17,"Ken Duke",104,-111,4.65,1595,"Par5Performance",2012
18,18,"Vijay Singh",99,-109,4.64,1510,"Par5Performance",2012
19,19,"Brian Harman",101,-108,4.66,1575,"Par5Performance",2012
19,19,"Phil Mickelson",79,-108,4.59,1305,"Par5Performance",2012
21,21,"John Huh",99,-106,4.65,1515,"Par5Performance",2012
22,22,"Charley Hoffman",88,-105,4.63,1415,"Par5Performance",2012
23,23,"Rickie Fowler",84,-104,4.61,1325,"Par5Performance",2012
23,23,"Pat Perez",81,-104,4.61,1320,"Par5Performance",2012
23,23,"Bubba Watson",68,-104,4.51,1070,"Par5Performance",2012
26,26,"William McGirt",96,-103,4.66,1535,"Par5Performance",2012
27,27,"Bo Van Pelt",84,-102,4.61,1300,"Par5Performance",2012
28,28,"Sean OHair",84,-101,4.61,1285,"Par5Performance",2012
29,29,"Ben Crane",73,-100,4.59,1210,"Par5Performance",2012
29,29,"Jason Dufner",83,-100,4.61,1270,"Par5Performance",2012
29,29,"Harris English",98,-100,4.67,1525,"Par5Performance",2012
29,29,"Brandt Snedeker",81,-100,4.59,1230,"Par5Performance",2012
33,33,"Roberto Castro",92,-98,4.64,1365,"Par5Performance",2012
33,33,"James Driscoll",83,-98,4.63,1325,"Par5Performance",2012
33,33,"Webb Simpson",77,-98,4.6,1210,"Par5Performance",2012
36,36,"Bobby Gates",87,-97,4.63,1325,"Par5Performance",2012
37,37,"John Senden",81,-96,4.62,1250,"Par5Performance",2012
38,38,"Martin Flores",95,-95,4.67,1425,"Par5Performance",2012
38,38,"Johnson Wagner",88,-95,4.67,1420,"Par5Performance",2012
40,40,"JB Holmes",90,-93,4.66,1360,"Par5Performance",2012
40,40,"Greg Owen",90,-93,4.65,1335,"Par5Performance",2012
40,40,"Scott Stallings",78,-93,4.62,1235,"Par5Performance",2012
43,43,"Carl Pettersson",92,-92,4.66,1370,"Par5Performance",2012
43,43,"Cameron Tringale",88,-92,4.69,1465,"Par5Performance",2012
43,43,"Tiger Woods",69,-92,4.56,1055,"Par5Performance",2012
46,46,"Gary Christian",91,-91,4.65,1305,"Par5Performance",2012
46,46,"Kyle Reifers",86,-91,4.67,1395,"Par5Performance",2012
46,46,"Camilo Villegas",79,-91,4.63,1225,"Par5Performance",2012
