"ConsecutiveCuts_RANKTHISWEEK_2016","ConsecutiveCuts_RANKLASTWEEK_2016","ConsecutiveCuts_PLAYERNAME_2016","ConsecutiveCuts__2016","ConsecutiveCuts_TOTAL_2016","ConsecutiveCuts_STARTTOURNAMENTID_2016","stat_name","year"
1,3,"JB Holmes",NA,17,2015400,"ConsecutiveCuts",2016
1,2,"Dustin Johnson",NA,17,2015340,"ConsecutiveCuts",2016
3,4,"Bubba Watson",NA,15,2015400,"ConsecutiveCuts",2016
4,5,"Charley Hoffman",NA,11,2016130,"ConsecutiveCuts",2016
4,5,"Billy Horschel",NA,11,2016130,"ConsecutiveCuts",2016
4,5,"Ryan Palmer",NA,11,2016020,"ConsecutiveCuts",2016
7,9,"Adam Scott",NA,10,2016030,"ConsecutiveCuts",2016
8,10,"Retief Goosen",NA,9,2016140,"ConsecutiveCuts",2016
9,10,"Danny Willett",NA,8,2015390,"ConsecutiveCuts",2016
10,17,"Daniel Berger",NA,7,2016180,"ConsecutiveCuts",2016
10,13,"Jason Day",NA,7,2016150,"ConsecutiveCuts",2016
10,17,"Emiliano Grillo",NA,7,2016140,"ConsecutiveCuts",2016
10,17,"Ian Poulter",NA,7,2016170,"ConsecutiveCuts",2016
10,17,"Patrick Reed",NA,7,2016180,"ConsecutiveCuts",2016
10,17,"Steve Wheatcroft",NA,7,2016170,"ConsecutiveCuts",2016
16,17,"Kiradech Aphibarnrat",NA,6,2015440,"ConsecutiveCuts",2016
16,17,"Sangmoon Bae",NA,6,2015430,"ConsecutiveCuts",2016
16,30,"Graham DeLaet",NA,6,2016170,"ConsecutiveCuts",2016
16,17,"Bryce Molder",NA,6,2016200,"ConsecutiveCuts",2016
16,17,"Thorbjorn Olesen",NA,6,2014400,"ConsecutiveCuts",2016
16,30,"Chris Stroud",NA,6,2016210,"ConsecutiveCuts",2016
16,17,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2016
16,17,"Marc Warren",NA,6,2015270,"ConsecutiveCuts",2016
24,45,"Angel Cabrera",NA,5,2016200,"ConsecutiveCuts",2016
24,30,"Victor Dubuisson",NA,5,2015430,"ConsecutiveCuts",2016
24,30,"Marcus Fraser",NA,5,2013350,"ConsecutiveCuts",2016
24,30,"Sergio Garcia",NA,5,2016170,"ConsecutiveCuts",2016
24,45,"Lucas Glover",NA,5,2016200,"ConsecutiveCuts",2016
24,30,"KT Kim",NA,5,2012350,"ConsecutiveCuts",2016
24,45,"Michael Kim",NA,5,2016230,"ConsecutiveCuts",2016
