"Approach150175yardsRTPScore_RANKTHISWEEK_2006","Approach150175yardsRTPScore_RANKLASTWEEK_2006","Approach150175yardsRTPScore_PLAYERNAME_2006","Approach150175yardsRTPScore_ROUNDS_2006","Approach150175yardsRTPScore_AVGRTP_2006","stat_name","year"
1,1,"Rod Pampling",89,-0.153,"Approach150175yardsRTPScore",2006
2,2,"Tiger Woods",55,-0.152,"Approach150175yardsRTPScore",2006
3,3,"Luke Donald",66,-0.144,"Approach150175yardsRTPScore",2006
4,4,"Steve Stricker",64,-0.12,"Approach150175yardsRTPScore",2006
5,5,"Frank Lickliter II",99,-0.119,"Approach150175yardsRTPScore",2006
6,6,"Jim Furyk",89,-0.111,"Approach150175yardsRTPScore",2006
7,7,"Brian Gay",107,-0.11,"Approach150175yardsRTPScore",2006
8,8,"David Howell",52,-0.105,"Approach150175yardsRTPScore",2006
9,9,"Adam Scott",70,-0.104,"Approach150175yardsRTPScore",2006
10,10,"Skip Kendall",72,-0.094,"Approach150175yardsRTPScore",2006
11,11,"Zach Johnson",98,-0.083,"Approach150175yardsRTPScore",2006
11,11,"Kirk Triplett",58,-0.083,"Approach150175yardsRTPScore",2006
13,13,"Jeff Gove",91,-0.082,"Approach150175yardsRTPScore",2006
14,14,"Scott Verplank",88,-0.08,"Approach150175yardsRTPScore",2006
15,15,"David Toms",76,-0.079,"Approach150175yardsRTPScore",2006
16,16,"David Branshaw",98,-0.077,"Approach150175yardsRTPScore",2006
17,17,"Jerry Kelly",100,-0.076,"Approach150175yardsRTPScore",2006
18,18,"Trevor Immelman",86,-0.073,"Approach150175yardsRTPScore",2006
18,18,"Justin Rose",98,-0.073,"Approach150175yardsRTPScore",2006
20,20,"Stewart Cink",93,-0.071,"Approach150175yardsRTPScore",2006
21,21,"Woody Austin",107,-0.069,"Approach150175yardsRTPScore",2006
22,22,"Brandt Jobe",91,-0.067,"Approach150175yardsRTPScore",2006
23,23,"Brett Wetterich",82,-0.065,"Approach150175yardsRTPScore",2006
24,24,"Shaun Micheel",96,-0.063,"Approach150175yardsRTPScore",2006
25,25,"Bubba Dickerson",98,-0.062,"Approach150175yardsRTPScore",2006
25,25,"Mathias Gronberg",92,-0.062,"Approach150175yardsRTPScore",2006
27,27,"Kent Jones",103,-0.06,"Approach150175yardsRTPScore",2006
28,28,"Stephen Ames",63,-0.059,"Approach150175yardsRTPScore",2006
28,28,"Ryuji Imada",105,-0.059,"Approach150175yardsRTPScore",2006
30,30,"JB Holmes",81,-0.058,"Approach150175yardsRTPScore",2006
31,31,"Fred Funk",106,-0.056,"Approach150175yardsRTPScore",2006
31,31,"Arron Oberholser",82,-0.056,"Approach150175yardsRTPScore",2006
33,33,"Bernhard Langer",77,-0.055,"Approach150175yardsRTPScore",2006
33,33,"Vijay Singh",103,-0.055,"Approach150175yardsRTPScore",2006
35,35,"Tom Pernice Jr",108,-0.054,"Approach150175yardsRTPScore",2006
36,36,"Robert Damron",91,-0.053,"Approach150175yardsRTPScore",2006
36,36,"Carl Pettersson",95,-0.053,"Approach150175yardsRTPScore",2006
36,36,"Dean Wilson",115,-0.053,"Approach150175yardsRTPScore",2006
39,39,"Corey Pavin",74,-0.052,"Approach150175yardsRTPScore",2006
39,39,"Brett Quigley",109,-0.052,"Approach150175yardsRTPScore",2006
41,41,"Doug Barron",74,-0.051,"Approach150175yardsRTPScore",2006
41,41,"Chad Campbell",91,-0.051,"Approach150175yardsRTPScore",2006
41,41,"Freddie Jacobson",56,-0.051,"Approach150175yardsRTPScore",2006
41,41,"Mark Wilson",79,-0.051,"Approach150175yardsRTPScore",2006
45,45,"Aaron Baddeley",78,-0.05,"Approach150175yardsRTPScore",2006
45,45,"Brent Geiberger",99,-0.05,"Approach150175yardsRTPScore",2006
45,45,"Hunter Mahan",98,-0.05,"Approach150175yardsRTPScore",2006
45,45,"Jerry Smith",94,-0.05,"Approach150175yardsRTPScore",2006
49,49,"Stuart Appleby",83,-0.049,"Approach150175yardsRTPScore",2006
49,49,"Richard Johnson",94,-0.049,"Approach150175yardsRTPScore",2006
51,51,"Joey Sindelar",90,-0.048,"Approach150175yardsRTPScore",2006
52,52,"Kevin Sutherland",100,-0.047,"Approach150175yardsRTPScore",2006
53,53,"Stephen Leaney",84,-0.046,"Approach150175yardsRTPScore",2006
54,54,"Steve Flesch",119,-0.045,"Approach150175yardsRTPScore",2006
54,54,"Greg Kraft",79,-0.045,"Approach150175yardsRTPScore",2006
56,56,"Mathew Goggin",72,-0.044,"Approach150175yardsRTPScore",2006
56,56,"Nathan Green",108,-0.044,"Approach150175yardsRTPScore",2006
58,58,"Michael Allen",84,-0.042,"Approach150175yardsRTPScore",2006
59,59,"Billy Andrade",78,-0.039,"Approach150175yardsRTPScore",2006
60,60,"Shane Bertsch",104,-0.038,"Approach150175yardsRTPScore",2006
60,60,"Ernie Els",69,-0.038,"Approach150175yardsRTPScore",2006
62,62,"Ian Leggatt",80,-0.037,"Approach150175yardsRTPScore",2006
63,63,"Robert Allenby",79,-0.036,"Approach150175yardsRTPScore",2006
