"2PuttsperRound_RANKTHISWEEK_2007","2PuttsperRound_RANKLASTWEEK_2007","2PuttsperRound_PLAYERNAME_2007","2PuttsperRound_ROUNDS_2007","2PuttsperRound_AVG_2007","2PuttsperRound_TOTAL2PUTTS_2007","2PuttsperRound_TOTALROUNDS_2007","stat_name","year"
1,1,"Joe Durant",88,11.13,968,87,"2PuttsperRound",2007
2,2,"JJ Henry",86,11.04,938,85,"2PuttsperRound",2007
3,3,"Jeff Gove",103,11.02,1135,103,"2PuttsperRound",2007
4,4,"Tom Lehman",62,11,682,62,"2PuttsperRound",2007
5,5,"Joey Sindelar",75,10.95,821,75,"2PuttsperRound",2007
6,6,"Trevor Immelman",74,10.93,743,68,"2PuttsperRound",2007
7,7,"Johnson Wagner",97,10.92,1059,97,"2PuttsperRound",2007
8,8,"Davis Love III",66,10.91,709,65,"2PuttsperRound",2007
9,9,"Stephen Leaney",82,10.9,894,82,"2PuttsperRound",2007
10,10,"John Senden",97,10.89,1056,97,"2PuttsperRound",2007
11,11,"Robert Garrigus",95,10.77,1023,95,"2PuttsperRound",2007
12,12,"Chad Campbell",96,10.73,966,90,"2PuttsperRound",2007
13,13,"Billy Mayfair",98,10.72,1051,98,"2PuttsperRound",2007
13,13,"Brett Quigley",79,10.72,836,78,"2PuttsperRound",2007
15,15,"Duffy Waldorf",69,10.71,739,69,"2PuttsperRound",2007
16,16,"David Branshaw",83,10.7,888,83,"2PuttsperRound",2007
17,17,"Charles Howell III",89,10.67,918,86,"2PuttsperRound",2007
18,18,"Brett Wetterich",88,10.66,927,87,"2PuttsperRound",2007
19,19,"Kevin Stadler",95,10.65,1012,95,"2PuttsperRound",2007
20,20,"Jim Furyk",84,10.63,872,82,"2PuttsperRound",2007
21,21,"Richard Johnson",93,10.59,985,93,"2PuttsperRound",2007
22,22,"Robert Allenby",90,10.55,939,89,"2PuttsperRound",2007
22,22,"Hunter Mahan",91,10.55,960,91,"2PuttsperRound",2007
22,22,"Michael Putnam",96,10.55,1013,96,"2PuttsperRound",2007
25,25,"Nick OHern",72,10.54,717,68,"2PuttsperRound",2007
25,25,"Greg Owen",81,10.54,854,81,"2PuttsperRound",2007
