"RightTendency_RANKTHISWEEK_2009","RightTendency_RANKLASTWEEK_2009","RightTendency_PLAYERNAME_2009","RightTendency_EVENTS_2009","RightTendency_Pct_2009","RightTendency_NUMBEROFTIMES_2009","RightTendency_ATTEMPTS_2009","RightTendency_AVGRTPSCORE_2009","stat_name","year"
1,1,"Steve Flesch",27,38.1,118,310,2.03,"RightTendency",2009
2,2,"KJ Choi",22,39.7,85,214,1.76,"RightTendency",2009
3,3,"David Duval",22,40.4,103,255,1.94,"RightTendency",2009
4,4,"Steve Stricker",22,41.3,111,269,0.63,"RightTendency",2009
5,5,"Peter Tomasulo",25,41.4,84,203,2.02,"RightTendency",2009
6,6,"Nick OHern",27,42.3,145,343,1.45,"RightTendency",2009
7,7,"Webb Simpson",30,42.6,188,441,2.02,"RightTendency",2009
8,8,"Tommy Armour III",19,43.2,98,227,0.92,"RightTendency",2009
9,9,"John Senden",29,43.5,183,421,0.98,"RightTendency",2009
10,10,"JB Holmes",25,43.6,166,381,1.51,"RightTendency",2009
11,11,"Leif Olson",21,44,103,234,2.43,"RightTendency",2009
12,12,"Richard Johnson",26,44.1,127,288,2.28,"RightTendency",2009
12,12,"YE Yang",23,44.1,160,363,1.75,"RightTendency",2009
14,14,"Jason Gore",24,44.2,119,269,2.61,"RightTendency",2009
15,15,"Patrick Sheehan",15,44.3,66,149,2.27,"RightTendency",2009
16,16,"Tim Clark",23,44.5,94,211,1.49,"RightTendency",2009
16,16,"Bubba Watson",24,44.5,146,328,1.16,"RightTendency",2009
18,18,"Jerry Kelly",26,44.6,158,354,1.33,"RightTendency",2009
19,19,"Robert Allenby",21,44.9,111,247,1.71,"RightTendency",2009
20,20,"Bob Heintz",20,45.1,96,213,2.6,"RightTendency",2009
21,21,"Briny Baird",28,45.3,136,300,0.66,"RightTendency",2009
22,22,"Sergio Garcia",17,45.4,103,227,0.19,"RightTendency",2009
23,23,"Kevin Na",26,45.5,166,365,1.14,"RightTendency",2009
24,24,"Matt Weibring",22,45.7,111,243,1.8,"RightTendency",2009
25,25,"Rod Pampling",23,45.8,136,297,1.84,"RightTendency",2009
26,26,"Chez Reavie",27,46.1,123,267,2.03,"RightTendency",2009
27,27,"Jim Furyk",23,46.2,117,253,0.85,"RightTendency",2009
27,27,"Carl Pettersson",29,46.2,175,379,1.2,"RightTendency",2009
29,29,"Matt Bettencourt",31,46.3,207,447,2.08,"RightTendency",2009
29,29,"Brad Faxon",23,46.3,125,270,2.24,"RightTendency",2009
31,31,"Vaughn Taylor",28,46.5,159,342,2.08,"RightTendency",2009
31,31,"Dean Wilson",29,46.5,145,312,1.59,"RightTendency",2009
33,33,"Brett Quigley",28,46.6,177,380,2.77,"RightTendency",2009
34,34,"Spencer Levin",25,46.7,150,321,1.27,"RightTendency",2009
34,34,"Joe Ogilvie",29,46.7,193,413,1.66,"RightTendency",2009
36,36,"Cameron Beckman",26,46.8,166,355,1.57,"RightTendency",2009
36,36,"Lee Janzen",23,46.8,133,284,1.95,"RightTendency",2009
38,38,"Sean OHair",23,46.9,136,290,0.81,"RightTendency",2009
38,38,"Kenny Perry",24,46.9,144,307,2.29,"RightTendency",2009
40,40,"Steve Elkington",23,47,117,249,1.37,"RightTendency",2009
41,41,"Mathew Goggin",26,47.1,123,261,3.25,"RightTendency",2009
42,42,"Charles Warren",20,47.2,108,229,1.94,"RightTendency",2009
43,43,"Eric Axley",30,47.3,169,357,3.73,"RightTendency",2009
43,43,"Rich Beem",26,47.3,124,262,1.85,"RightTendency",2009
45,45,"Jeff Maggert",28,47.5,140,295,1.79,"RightTendency",2009
46,46,"Bill Haas",29,47.7,188,394,0.43,"RightTendency",2009
47,47,"Padraig Harrington",20,47.9,134,280,1.12,"RightTendency",2009
