"CareerMoneyLeaders_RANKTHISWEEK_2010","CareerMoneyLeaders_RANKLASTWEEK_2010","CareerMoneyLeaders_PLAYERNAME_2010","CareerMoneyLeaders__2010","CareerMoneyLeaders_MONEY_2010","stat_name","year"
1,1,"Tiger Woods",NA,94157304,"CareerMoneyLeaders",2010
2,2,"Vijay Singh",NA,63320389,"CareerMoneyLeaders",2010
3,3,"Phil Mickelson",NA,59677389,"CareerMoneyLeaders",2010
4,4,"Jim Furyk",NA,47565963,"CareerMoneyLeaders",2010
5,5,"Ernie Els",NA,40369419,"CareerMoneyLeaders",2010
6,6,"Davis Love III",NA,40162423,"CareerMoneyLeaders",2010
7,7,"David Toms",NA,33349260,"CareerMoneyLeaders",2010
8,8,"Kenny Perry",NA,31610815,"CareerMoneyLeaders",2010
9,9,"Justin Leonard",NA,30368282,"CareerMoneyLeaders",2010
10,10,"Stewart Cink",NA,29450660,"CareerMoneyLeaders",2010
11,11,"Steve Stricker",NA,27666756,"CareerMoneyLeaders",2010
12,12,"Mike Weir",NA,26798637,"CareerMoneyLeaders",2010
13,13,"Sergio Garcia",NA,26548368,"CareerMoneyLeaders",2010
14,14,"Scott Verplank",NA,26175596,"CareerMoneyLeaders",2010
15,15,"Retief Goosen",NA,26158108,"CareerMoneyLeaders",2010
16,16,"Stuart Appleby",NA,25723147,"CareerMoneyLeaders",2010
17,17,"Robert Allenby",NA,24147327,"CareerMoneyLeaders",2010
18,18,"Mark Calcavecchia",NA,23988554,"CareerMoneyLeaders",2010
19,19,"Geoff Ogilvy",NA,22565940,"CareerMoneyLeaders",2010
20,20,"KJ Choi",NA,21970107,"CareerMoneyLeaders",2010
21,21,"Rory Sabbatini",NA,21915363,"CareerMoneyLeaders",2010
22,22,"Jerry Kelly",NA,21747664,"CareerMoneyLeaders",2010
23,23,"Fred Couples",NA,21716857,"CareerMoneyLeaders",2010
24,24,"Adam Scott",NA,21642100,"CareerMoneyLeaders",2010
25,25,"Tom Lehman",NA,21250748,"CareerMoneyLeaders",2010
26,26,"Chris DiMarco",NA,21244288,"CareerMoneyLeaders",2010
27,27,"Fred Funk",NA,21040578,"CareerMoneyLeaders",2010
28,28,"Nick Price",NA,20563108,"CareerMoneyLeaders",2010
29,29,"Charles Howell III",NA,19954780,"CareerMoneyLeaders",2010
30,30,"Zach Johnson",NA,19892643,"CareerMoneyLeaders",2010
31,31,"Padraig Harrington",NA,19296702,"CareerMoneyLeaders",2010
32,32,"Chad Campbell",NA,19281995,"CareerMoneyLeaders",2010
33,33,"Bob Estes",NA,19006588,"CareerMoneyLeaders",2010
34,34,"Billy Mayfair",NA,18687696,"CareerMoneyLeaders",2010
35,35,"Luke Donald",NA,18665195,"CareerMoneyLeaders",2010
36,36,"Stephen Ames",NA,18639142,"CareerMoneyLeaders",2010
37,37,"Scott Hoch",NA,18530156,"CareerMoneyLeaders",2010
38,38,"David Duval",NA,18412583,"CareerMoneyLeaders",2010
39,39,"Jeff Sluman",NA,18165266,"CareerMoneyLeaders",2010
40,40,"Brad Faxon",NA,17769249,"CareerMoneyLeaders",2010
