"LongestDrives_RANKTHISWEEK_2014","LongestDrives_RANKLASTWEEK_2014","LongestDrives_PLAYERNAME_2014","LongestDrives_ROUNDS_2014","LongestDrives_DISTANCE_2014","LongestDrives_TOURNAMENT_2014","LongestDrives_ROUND_2014","LongestDrives_HOLE_2014","LongestDrives_COURSE_2014","stat_name","year"
1,1,"Bubba Watson",76,424,NA,3,16,36,"LongestDrives",2014
2,2,"Webb Simpson",87,397,NA,4,7,656,"LongestDrives",2014
3,3,"Jordan Spieth",102,396,NA,4,7,656,"LongestDrives",2014
4,4,"Gonzalo Fdez Castano",83,395,NA,4,14,766,"LongestDrives",2014
5,5,"Scott Brown",100,390,NA,4,7,656,"LongestDrives",2014
6,6,"Derek Ernst",80,388,NA,4,17,656,"LongestDrives",2014
8,8,"Jimmy Walker",98,387,NA,4,17,656,"LongestDrives",2014
9,9,"Robert Garrigus",80,385,NA,4,18,24,"LongestDrives",2014
9,9,"Martin Laird",66,385,NA,4,12,656,"LongestDrives",2014
11,11,"Branden Grace",32,383,NA,2,5,8,"LongestDrives",2014
12,12,"Pat Perez",84,382,NA,2,8,510,"LongestDrives",2014
14,14,"Bo Van Pelt",83,381,NA,1,5,752,"LongestDrives",2014
14,14,"Jason Dufner",57,381,NA,2,9,36,"LongestDrives",2014
14,14,"Gary Woodland",93,381,NA,2,7,656,"LongestDrives",2014
17,17,"Jason Day",54,380,NA,1,1,505,"LongestDrives",2014
17,17,"Dustin Johnson",58,380,NA,3,12,656,"LongestDrives",2014
17,17,"Bud Cauley",56,380,NA,4,16,698,"LongestDrives",2014
20,20,"Matt Jones",83,379,NA,3,16,36,"LongestDrives",2014
20,20,"Rory McIlroy",66,379,NA,1,10,505,"LongestDrives",2014
20,20,"Jamie Lovemark",64,379,NA,4,3,19,"LongestDrives",2014
25,25,"Johnson Wagner",69,378,NA,2,5,752,"LongestDrives",2014
25,25,"Russell Knox",92,378,NA,2,18,775,"LongestDrives",2014
29,29,"Jason Kokrak",65,377,NA,2,6,775,"LongestDrives",2014
29,29,"Andrew Loupe",65,377,NA,4,18,24,"LongestDrives",2014
31,31,"Henrik Stenson",56,376,NA,2,5,8,"LongestDrives",2014
31,31,"Troy Kelly",4,376,NA,1,10,669,"LongestDrives",2014
31,31,"Rickie Fowler",91,376,NA,4,16,698,"LongestDrives",2014
31,31,"Dustin Morris",4,376,NA,1,7,714,"LongestDrives",2014
36,36,"Charlie Beljan",76,375,NA,2,11,665,"LongestDrives",2014
36,36,"Patrick Reed",92,375,NA,4,17,656,"LongestDrives",2014
36,36,"Patrick Rodgers",23,375,NA,4,18,24,"LongestDrives",2014
