"FirstTeeLatePar4ScoringAverage_RANKTHISWEEK_2011","FirstTeeLatePar4ScoringAverage_RANKLASTWEEK_2011","FirstTeeLatePar4ScoringAverage_PLAYERNAME_2011","FirstTeeLatePar4ScoringAverage_ROUNDS_2011","FirstTeeLatePar4ScoringAverage_AVG_2011","FirstTeeLatePar4ScoringAverage_TOTALSTROKES_2011","FirstTeeLatePar4ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Michael Bradley",74,3.95,514,130,"FirstTeeLatePar4ScoringAverage",2011
1,1,"Webb Simpson",98,3.95,2254,571,"FirstTeeLatePar4ScoringAverage",2011
3,3,"Aaron Baddeley",77,3.96,1455,367,"FirstTeeLatePar4ScoringAverage",2011
3,3,"Matt Kuchar",94,3.96,2069,522,"FirstTeeLatePar4ScoringAverage",2011
3,3,"Chez Reavie",92,3.96,1164,294,"FirstTeeLatePar4ScoringAverage",2011
6,6,"Luke Donald",73,3.97,1723,434,"FirstTeeLatePar4ScoringAverage",2011
6,6,"Chris Kirk",87,3.97,901,227,"FirstTeeLatePar4ScoringAverage",2011
6,6,"Scott McCarron",65,3.97,651,164,"FirstTeeLatePar4ScoringAverage",2011
6,6,"Bryce Molder",82,3.97,1321,333,"FirstTeeLatePar4ScoringAverage",2011
10,10,"Shane Bertsch",62,3.98,956,240,"FirstTeeLatePar4ScoringAverage",2011
10,10,"KJ Choi",77,3.98,1545,388,"FirstTeeLatePar4ScoringAverage",2011
10,10,"Carl Pettersson",95,3.98,1219,306,"FirstTeeLatePar4ScoringAverage",2011
10,10,"Andres Romero",77,3.98,1008,253,"FirstTeeLatePar4ScoringAverage",2011
14,14,"Briny Baird",60,3.99,659,165,"FirstTeeLatePar4ScoringAverage",2011
14,14,"Tommy Gainey",104,3.99,1494,374,"FirstTeeLatePar4ScoringAverage",2011
14,14,"JB Holmes",57,3.99,682,171,"FirstTeeLatePar4ScoringAverage",2011
14,14,"Dustin Johnson",72,3.99,1296,325,"FirstTeeLatePar4ScoringAverage",2011
14,14,"Phil Mickelson",79,3.99,1508,378,"FirstTeeLatePar4ScoringAverage",2011
14,14,"John Rollins",85,3.99,1089,273,"FirstTeeLatePar4ScoringAverage",2011
14,14,"Adam Scott",60,3.99,1571,394,"FirstTeeLatePar4ScoringAverage",2011
14,14,"Steve Stricker",70,3.99,1748,438,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Blake Adams",116,4,1088,272,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Ben Crane",76,4,837,209,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Bill Haas",93,4,1770,442,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Padraig Harrington",60,4,848,212,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Robert Karlsson",61,4,897,224,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Ryan Moore",79,4,1205,301,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Pat Perez",76,4,824,206,"FirstTeeLatePar4ScoringAverage",2011
22,22,"Kevin Streelman",90,4,1077,269,"FirstTeeLatePar4ScoringAverage",2011
30,30,"Greg Chalmers",88,4.01,1135,283,"FirstTeeLatePar4ScoringAverage",2011
30,30,"Paul Goydos",81,4.01,1094,273,"FirstTeeLatePar4ScoringAverage",2011
30,30,"Zach Johnson",79,4.01,1194,298,"FirstTeeLatePar4ScoringAverage",2011
30,30,"Bill Lunde",92,4.01,1031,257,"FirstTeeLatePar4ScoringAverage",2011
30,30,"George McNeill",69,4.01,975,243,"FirstTeeLatePar4ScoringAverage",2011
30,30,"John Merrick",71,4.01,1175,293,"FirstTeeLatePar4ScoringAverage",2011
30,30,"Bo Van Pelt",92,4.01,1284,320,"FirstTeeLatePar4ScoringAverage",2011
30,30,"Nick Watney",80,4.01,1795,448,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Robert Allenby",84,4.02,824,205,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Brendon de Jonge",105,4.02,1645,409,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Tom Gillis",55,4.02,394,98,"FirstTeeLatePar4ScoringAverage",2011
38,38,"David Hearn",88,4.02,1432,356,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Ryuji Imada",83,4.02,832,207,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Freddie Jacobson",92,4.02,1510,376,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Brandt Jobe",100,4.02,1326,330,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Hunter Mahan",92,4.02,1665,414,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Steve Marino",76,4.02,1170,291,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Matt McQuillan",59,4.02,711,177,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Justin Rose",79,4.02,989,246,"FirstTeeLatePar4ScoringAverage",2011
38,38,"John Senden",94,4.02,1562,389,"FirstTeeLatePar4ScoringAverage",2011
38,38,"Garrett Willis",71,4.02,809,201,"FirstTeeLatePar4ScoringAverage",2011
51,51,"DJ Brigman",67,4.03,431,107,"FirstTeeLatePar4ScoringAverage",2011
51,51,"Jason Day",76,4.03,1532,380,"FirstTeeLatePar4ScoringAverage",2011
