"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2012","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2012","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2012","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2012","AveragePuttingDistanceGIR3PlusPutts_AVG_2012","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2012","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2012","stat_name","year"
1,1,"Tommy Biershenk",74,NA,85.5,1,"AveragePuttingDistanceGIR3PlusPutts",2012
2,2,"Rocco Mediate",70,NA,74.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
3,3,"Brendan Steele",77,NA,134.583,2,"AveragePuttingDistanceGIR3PlusPutts",2012
4,4,"JJ Killeen",101,NA,65.917,1,"AveragePuttingDistanceGIR3PlusPutts",2012
5,5,"Hunter Mahan",88,NA,65.333,1,"AveragePuttingDistanceGIR3PlusPutts",2012
6,6,"Hunter Haas",69,NA,122.333,2,"AveragePuttingDistanceGIR3PlusPutts",2012
7,7,"Mark Anderson",75,NA,60.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
8,8,"Justin Rose",69,NA,60.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
9,9,"Kris Blanks",65,NA,60,1,"AveragePuttingDistanceGIR3PlusPutts",2012
10,10,"Sung Kang",75,NA,119.25,2,"AveragePuttingDistanceGIR3PlusPutts",2012
11,11,"Harrison Frazar",56,NA,59.583,1,"AveragePuttingDistanceGIR3PlusPutts",2012
12,12,"JB Holmes",90,NA,118.583,2,"AveragePuttingDistanceGIR3PlusPutts",2012
13,13,"John Mallinger",74,NA,56.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
13,13,"Tom Pernice Jr",62,NA,56.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
15,15,"Billy Mayfair",90,NA,55.333,1,"AveragePuttingDistanceGIR3PlusPutts",2012
16,16,"Robert Karlsson",54,NA,110.25,2,"AveragePuttingDistanceGIR3PlusPutts",2012
17,17,"Webb Simpson",77,NA,54.5,1,"AveragePuttingDistanceGIR3PlusPutts",2012
18,18,"Bubba Watson",68,NA,52.333,1,"AveragePuttingDistanceGIR3PlusPutts",2012
19,19,"Kevin Chappell",91,NA,101.75,2,"AveragePuttingDistanceGIR3PlusPutts",2012
20,20,"Stephen Ames",54,NA,101.667,2,"AveragePuttingDistanceGIR3PlusPutts",2012
21,21,"Brendon de Jonge",115,NA,50,1,"AveragePuttingDistanceGIR3PlusPutts",2012
22,22,"Tommy Gainey",98,NA,96.75,2,"AveragePuttingDistanceGIR3PlusPutts",2012
23,23,"Bob Estes",78,NA,46.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
24,24,"David Mathis",83,NA,90.083,2,"AveragePuttingDistanceGIR3PlusPutts",2012
25,25,"Graeme McDowell",55,NA,44.917,1,"AveragePuttingDistanceGIR3PlusPutts",2012
26,26,"Michael Thompson",80,NA,177.583,4,"AveragePuttingDistanceGIR3PlusPutts",2012
27,27,"Sangmoon Bae",81,NA,43.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
28,28,"Vijay Singh",99,NA,42.083,1,"AveragePuttingDistanceGIR3PlusPutts",2012
29,29,"Steve Wheatcroft",56,NA,41.5,1,"AveragePuttingDistanceGIR3PlusPutts",2012
30,30,"Cameron Beckman",81,NA,41.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
31,31,"Russell Knox",72,NA,41,1,"AveragePuttingDistanceGIR3PlusPutts",2012
32,32,"Sean OHair",84,NA,81.5,2,"AveragePuttingDistanceGIR3PlusPutts",2012
33,33,"Charlie Wi",86,NA,80.25,2,"AveragePuttingDistanceGIR3PlusPutts",2012
34,34,"Ken Duke",104,NA,40.083,1,"AveragePuttingDistanceGIR3PlusPutts",2012
35,35,"Nick OHern",78,NA,38.583,1,"AveragePuttingDistanceGIR3PlusPutts",2012
36,36,"Garth Mulroy",59,NA,35.083,1,"AveragePuttingDistanceGIR3PlusPutts",2012
37,37,"Rickie Fowler",84,NA,34.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
38,38,"Pat Perez",81,NA,69.083,2,"AveragePuttingDistanceGIR3PlusPutts",2012
39,39,"Bud Cauley",99,NA,33.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
39,39,"Kevin Na",80,NA,33.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
