"EarlyScoringAverage_RANKTHISWEEK_2012","EarlyScoringAverage_RANKLASTWEEK_2012","EarlyScoringAverage_PLAYERNAME_2012","EarlyScoringAverage_ROUNDS_2012","EarlyScoringAverage_AVG_2012","EarlyScoringAverage_TOTALSTROKES_2012","EarlyScoringAverage_TOTALEARLYROUNDS_2012","stat_name","year"
1,1,"Tiger Woods",69,69.08,1727,25,"EarlyScoringAverage",2012
2,2,"Jeff Overton",101,69.54,3616,52,"EarlyScoringAverage",2012
3,3,"Henrik Stenson",51,69.55,1530,22,"EarlyScoringAverage",2012
4,4,"Carl Pettersson",92,69.56,2991,43,"EarlyScoringAverage",2012
5,5,"Billy Horschel",63,69.62,2019,29,"EarlyScoringAverage",2012
6,6,"Dustin Johnson",70,69.67,2090,30,"EarlyScoringAverage",2012
7,7,"Sergio Garcia",57,69.71,1673,24,"EarlyScoringAverage",2012
8,8,"Russell Knox",72,69.76,2581,37,"EarlyScoringAverage",2012
9,9,"Matt Kuchar",86,69.77,2442,35,"EarlyScoringAverage",2012
10,10,"Bubba Watson",68,69.78,1884,27,"EarlyScoringAverage",2012
11,11,"Greg Owen",90,69.79,3280,47,"EarlyScoringAverage",2012
12,12,"Ryan Palmer",81,69.81,2513,36,"EarlyScoringAverage",2012
13,13,"Ken Duke",104,69.86,3493,50,"EarlyScoringAverage",2012
13,13,"Jimmy Walker",101,69.86,3423,49,"EarlyScoringAverage",2012
15,15,"Webb Simpson",77,69.87,2096,30,"EarlyScoringAverage",2012
16,16,"Ian Poulter",57,69.92,1748,25,"EarlyScoringAverage",2012
17,17,"Zach Johnson",95,69.93,3147,45,"EarlyScoringAverage",2012
18,18,"Jonas Blixt",72,69.94,2518,36,"EarlyScoringAverage",2012
19,19,"Rory McIlroy",60,70,1330,19,"EarlyScoringAverage",2012
20,20,"Robert Garrigus",89,70.02,2941,42,"EarlyScoringAverage",2012
21,21,"Pat Perez",81,70.08,2733,39,"EarlyScoringAverage",2012
22,22,"Richard Lee",71,70.1,2874,41,"EarlyScoringAverage",2012
23,23,"Roberto Castro",92,70.11,3716,53,"EarlyScoringAverage",2012
24,24,"Gary Christian",91,70.13,3226,46,"EarlyScoringAverage",2012
25,25,"Keegan Bradley",90,70.14,2946,42,"EarlyScoringAverage",2012
26,26,"Charles Howell III",98,70.15,3227,46,"EarlyScoringAverage",2012
27,27,"Greg Chalmers",88,70.2,3089,44,"EarlyScoringAverage",2012
27,27,"David Toms",60,70.2,2106,30,"EarlyScoringAverage",2012
29,29,"Jim Furyk",85,70.22,2528,36,"EarlyScoringAverage",2012
29,29,"Vijay Singh",99,70.22,3441,49,"EarlyScoringAverage",2012
31,31,"Steve Stricker",73,70.23,1826,26,"EarlyScoringAverage",2012
32,32,"Brian Gay",91,70.24,3231,46,"EarlyScoringAverage",2012
32,32,"Padraig Harrington",67,70.24,1756,25,"EarlyScoringAverage",2012
34,34,"Martin Flores",95,70.26,3794,54,"EarlyScoringAverage",2012
34,34,"Louis Oosthuizen",65,70.26,2178,31,"EarlyScoringAverage",2012
34,34,"Josh Teater",97,70.26,3794,54,"EarlyScoringAverage",2012
37,37,"Chris Stroud",86,70.27,2881,41,"EarlyScoringAverage",2012
38,38,"Brendon de Jonge",115,70.28,4006,57,"EarlyScoringAverage",2012
38,38,"Jason Dufner",83,70.28,2249,32,"EarlyScoringAverage",2012
40,40,"Scott Piercy",95,70.3,3234,46,"EarlyScoringAverage",2012
41,41,"Kevin Na",80,70.32,2602,37,"EarlyScoringAverage",2012
42,42,"Blake Adams",107,70.37,4011,57,"EarlyScoringAverage",2012
42,42,"Justin Rose",69,70.37,2111,30,"EarlyScoringAverage",2012
44,44,"Phil Mickelson",79,70.39,2534,36,"EarlyScoringAverage",2012
45,45,"Graham DeLaet",79,70.41,2887,41,"EarlyScoringAverage",2012
45,45,"Luke Donald",63,70.41,2042,29,"EarlyScoringAverage",2012
45,45,"Bob Estes",78,70.41,2887,41,"EarlyScoringAverage",2012
45,45,"Jeff Maggert",83,70.41,3098,44,"EarlyScoringAverage",2012
49,49,"Bill Lunde",83,70.43,3099,44,"EarlyScoringAverage",2012
50,50,"Will Claxton",99,70.46,3382,48,"EarlyScoringAverage",2012
50,50,"Ben Curtis",62,70.46,1832,26,"EarlyScoringAverage",2012
52,52,"Bo Van Pelt",84,70.48,2326,33,"EarlyScoringAverage",2012
53,53,"Brian Harman",101,70.49,4159,59,"EarlyScoringAverage",2012
53,53,"William McGirt",96,70.49,3313,47,"EarlyScoringAverage",2012
55,55,"Jason Day",57,70.5,1974,28,"EarlyScoringAverage",2012
55,55,"Dicky Pride",62,70.5,1974,28,"EarlyScoringAverage",2012
57,57,"Jerry Kelly",84,70.51,3314,47,"EarlyScoringAverage",2012
58,58,"Sean OHair",84,70.52,3244,46,"EarlyScoringAverage",2012
59,59,"Nathan Green",73,70.54,2469,35,"EarlyScoringAverage",2012
59,59,"Ryan Moore",89,70.54,2610,37,"EarlyScoringAverage",2012
61,61,"John Senden",81,70.58,2541,36,"EarlyScoringAverage",2012
62,62,"DA Points",88,70.59,3106,44,"EarlyScoringAverage",2012
62,62,"Kevin Streelman",89,70.59,2894,41,"EarlyScoringAverage",2012
64,64,"Tim Herron",88,70.6,3389,48,"EarlyScoringAverage",2012
65,65,"Brandt Snedeker",81,70.61,2330,33,"EarlyScoringAverage",2012
66,66,"Chris Couch",61,70.62,2401,34,"EarlyScoringAverage",2012
67,67,"Scott Dunlap",57,70.64,1766,25,"EarlyScoringAverage",2012
67,67,"Bill Haas",79,70.64,2543,36,"EarlyScoringAverage",2012
69,69,"Vaughn Taylor",81,70.65,2826,40,"EarlyScoringAverage",2012
69,69,"Johnson Wagner",88,70.65,3038,43,"EarlyScoringAverage",2012
71,71,"KJ Choi",71,70.66,2685,38,"EarlyScoringAverage",2012
71,71,"Brian Davis",91,70.66,3109,44,"EarlyScoringAverage",2012
73,73,"Ben Crane",73,70.67,2544,36,"EarlyScoringAverage",2012
73,73,"Seung Yul Noh",105,70.67,3604,51,"EarlyScoringAverage",2012
73,73,"Kyle Stanley",86,70.67,2968,42,"EarlyScoringAverage",2012
76,76,"David Hearn",95,70.69,3888,55,"EarlyScoringAverage",2012
77,77,"Kyle Reifers",86,70.7,3252,46,"EarlyScoringAverage",2012
78,78,"Hunter Mahan",88,70.71,2970,42,"EarlyScoringAverage",2012
78,78,"David Mathis",83,70.71,2970,42,"EarlyScoringAverage",2012
78,78,"Lee Westwood",60,70.71,1697,24,"EarlyScoringAverage",2012
81,81,"Nick Watney",97,70.74,3537,50,"EarlyScoringAverage",2012
82,82,"John Mallinger",74,70.76,2335,33,"EarlyScoringAverage",2012
83,83,"JB Holmes",90,70.77,3114,44,"EarlyScoringAverage",2012
84,84,"Stuart Appleby",75,70.78,2548,36,"EarlyScoringAverage",2012
84,84,"Camilo Villegas",79,70.78,2902,41,"EarlyScoringAverage",2012
86,86,"Mathew Goggin",65,70.79,2336,33,"EarlyScoringAverage",2012
86,86,"Garth Mulroy",59,70.79,2053,29,"EarlyScoringAverage",2012
88,88,"Harris English",98,70.81,3682,52,"EarlyScoringAverage",2012
88,88,"Matt Every",80,70.81,2549,36,"EarlyScoringAverage",2012
88,88,"Adam Scott",59,70.81,1912,27,"EarlyScoringAverage",2012
91,91,"Gavin Coles",72,70.82,2762,39,"EarlyScoringAverage",2012
92,92,"Patrick Sheehan",58,70.83,2054,29,"EarlyScoringAverage",2012
93,93,"Kevin Stadler",85,70.85,2763,39,"EarlyScoringAverage",2012
94,94,"Charlie Beljan",61,70.86,1984,28,"EarlyScoringAverage",2012
94,94,"Bud Cauley",99,70.86,3614,51,"EarlyScoringAverage",2012
94,94,"Hunter Haas",69,70.86,2551,36,"EarlyScoringAverage",2012
97,97,"John Daly",50,70.87,1630,23,"EarlyScoringAverage",2012
98,98,"Daniel Summerhays",81,70.88,2977,42,"EarlyScoringAverage",2012
