"ScramblingRoughRTPScore_RANKTHISWEEK_2006","ScramblingRoughRTPScore_RANKLASTWEEK_2006","ScramblingRoughRTPScore_PLAYERNAME_2006","ScramblingRoughRTPScore_ROUNDS_2006","ScramblingRoughRTPScore_AVGRTP_2006","ScramblingRoughRTPScore_TOTALHOLES_2006","ScramblingRoughRTPScore_TOTALRTP_2006","stat_name","year"
1,1,"Jim Furyk",89,0.333,111,37,"ScramblingRoughRTPScore",2006
2,2,"Steve Stricker",64,0.339,112,38,"ScramblingRoughRTPScore",2006
3,3,"Corey Pavin",74,0.373,153,57,"ScramblingRoughRTPScore",2006
4,4,"Omar Uresti",61,0.379,140,53,"ScramblingRoughRTPScore",2006
5,5,"Stuart Appleby",83,0.393,178,70,"ScramblingRoughRTPScore",2006
6,6,"JP Hayes",55,0.396,134,53,"ScramblingRoughRTPScore",2006
7,7,"Jason Bohn",104,0.405,227,92,"ScramblingRoughRTPScore",2006
8,8,"Luke Donald",66,0.411,107,44,"ScramblingRoughRTPScore",2006
9,9,"Mark Brooks",90,0.412,216,89,"ScramblingRoughRTPScore",2006
9,9,"Skip Kendall",72,0.412,131,54,"ScramblingRoughRTPScore",2006
11,11,"Scott Verplank",88,0.418,141,59,"ScramblingRoughRTPScore",2006
11,11,"Tiger Woods",55,0.418,67,28,"ScramblingRoughRTPScore",2006
13,13,"Bernhard Langer",77,0.419,129,54,"ScramblingRoughRTPScore",2006
13,13,"JL Lewis",57,0.419,136,57,"ScramblingRoughRTPScore",2006
13,13,"Arron Oberholser",82,0.419,117,49,"ScramblingRoughRTPScore",2006
16,16,"Nick Watney",97,0.424,236,100,"ScramblingRoughRTPScore",2006
17,17,"Aaron Baddeley",78,0.425,200,85,"ScramblingRoughRTPScore",2006
18,18,"Woody Austin",107,0.426,270,115,"ScramblingRoughRTPScore",2006
18,18,"Brian Gay",107,0.426,256,109,"ScramblingRoughRTPScore",2006
20,20,"Jonathan Byrd",66,0.427,117,50,"ScramblingRoughRTPScore",2006
20,20,"Bill Haas",99,0.427,241,103,"ScramblingRoughRTPScore",2006
22,22,"Danny Ellis",68,0.434,159,69,"ScramblingRoughRTPScore",2006
23,23,"Ernie Els",69,0.435,124,54,"ScramblingRoughRTPScore",2006
24,24,"Brent Geiberger",99,0.437,199,87,"ScramblingRoughRTPScore",2006
24,24,"Ian Poulter",53,0.437,87,38,"ScramblingRoughRTPScore",2006
26,26,"Jose Maria Olazabal",62,0.44,100,44,"ScramblingRoughRTPScore",2006
27,27,"John Cook",67,0.441,143,63,"ScramblingRoughRTPScore",2006
28,28,"Stephen Ames",63,0.443,88,39,"ScramblingRoughRTPScore",2006
28,28,"Shane Bertsch",104,0.443,219,97,"ScramblingRoughRTPScore",2006
