"DrivingPct300320Measured_RANKTHISWEEK_2006","DrivingPct300320Measured_RANKLASTWEEK_2006","DrivingPct300320Measured_PLAYERNAME_2006","DrivingPct300320Measured_ROUNDS_2006","DrivingPct300320Measured_Pct_2006","DrivingPct300320Measured_TOTALDRIVESFOR300320_2006","DrivingPct300320Measured_TOTALDRVSOVERALL_2006","DrivingPct300320Measured_RELATIVETOPAR_2006","stat_name","year"
1,1,"John Daly",51,47.67,41,86,3.73,"DrivingPct300320Measured",2006
2,2,"Brett Wetterich",82,41.67,65,156,3.95,"DrivingPct300320Measured",2006
3,3,"Ryan Hietala",61,38.14,45,118,3.84,"DrivingPct300320Measured",2006
4,4,"Matt Hansen",68,37.88,50,132,3.48,"DrivingPct300320Measured",2006
5,5,"Robert Garrigus",85,37.35,62,166,3.82,"DrivingPct300320Measured",2006
6,6,"Bubba Dickerson",98,35.94,69,192,3.88,"DrivingPct300320Measured",2006
7,7,"JB Holmes",81,35.82,48,134,3.52,"DrivingPct300320Measured",2006
8,8,"Tag Ridings",103,35.71,70,196,3.9,"DrivingPct300320Measured",2006
9,9,"Charley Hoffman",100,35.64,67,188,4.19,"DrivingPct300320Measured",2006
10,10,"Harrison Frazar",95,35.63,62,174,3.94,"DrivingPct300320Measured",2006
11,11,"Phil Mickelson",74,34.91,37,106,3.84,"DrivingPct300320Measured",2006
12,12,"Brandt Jobe",91,34.87,53,152,4.13,"DrivingPct300320Measured",2006
13,13,"Retief Goosen",68,34.78,32,92,3.97,"DrivingPct300320Measured",2006
14,14,"Roger Tambellini",64,34.43,42,122,3.67,"DrivingPct300320Measured",2006
15,15,"Scott Gutschewski",53,34.31,35,102,3.89,"DrivingPct300320Measured",2006
16,16,"Tiger Woods",55,34.21,26,76,3.69,"DrivingPct300320Measured",2006
17,17,"James Driscoll",80,33.13,53,160,3.53,"DrivingPct300320Measured",2006
18,18,"Lucas Glover",105,32.97,60,182,3.82,"DrivingPct300320Measured",2006
19,19,"Chris Smith",67,32.84,44,134,3.27,"DrivingPct300320Measured",2006
20,20,"Kris Cox",83,32.72,53,162,3.81,"DrivingPct300320Measured",2006
21,21,"Bill Haas",99,32.29,62,192,3.95,"DrivingPct300320Measured",2006
22,22,"Jonathan Byrd",66,32.26,40,124,3.55,"DrivingPct300320Measured",2006
23,23,"Charles Warren",93,31.98,55,172,3.64,"DrivingPct300320Measured",2006
24,24,"Jon Mills",68,31.82,42,132,4.02,"DrivingPct300320Measured",2006
25,25,"Troy Matteson",101,31.68,64,202,3.69,"DrivingPct300320Measured",2006
26,26,"Nick Watney",97,31.58,60,190,3.53,"DrivingPct300320Measured",2006
27,27,"Daniel Chopra",110,31.55,65,206,4.03,"DrivingPct300320Measured",2006
28,28,"Geoff Ogilvy",76,31.48,34,108,3.74,"DrivingPct300320Measured",2006
29,29,"Nicholas Thompson",96,31.32,57,182,3.51,"DrivingPct300320Measured",2006
30,30,"Will Ma Kenzie",91,31.25,55,176,3.56,"DrivingPct300320Measured",2006
31,31,"Brian Bateman",69,30.77,40,130,3.88,"DrivingPct300320Measured",2006
31,31,"Adam Scott",70,30.77,32,104,3.56,"DrivingPct300320Measured",2006
33,33,"Jeff Overton",95,30.65,57,186,3.96,"DrivingPct300320Measured",2006
34,34,"Fred Couples",52,30.26,23,76,3.39,"DrivingPct300320Measured",2006
35,35,"Chris Couch",75,30.14,44,146,3.55,"DrivingPct300320Measured",2006
36,36,"Davis Love III",85,29.69,38,128,4.03,"DrivingPct300320Measured",2006
37,37,"Alex Aragon",63,29.51,36,122,3.92,"DrivingPct300320Measured",2006
38,38,"John Senden",96,29.31,51,174,3.59,"DrivingPct300320Measured",2006
39,39,"Mathew Goggin",72,28.79,38,132,3.42,"DrivingPct300320Measured",2006
40,40,"John Rollins",93,28.74,50,174,3.52,"DrivingPct300320Measured",2006
41,41,"Bo Van Pelt",102,28.65,55,192,3.47,"DrivingPct300320Measured",2006
42,42,"Ryan Palmer",101,28.42,54,190,3.94,"DrivingPct300320Measured",2006
43,43,"Tim Herron",82,28.36,38,134,3.87,"DrivingPct300320Measured",2006
44,44,"Ian Leggatt",80,28.29,43,152,3.77,"DrivingPct300320Measured",2006
45,45,"Greg Owen",79,28.17,40,142,3.6,"DrivingPct300320Measured",2006
46,46,"Mathias Gronberg",92,28.09,50,178,3.68,"DrivingPct300320Measured",2006
47,47,"Robert Allenby",79,27.87,34,122,3.76,"DrivingPct300320Measured",2006
48,48,"Jason Gore",86,27.5,44,160,3.52,"DrivingPct300320Measured",2006
49,49,"Henrik Bjornstad",97,27.37,52,190,3.56,"DrivingPct300320Measured",2006
50,50,"Carlos Franco",86,27.33,47,172,3.45,"DrivingPct300320Measured",2006
51,51,"Jonathan Kaye",95,27.17,50,184,3.26,"DrivingPct300320Measured",2006
52,52,"Len Mattiace",59,27.12,32,118,3.56,"DrivingPct300320Measured",2006
53,53,"Charles Howell III",96,27.06,46,170,3.39,"DrivingPct300320Measured",2006
54,54,"Jimmy Walker",60,26.72,31,116,4.03,"DrivingPct300320Measured",2006
