"ConsecutivePar4Birdies_RANKTHISWEEK_2006","ConsecutivePar4Birdies_RANKLASTWEEK_2006","ConsecutivePar4Birdies_PLAYERNAME_2006","ConsecutivePar4Birdies_EVENTS_2006","ConsecutivePar4Birdies_NUMBEROFHOLES_2006","stat_name","year"
1,1,"Joe Ogilvie",29,6,"ConsecutivePar4Birdies",2006
1,1,"Vaughn Taylor",26,6,"ConsecutivePar4Birdies",2006
3,3,"Briny Baird",25,5,"ConsecutivePar4Birdies",2006
3,3,"Jonathan Byrd",20,5,"ConsecutivePar4Birdies",2006
3,3,"Chris DiMarco",26,5,"ConsecutivePar4Birdies",2006
3,3,"Steve Flesch",33,5,"ConsecutivePar4Birdies",2006
3,3,"JJ Henry",28,5,"ConsecutivePar4Birdies",2006
3,3,"Richard Johnson",29,5,"ConsecutivePar4Birdies",2006
3,3,"Greg Kraft",26,5,"ConsecutivePar4Birdies",2006
3,3,"Corey Pavin",23,5,"ConsecutivePar4Birdies",2006
3,3,"Pat Perez",19,5,"ConsecutivePar4Birdies",2006
3,3,"DA Points",28,5,"ConsecutivePar4Birdies",2006
3,3,"Chris Riley",27,5,"ConsecutivePar4Birdies",2006
3,3,"Joey Sindelar",29,5,"ConsecutivePar4Birdies",2006
3,3,"Jeff Sluman",29,5,"ConsecutivePar4Birdies",2006
16,16,"Stephen Ames",21,4,"ConsecutivePar4Birdies",2006
16,16,"Tommy Armour III",25,4,"ConsecutivePar4Birdies",2006
16,16,"Arjun Atwal",33,4,"ConsecutivePar4Birdies",2006
16,16,"Woody Austin",31,4,"ConsecutivePar4Birdies",2006
16,16,"Eric Axley",29,4,"ConsecutivePar4Birdies",2006
16,16,"Aaron Baddeley",25,4,"ConsecutivePar4Birdies",2006
16,16,"Doug Barron",28,4,"ConsecutivePar4Birdies",2006
16,16,"Brian Bateman",26,4,"ConsecutivePar4Birdies",2006
16,16,"Shane Bertsch",34,4,"ConsecutivePar4Birdies",2006
16,16,"Henrik Bjornstad",31,4,"ConsecutivePar4Birdies",2006
16,16,"David Branshaw",29,4,"ConsecutivePar4Birdies",2006
16,16,"Jeff Brehaut",33,4,"ConsecutivePar4Birdies",2006
16,16,"Mark Brooks",36,4,"ConsecutivePar4Birdies",2006
16,16,"Mark Calcavecchia",27,4,"ConsecutivePar4Birdies",2006
16,16,"Daniel Chopra",33,4,"ConsecutivePar4Birdies",2006
16,16,"Stewart Cink",26,4,"ConsecutivePar4Birdies",2006
16,16,"Tim Clark",22,4,"ConsecutivePar4Birdies",2006
16,16,"Darren Clarke",11,4,"ConsecutivePar4Birdies",2006
16,16,"Jose Coceres",13,4,"ConsecutivePar4Birdies",2006
16,16,"John Cook",22,4,"ConsecutivePar4Birdies",2006
16,16,"Ben Curtis",26,4,"ConsecutivePar4Birdies",2006
16,16,"Robert Damron",31,4,"ConsecutivePar4Birdies",2006
16,16,"Luke Donald",18,4,"ConsecutivePar4Birdies",2006
16,16,"Todd Fischer",35,4,"ConsecutivePar4Birdies",2006
16,16,"Dan Forsman",15,4,"ConsecutivePar4Birdies",2006
16,16,"Harrison Frazar",29,4,"ConsecutivePar4Birdies",2006
16,16,"Brian Gay",31,4,"ConsecutivePar4Birdies",2006
16,16,"Scott Gump",10,4,"ConsecutivePar4Birdies",2006
16,16,"Scott Gutschewski",19,4,"ConsecutivePar4Birdies",2006
16,16,"Bill Haas",30,4,"ConsecutivePar4Birdies",2006
16,16,"Matt Hansen",25,4,"ConsecutivePar4Birdies",2006
16,16,"Padraig Harrington",15,4,"ConsecutivePar4Birdies",2006
16,16,"Mike Heinen",5,4,"ConsecutivePar4Birdies",2006
16,16,"John Huston",27,4,"ConsecutivePar4Birdies",2006
16,16,"Trevor Immelman",24,4,"ConsecutivePar4Birdies",2006
16,16,"Lee Janzen",28,4,"ConsecutivePar4Birdies",2006
16,16,"Zach Johnson",27,4,"ConsecutivePar4Birdies",2006
16,16,"Kent Jones",32,4,"ConsecutivePar4Birdies",2006
16,16,"Jerry Kelly",31,4,"ConsecutivePar4Birdies",2006
16,16,"Skip Kendall",22,4,"ConsecutivePar4Birdies",2006
