"FinalRoundScoringAverage_RANKTHISWEEK_2015","FinalRoundScoringAverage_RANKLASTWEEK_2015","FinalRoundScoringAverage_PLAYERNAME_2015","FinalRoundScoringAverage__2015","FinalRoundScoringAverage_AVG_2015","FinalRoundScoringAverage_TOTALSTROKES_2015","FinalRoundScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Will Wilcox",NA,67.82,746,11,"FinalRoundScoringAverage",2015
2,2,"Chez Reavie",NA,68.5,548,8,"FinalRoundScoringAverage",2015
3,3,"Rory Sabbatini",NA,68.53,1028,15,"FinalRoundScoringAverage",2015
4,4,"Jason Day",NA,68.59,1166,17,"FinalRoundScoringAverage",2015
5,5,"Robert Streb",NA,68.64,1716,25,"FinalRoundScoringAverage",2015
6,6,"Jordan Spieth",NA,68.8,1376,20,"FinalRoundScoringAverage",2015
7,7,"Colt Knost",NA,68.94,1103,16,"FinalRoundScoringAverage",2015
8,8,"Blayne Barber",NA,69,759,11,"FinalRoundScoringAverage",2015
8,8,"Jerry Kelly",NA,69,1035,15,"FinalRoundScoringAverage",2015
10,10,"Bubba Watson",NA,69.06,1105,16,"FinalRoundScoringAverage",2015
11,11,"Kyle Reifers",NA,69.07,1036,15,"FinalRoundScoringAverage",2015
12,12,"Kevin Kisner",NA,69.1,1451,21,"FinalRoundScoringAverage",2015
13,13,"Zach Johnson",NA,69.11,1313,19,"FinalRoundScoringAverage",2015
14,14,"Tom Hoge",NA,69.15,899,13,"FinalRoundScoringAverage",2015
15,15,"David Hearn",NA,69.28,1247,18,"FinalRoundScoringAverage",2015
16,16,"Paul Casey",NA,69.33,1248,18,"FinalRoundScoringAverage",2015
16,16,"Henrik Stenson",NA,69.33,1040,15,"FinalRoundScoringAverage",2015
18,18,"Tony Finau",NA,69.36,1526,22,"FinalRoundScoringAverage",2015
19,19,"Johnson Wagner",NA,69.4,694,10,"FinalRoundScoringAverage",2015
20,20,"Daniel Berger",NA,69.41,1180,17,"FinalRoundScoringAverage",2015
21,21,"Davis Love III",NA,69.43,486,7,"FinalRoundScoringAverage",2015
