"FirstTeeLateScoringAverage_RANKTHISWEEK_2007","FirstTeeLateScoringAverage_RANKLASTWEEK_2007","FirstTeeLateScoringAverage_PLAYERNAME_2007","FirstTeeLateScoringAverage_ROUNDS_2007","FirstTeeLateScoringAverage_AVG_2007","FirstTeeLateScoringAverage_TOTALSTROKES_2007","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",63,69.02,2830,41,"FirstTeeLateScoringAverage",2007
2,2,"Billy Mayfair",98,69.44,2222,32,"FirstTeeLateScoringAverage",2007
3,3,"Woody Austin",95,69.72,2022,29,"FirstTeeLateScoringAverage",2007
4,4,"Ernie Els",59,69.73,2092,30,"FirstTeeLateScoringAverage",2007
5,5,"Heath Slocum",101,69.8,2443,35,"FirstTeeLateScoringAverage",2007
6,6,"Rory Sabbatini",81,69.86,2445,35,"FirstTeeLateScoringAverage",2007
7,7,"Jay Williamson",50,69.91,769,11,"FirstTeeLateScoringAverage",2007
8,8,"Sergio Garcia",68,70,2380,34,"FirstTeeLateScoringAverage",2007
8,8,"Jeff Overton",60,70,1190,17,"FirstTeeLateScoringAverage",2007
10,10,"Tommy Armour III",81,70.05,1471,21,"FirstTeeLateScoringAverage",2007
11,11,"Ian Poulter",63,70.06,1121,16,"FirstTeeLateScoringAverage",2007
12,12,"Freddie Jacobson",70,70.12,2384,34,"FirstTeeLateScoringAverage",2007
13,13,"Phil Mickelson",73,70.13,2665,38,"FirstTeeLateScoringAverage",2007
14,14,"Jonathan Byrd",73,70.17,2035,29,"FirstTeeLateScoringAverage",2007
15,15,"Ken Duke",112,70.18,1965,28,"FirstTeeLateScoringAverage",2007
16,16,"Steve Stricker",81,70.2,2457,35,"FirstTeeLateScoringAverage",2007
17,17,"John Senden",97,70.24,2388,34,"FirstTeeLateScoringAverage",2007
18,18,"Charles Howell III",89,70.3,2320,33,"FirstTeeLateScoringAverage",2007
19,19,"Michael Allen",74,70.32,1336,19,"FirstTeeLateScoringAverage",2007
19,19,"Chris Riley",59,70.32,1336,19,"FirstTeeLateScoringAverage",2007
21,21,"Tom Lehman",62,70.35,1618,23,"FirstTeeLateScoringAverage",2007
22,22,"Will Ma Kenzie",100,70.37,2111,30,"FirstTeeLateScoringAverage",2007
23,23,"Jim Furyk",84,70.38,3378,48,"FirstTeeLateScoringAverage",2007
24,24,"Cameron Beckman",96,70.41,2394,34,"FirstTeeLateScoringAverage",2007
25,25,"Steve Marino",106,70.43,2606,37,"FirstTeeLateScoringAverage",2007
26,26,"Hunter Mahan",91,70.45,2184,31,"FirstTeeLateScoringAverage",2007
27,27,"Adam Scott",69,70.46,2607,37,"FirstTeeLateScoringAverage",2007
28,28,"KJ Choi",87,70.47,3030,43,"FirstTeeLateScoringAverage",2007
29,29,"Steve Allan",63,70.48,1480,21,"FirstTeeLateScoringAverage",2007
30,30,"Ryuji Imada",104,70.5,2538,36,"FirstTeeLateScoringAverage",2007
31,31,"Stewart Cink",91,70.51,2468,35,"FirstTeeLateScoringAverage",2007
32,32,"Kent Jones",97,70.52,1763,25,"FirstTeeLateScoringAverage",2007
33,33,"Robert Garrigus",95,70.54,1975,28,"FirstTeeLateScoringAverage",2007
34,34,"Jose Coceres",50,70.55,1411,20,"FirstTeeLateScoringAverage",2007
35,35,"Brian Davis",101,70.58,1694,24,"FirstTeeLateScoringAverage",2007
35,35,"Bob Estes",88,70.58,1694,24,"FirstTeeLateScoringAverage",2007
35,35,"Nathan Green",103,70.58,2541,36,"FirstTeeLateScoringAverage",2007
38,38,"Joe Ogilvie",102,70.59,2259,32,"FirstTeeLateScoringAverage",2007
38,38,"Carl Pettersson",111,70.59,3106,44,"FirstTeeLateScoringAverage",2007
40,40,"Bob Heintz",85,70.6,1765,25,"FirstTeeLateScoringAverage",2007
41,41,"Fred Funk",65,70.61,1271,18,"FirstTeeLateScoringAverage",2007
41,41,"Bo Van Pelt",104,70.61,2189,31,"FirstTeeLateScoringAverage",2007
43,43,"Pat Perez",84,70.62,2048,29,"FirstTeeLateScoringAverage",2007
43,43,"Kenny Perry",83,70.62,2048,29,"FirstTeeLateScoringAverage",2007
43,43,"Vijay Singh",102,70.62,3672,52,"FirstTeeLateScoringAverage",2007
46,46,"Shaun Micheel",91,70.65,1837,26,"FirstTeeLateScoringAverage",2007
47,47,"Daniel Chopra",106,70.69,2262,32,"FirstTeeLateScoringAverage",2007
48,48,"Shigeki Maruyama",84,70.7,1626,23,"FirstTeeLateScoringAverage",2007
48,48,"Mike Weir",82,70.7,2121,30,"FirstTeeLateScoringAverage",2007
50,50,"Paul Goydos",60,70.71,1202,17,"FirstTeeLateScoringAverage",2007
50,50,"Boo Weekley",101,70.71,2192,31,"FirstTeeLateScoringAverage",2007
52,52,"Tag Ridings",52,70.73,1061,15,"FirstTeeLateScoringAverage",2007
53,53,"Stephen Leaney",82,70.76,2052,29,"FirstTeeLateScoringAverage",2007
54,54,"JP Hayes",89,70.77,1840,26,"FirstTeeLateScoringAverage",2007
54,54,"Zach Johnson",76,70.77,2477,35,"FirstTeeLateScoringAverage",2007
56,56,"Tim Clark",66,70.79,2053,29,"FirstTeeLateScoringAverage",2007
56,56,"Jeff Quinney",95,70.79,2053,29,"FirstTeeLateScoringAverage",2007
58,58,"Scott Verplank",82,70.81,2549,36,"FirstTeeLateScoringAverage",2007
59,59,"Peter Lonard",85,70.82,1983,28,"FirstTeeLateScoringAverage",2007
59,59,"Kevin Na",84,70.82,1558,22,"FirstTeeLateScoringAverage",2007
61,61,"Anthony Kim",93,70.83,2054,29,"FirstTeeLateScoringAverage",2007
62,62,"Chad Campbell",96,70.85,1842,26,"FirstTeeLateScoringAverage",2007
62,62,"Dean Wilson",92,70.85,1842,26,"FirstTeeLateScoringAverage",2007
64,64,"Briny Baird",115,70.86,2551,36,"FirstTeeLateScoringAverage",2007
64,64,"Anders Hansen",55,70.86,1488,21,"FirstTeeLateScoringAverage",2007
64,64,"Duffy Waldorf",69,70.86,1559,22,"FirstTeeLateScoringAverage",2007
67,67,"Justin Rose",63,70.88,1701,24,"FirstTeeLateScoringAverage",2007
67,67,"DJ Trahan",99,70.88,2410,34,"FirstTeeLateScoringAverage",2007
69,69,"Jesper Parnevik",88,70.89,1985,28,"FirstTeeLateScoringAverage",2007
70,70,"George McNeill",95,70.9,2056,29,"FirstTeeLateScoringAverage",2007
70,70,"Brandt Snedeker",105,70.9,2836,40,"FirstTeeLateScoringAverage",2007
70,70,"Chris Stroud",66,70.9,1489,21,"FirstTeeLateScoringAverage",2007
73,73,"Jason Gore",86,70.91,2340,33,"FirstTeeLateScoringAverage",2007
74,74,"Camilo Villegas",82,70.94,2483,35,"FirstTeeLateScoringAverage",2007
75,75,"Aaron Baddeley",83,70.97,2555,36,"FirstTeeLateScoringAverage",2007
76,76,"John Merrick",92,71.04,1634,23,"FirstTeeLateScoringAverage",2007
77,77,"Glen Day",85,71.06,1279,18,"FirstTeeLateScoringAverage",2007
77,77,"Sean OHair",98,71.06,2558,36,"FirstTeeLateScoringAverage",2007
79,79,"Steve Elkington",87,71.07,1919,27,"FirstTeeLateScoringAverage",2007
79,79,"David Toms",80,71.07,1990,28,"FirstTeeLateScoringAverage",2007
81,81,"Mathias Gronberg",95,71.08,1777,25,"FirstTeeLateScoringAverage",2007
81,81,"Tripp Isenhour",86,71.08,1706,24,"FirstTeeLateScoringAverage",2007
81,81,"John Mallinger",96,71.08,1706,24,"FirstTeeLateScoringAverage",2007
84,84,"Charlie Wi",90,71.09,2488,35,"FirstTeeLateScoringAverage",2007
85,85,"Ryan Armour",107,71.1,2204,31,"FirstTeeLateScoringAverage",2007
85,85,"Alex Cejka",80,71.1,1493,21,"FirstTeeLateScoringAverage",2007
87,87,"Ryan Moore",92,71.11,1991,28,"FirstTeeLateScoringAverage",2007
87,87,"Bubba Watson",80,71.11,1920,27,"FirstTeeLateScoringAverage",2007
89,89,"Billy Andrade",88,71.13,2205,31,"FirstTeeLateScoringAverage",2007
90,90,"Tim Petrovic",106,71.15,1921,27,"FirstTeeLateScoringAverage",2007
91,91,"Craig Bowden",78,71.17,1281,18,"FirstTeeLateScoringAverage",2007
91,91,"Mathew Goggin",97,71.17,2064,29,"FirstTeeLateScoringAverage",2007
93,93,"Jarrod Lyle",77,71.18,1566,22,"FirstTeeLateScoringAverage",2007
94,94,"Robert Allenby",90,71.19,2563,36,"FirstTeeLateScoringAverage",2007
94,94,"Kevin Sutherland",85,71.19,2278,32,"FirstTeeLateScoringAverage",2007
96,96,"Troy Matteson",87,71.21,2065,29,"FirstTeeLateScoringAverage",2007
97,97,"Bill Haas",93,71.22,2279,32,"FirstTeeLateScoringAverage",2007
98,98,"Michael Sim",52,71.24,1211,17,"FirstTeeLateScoringAverage",2007
99,99,"Dicky Pride",71,71.25,1710,24,"FirstTeeLateScoringAverage",2007
100,100,"Brian Bateman",55,71.27,784,11,"FirstTeeLateScoringAverage",2007
100,100,"Chris Tidland",59,71.27,784,11,"FirstTeeLateScoringAverage",2007
102,102,"Brian Gay",107,71.28,2566,36,"FirstTeeLateScoringAverage",2007
103,103,"Robert Gamez",88,71.29,1497,21,"FirstTeeLateScoringAverage",2007
103,103,"Craig Kanada",109,71.29,2495,35,"FirstTeeLateScoringAverage",2007
103,103,"Jerry Kelly",101,71.29,2923,41,"FirstTeeLateScoringAverage",2007
103,103,"Jason Schultz",63,71.29,1212,17,"FirstTeeLateScoringAverage",2007
107,107,"Lucas Glover",98,71.31,2781,39,"FirstTeeLateScoringAverage",2007
108,108,"Stephen Ames",81,71.32,2425,34,"FirstTeeLateScoringAverage",2007
108,108,"Doug LaBelle II",104,71.32,1783,25,"FirstTeeLateScoringAverage",2007
108,108,"Justin Leonard",95,71.32,1783,25,"FirstTeeLateScoringAverage",2007
111,111,"Bart Bryant",87,71.34,2069,29,"FirstTeeLateScoringAverage",2007
112,112,"Steve Flesch",100,71.35,1855,26,"FirstTeeLateScoringAverage",2007
113,113,"Craig Lile",77,71.36,1570,22,"FirstTeeLateScoringAverage",2007
114,114,"Parker McLachlin",83,71.37,1356,19,"FirstTeeLateScoringAverage",2007
115,115,"Gavin Coles",87,71.38,1499,21,"FirstTeeLateScoringAverage",2007
115,115,"Mark Wilson",87,71.38,1499,21,"FirstTeeLateScoringAverage",2007
117,117,"Jeff Maggert",79,71.42,1857,26,"FirstTeeLateScoringAverage",2007
118,118,"Arron Oberholser",69,71.44,1929,27,"FirstTeeLateScoringAverage",2007
119,119,"Joey Sindelar",75,71.45,1429,20,"FirstTeeLateScoringAverage",2007
120,120,"Johnson Wagner",97,71.46,2001,28,"FirstTeeLateScoringAverage",2007
121,121,"Jason Dufner",100,71.47,2144,30,"FirstTeeLateScoringAverage",2007
121,121,"Bob Tway",103,71.47,2287,32,"FirstTeeLateScoringAverage",2007
123,123,"Steve Wheatcroft",73,71.48,1787,25,"FirstTeeLateScoringAverage",2007
124,124,"Rich Beem",89,71.5,2145,30,"FirstTeeLateScoringAverage",2007
125,125,"John Rollins",102,71.51,2503,35,"FirstTeeLateScoringAverage",2007
126,126,"Mark Hensby",81,71.52,1502,21,"FirstTeeLateScoringAverage",2007
127,127,"Mark Brooks",53,71.53,1216,17,"FirstTeeLateScoringAverage",2007
127,127,"Richard Johnson",93,71.53,1216,17,"FirstTeeLateScoringAverage",2007
127,127,"Steve Lowery",74,71.53,1359,19,"FirstTeeLateScoringAverage",2007
130,130,"Tom Byrum",50,71.54,930,13,"FirstTeeLateScoringAverage",2007
130,130,"Frank Lickliter II",95,71.54,1717,24,"FirstTeeLateScoringAverage",2007
132,132,"Matt Kuchar",85,71.55,1574,22,"FirstTeeLateScoringAverage",2007
133,133,"Marco Dawson",73,71.56,1145,16,"FirstTeeLateScoringAverage",2007
133,133,"Nick Watney",87,71.56,1932,27,"FirstTeeLateScoringAverage",2007
135,135,"Tom Johnson",74,71.57,1002,14,"FirstTeeLateScoringAverage",2007
136,136,"Geoff Ogilvy",84,71.58,2720,38,"FirstTeeLateScoringAverage",2007
136,136,"Tom Pernice Jr",104,71.58,2720,38,"FirstTeeLateScoringAverage",2007
138,138,"Stuart Appleby",74,71.61,2363,33,"FirstTeeLateScoringAverage",2007
139,139,"Daisuke Maruyama",86,71.62,1504,21,"FirstTeeLateScoringAverage",2007
140,140,"Charles Warren",101,71.67,2150,30,"FirstTeeLateScoringAverage",2007
141,141,"Rich Barcelo",80,71.68,1362,19,"FirstTeeLateScoringAverage",2007
142,142,"Luke Donald",69,71.69,1864,26,"FirstTeeLateScoringAverage",2007
143,143,"JB Holmes",71,71.71,1506,21,"FirstTeeLateScoringAverage",2007
144,144,"Jason Bohn",57,71.72,1793,25,"FirstTeeLateScoringAverage",2007
145,145,"Brendon de Jonge",76,71.74,1650,23,"FirstTeeLateScoringAverage",2007
145,145,"Joe Durant",88,71.74,1937,27,"FirstTeeLateScoringAverage",2007
