"Par4EagleLeaders_RANKTHISWEEK_2008","Par4EagleLeaders_RANKLASTWEEK_2008","Par4EagleLeaders_PLAYERNAME_2008","Par4EagleLeaders_ROUNDS_2008","Par4EagleLeaders_TOTAL_2008","Par4EagleLeaders_TOTALPAR4HOLES_2008","Par4EagleLeaders_TOTALHOLEOUTS_2008","stat_name","year"
1,1,"Mathew Goggin",91,5,980,4,"Par4EagleLeaders",2008
1,1,"Parker McLachlin",88,5,948,4,"Par4EagleLeaders",2008
3,3,"Briny Baird",113,4,1230,4,"Par4EagleLeaders",2008
3,3,"Mark Calcavecchia",67,4,717,4,"Par4EagleLeaders",2008
3,3,"Chad Campbell",94,4,1036,1,"Par4EagleLeaders",2008
3,3,"Ken Duke",116,4,1252,1,"Par4EagleLeaders",2008
3,3,"Kent Jones",68,4,722,3,"Par4EagleLeaders",2008
8,8,"Fred Couples",60,3,628,2,"Par4EagleLeaders",2008
8,8,"Jim Furyk",95,3,1032,3,"Par4EagleLeaders",2008
8,8,"Peter Lonard",92,3,1009,1,"Par4EagleLeaders",2008
8,8,"Will Ma Kenzie",62,3,659,1,"Par4EagleLeaders",2008
8,8,"Kenny Perry",97,3,1061,3,"Par4EagleLeaders",2008
8,8,"Chez Reavie",102,3,1114,3,"Par4EagleLeaders",2008
8,8,"Bob Sowards",61,3,658,2,"Par4EagleLeaders",2008
8,8,"Nicholas Thompson",113,3,1219,2,"Par4EagleLeaders",2008
16,16,"Steve Allan",58,2,626,2,"Par4EagleLeaders",2008
16,16,"Robert Allenby",108,2,1156,1,"Par4EagleLeaders",2008
16,16,"Ryan Armour",87,2,920,1,"Par4EagleLeaders",2008
16,16,"Rich Beem",90,2,964,1,"Par4EagleLeaders",2008
16,16,"Bart Bryant",81,2,892,2,"Par4EagleLeaders",2008
16,16,"Alejandro Canizares",52,2,564,NA,"Par4EagleLeaders",2008
16,16,"Ben Curtis",80,2,886,NA,"Par4EagleLeaders",2008
16,16,"Jason Day",81,2,868,2,"Par4EagleLeaders",2008
16,16,"James Driscoll",85,2,900,2,"Par4EagleLeaders",2008
16,16,"Steve Flesch",95,2,1016,1,"Par4EagleLeaders",2008
16,16,"Jason Gore",94,2,998,2,"Par4EagleLeaders",2008
16,16,"Nathan Green",95,2,1014,2,"Par4EagleLeaders",2008
16,16,"Richard Johnson",77,2,826,1,"Par4EagleLeaders",2008
16,16,"Dustin Johnson",92,2,985,2,"Par4EagleLeaders",2008
16,16,"Matt Jones",95,2,1018,2,"Par4EagleLeaders",2008
16,16,"Martin Laird",98,2,1060,2,"Par4EagleLeaders",2008
16,16,"Hunter Mahan",87,2,934,1,"Par4EagleLeaders",2008
16,16,"Billy Mayfair",103,2,1139,2,"Par4EagleLeaders",2008
16,16,"Kevin Na",97,2,1033,2,"Par4EagleLeaders",2008
16,16,"Sean OHair",81,2,902,2,"Par4EagleLeaders",2008
16,16,"Jeff Overton",103,2,1102,2,"Par4EagleLeaders",2008
16,16,"Brenden Pappas",66,2,710,1,"Par4EagleLeaders",2008
16,16,"Jin Park",85,2,898,2,"Par4EagleLeaders",2008
16,16,"Jesper Parnevik",88,2,953,NA,"Par4EagleLeaders",2008
16,16,"Tom Pernice Jr",104,2,1138,2,"Par4EagleLeaders",2008
16,16,"Tag Ridings",88,2,942,2,"Par4EagleLeaders",2008
16,16,"John Rollins",94,2,1006,2,"Par4EagleLeaders",2008
16,16,"Andres Romero",69,2,740,2,"Par4EagleLeaders",2008
16,16,"Brett Rumford",72,2,770,NA,"Par4EagleLeaders",2008
16,16,"Rory Sabbatini",77,2,842,2,"Par4EagleLeaders",2008
16,16,"John Senden",93,2,1003,2,"Par4EagleLeaders",2008
16,16,"Brandt Snedeker",85,2,920,2,"Par4EagleLeaders",2008
16,16,"Kevin Stadler",90,2,965,2,"Par4EagleLeaders",2008
16,16,"David Toms",70,2,754,2,"Par4EagleLeaders",2008
16,16,"Omar Uresti",74,2,786,2,"Par4EagleLeaders",2008
16,16,"Nick Watney",96,2,1022,NA,"Par4EagleLeaders",2008
16,16,"Jay Williamson",96,2,1041,2,"Par4EagleLeaders",2008
53,53,"Brad Adamonis",87,1,939,NA,"Par4EagleLeaders",2008
