"TotalHoleOuts_RANKTHISWEEK_2006","TotalHoleOuts_RANKLASTWEEK_2006","TotalHoleOuts_PLAYERNAME_2006","TotalHoleOuts_ROUNDS_2006","TotalHoleOuts_HOLEOUTS_2006","stat_name","year"
1,1,"Woody Austin",107,20,"TotalHoleOuts",2006
1,1,"Shane Bertsch",104,20,"TotalHoleOuts",2006
3,3,"Ryuji Imada",105,18,"TotalHoleOuts",2006
3,3,"John Rollins",93,18,"TotalHoleOuts",2006
5,5,"Jerry Kelly",100,17,"TotalHoleOuts",2006
5,5,"Daisuke Maruyama",83,17,"TotalHoleOuts",2006
5,5,"Tim Petrovic",95,17,"TotalHoleOuts",2006
5,5,"Patrick Sheehan",104,17,"TotalHoleOuts",2006
9,9,"Brian Davis",92,16,"TotalHoleOuts",2006
9,9,"Bubba Dickerson",98,16,"TotalHoleOuts",2006
9,9,"Charley Hoffman",100,16,"TotalHoleOuts",2006
9,9,"Ted Purdy",103,16,"TotalHoleOuts",2006
13,13,"Stuart Appleby",83,15,"TotalHoleOuts",2006
13,13,"Eric Axley",91,15,"TotalHoleOuts",2006
13,13,"Robert Damron",91,15,"TotalHoleOuts",2006
13,13,"Marco Dawson",87,15,"TotalHoleOuts",2006
13,13,"Brian Gay",107,15,"TotalHoleOuts",2006
13,13,"Nathan Green",108,15,"TotalHoleOuts",2006
13,13,"Vaughn Taylor",88,15,"TotalHoleOuts",2006
13,13,"DJ Trahan",92,15,"TotalHoleOuts",2006
13,13,"Charles Warren",93,15,"TotalHoleOuts",2006
22,22,"Olin Browne",108,14,"TotalHoleOuts",2006
22,22,"Daniel Chopra",110,14,"TotalHoleOuts",2006
22,22,"Todd Fischer",101,14,"TotalHoleOuts",2006
22,22,"Robert Garrigus",85,14,"TotalHoleOuts",2006
22,22,"Jeff Maggert",81,14,"TotalHoleOuts",2006
22,22,"Heath Slocum",96,14,"TotalHoleOuts",2006
22,22,"Nick Watney",97,14,"TotalHoleOuts",2006
22,22,"Dean Wilson",115,14,"TotalHoleOuts",2006
30,30,"Arjun Atwal",97,13,"TotalHoleOuts",2006
30,30,"Ben Crane",85,13,"TotalHoleOuts",2006
30,30,"Steve Flesch",119,13,"TotalHoleOuts",2006
30,30,"Lucas Glover",105,13,"TotalHoleOuts",2006
30,30,"Bill Haas",99,13,"TotalHoleOuts",2006
30,30,"JJ Henry",96,13,"TotalHoleOuts",2006
30,30,"John Huston",74,13,"TotalHoleOuts",2006
30,30,"Zach Johnson",98,13,"TotalHoleOuts",2006
30,30,"Greg Kraft",79,13,"TotalHoleOuts",2006
30,30,"Troy Matteson",101,13,"TotalHoleOuts",2006
30,30,"Rod Pampling",89,13,"TotalHoleOuts",2006
30,30,"Chris Riley",86,13,"TotalHoleOuts",2006
30,30,"Rory Sabbatini",84,13,"TotalHoleOuts",2006
43,43,"Jason Bohn",104,12,"TotalHoleOuts",2006
43,43,"Alex Cejka",93,12,"TotalHoleOuts",2006
43,43,"Ernie Els",69,12,"TotalHoleOuts",2006
43,43,"Jim Furyk",89,12,"TotalHoleOuts",2006
43,43,"Frank Lickliter II",99,12,"TotalHoleOuts",2006
43,43,"Billy Mayfair",94,12,"TotalHoleOuts",2006
43,43,"Ryan Palmer",101,12,"TotalHoleOuts",2006
43,43,"Tag Ridings",103,12,"TotalHoleOuts",2006
43,43,"Adam Scott",70,12,"TotalHoleOuts",2006
43,43,"Steve Stricker",64,12,"TotalHoleOuts",2006
43,43,"Kevin Sutherland",100,12,"TotalHoleOuts",2006
43,43,"Bo Van Pelt",102,12,"TotalHoleOuts",2006
55,55,"Michael Allen",84,11,"TotalHoleOuts",2006
55,55,"Craig Barlow",77,11,"TotalHoleOuts",2006
55,55,"Rich Beem",85,11,"TotalHoleOuts",2006
55,55,"David Branshaw",98,11,"TotalHoleOuts",2006
55,55,"Mark Brooks",90,11,"TotalHoleOuts",2006
55,55,"Mark Calcavecchia",94,11,"TotalHoleOuts",2006
55,55,"Chad Campbell",91,11,"TotalHoleOuts",2006
55,55,"Kris Cox",83,11,"TotalHoleOuts",2006
55,55,"Luke Donald",66,11,"TotalHoleOuts",2006
55,55,"Harrison Frazar",95,11,"TotalHoleOuts",2006
55,55,"Dudley Hart",83,11,"TotalHoleOuts",2006
55,55,"Steve Jones",83,11,"TotalHoleOuts",2006
55,55,"Jonathan Kaye",95,11,"TotalHoleOuts",2006
55,55,"Ian Leggatt",80,11,"TotalHoleOuts",2006
55,55,"Bob May",65,11,"TotalHoleOuts",2006
55,55,"John Senden",96,11,"TotalHoleOuts",2006
55,55,"Kirk Triplett",58,11,"TotalHoleOuts",2006
55,55,"Omar Uresti",61,11,"TotalHoleOuts",2006
55,55,"Camilo Villegas",95,11,"TotalHoleOuts",2006
55,55,"Brett Wetterich",82,11,"TotalHoleOuts",2006
75,75,"Paul Azinger",87,10,"TotalHoleOuts",2006
75,75,"Aaron Baddeley",78,10,"TotalHoleOuts",2006
75,75,"KJ Choi",93,10,"TotalHoleOuts",2006
75,75,"Brad Faxon",78,10,"TotalHoleOuts",2006
75,75,"Jeff Gove",91,10,"TotalHoleOuts",2006
75,75,"Freddie Jacobson",56,10,"TotalHoleOuts",2006
75,75,"Will Ma Kenzie",91,10,"TotalHoleOuts",2006
75,75,"Hunter Mahan",98,10,"TotalHoleOuts",2006
75,75,"Shaun Micheel",96,10,"TotalHoleOuts",2006
75,75,"Corey Pavin",74,10,"TotalHoleOuts",2006
75,75,"Kenny Perry",73,10,"TotalHoleOuts",2006
75,75,"Carl Pettersson",95,10,"TotalHoleOuts",2006
75,75,"Justin Rose",98,10,"TotalHoleOuts",2006
75,75,"Jeff Sluman",101,10,"TotalHoleOuts",2006
75,75,"Nicholas Thompson",96,10,"TotalHoleOuts",2006
75,75,"David Toms",76,10,"TotalHoleOuts",2006
75,75,"Mike Weir",88,10,"TotalHoleOuts",2006
92,92,"Briny Baird",81,9,"TotalHoleOuts",2006
92,92,"Brian Bateman",69,9,"TotalHoleOuts",2006
92,92,"James Driscoll",80,9,"TotalHoleOuts",2006
92,92,"Joe Durant",101,9,"TotalHoleOuts",2006
92,92,"David Duval",71,9,"TotalHoleOuts",2006
92,92,"Bob Estes",85,9,"TotalHoleOuts",2006
92,92,"Fred Funk",106,9,"TotalHoleOuts",2006
92,92,"Paul Goydos",72,9,"TotalHoleOuts",2006
92,92,"Richard Johnson",94,9,"TotalHoleOuts",2006
92,92,"Steve Lowery",99,9,"TotalHoleOuts",2006
92,92,"Jon Mills",68,9,"TotalHoleOuts",2006
92,92,"Jeff Overton",95,9,"TotalHoleOuts",2006
92,92,"Brett Quigley",109,9,"TotalHoleOuts",2006
92,92,"Wes Short Jr",96,9,"TotalHoleOuts",2006
92,92,"Vance Veazey",59,9,"TotalHoleOuts",2006
107,107,"Jonathan Byrd",66,8,"TotalHoleOuts",2006
107,107,"Danny Ellis",68,8,"TotalHoleOuts",2006
107,107,"Carlos Franco",86,8,"TotalHoleOuts",2006
107,107,"Retief Goosen",68,8,"TotalHoleOuts",2006
107,107,"Jason Gore",86,8,"TotalHoleOuts",2006
107,107,"Mathias Gronberg",92,8,"TotalHoleOuts",2006
107,107,"Todd Hamilton",72,8,"TotalHoleOuts",2006
107,107,"Charles Howell III",96,8,"TotalHoleOuts",2006
107,107,"Trevor Immelman",86,8,"TotalHoleOuts",2006
107,107,"Kent Jones",103,8,"TotalHoleOuts",2006
107,107,"Greg Owen",79,8,"TotalHoleOuts",2006
107,107,"Pat Perez",50,8,"TotalHoleOuts",2006
107,107,"DA Points",82,8,"TotalHoleOuts",2006
107,107,"Ian Poulter",53,8,"TotalHoleOuts",2006
107,107,"Jason Schultz",77,8,"TotalHoleOuts",2006
107,107,"Chris Smith",67,8,"TotalHoleOuts",2006
107,107,"Bob Tway",81,8,"TotalHoleOuts",2006
107,107,"Jimmy Walker",60,8,"TotalHoleOuts",2006
125,125,"Billy Andrade",78,7,"TotalHoleOuts",2006
125,125,"Jeff Brehaut",100,7,"TotalHoleOuts",2006
