"25FinalRoundPerformance_RANKTHISWEEK_2012","25FinalRoundPerformance_RANKLASTWEEK_2012","25FinalRoundPerformance_PLAYERNAME_2012","25FinalRoundPerformance_EVENTS_2012","25FinalRoundPerformance_PctTIMESIMPROVED_2012","25FinalRoundPerformance_OFTIMESIMPROVED_2012","stat_name","year"
1,1,"Scott Brown",24,100,4,"25FinalRoundPerformance",2012
1,1,"Sergio Garcia",16,100,4,"25FinalRoundPerformance",2012
1,1,"Bill Haas",23,100,7,"25FinalRoundPerformance",2012
1,1,"Louis Oosthuizen",19,100,4,"25FinalRoundPerformance",2012
1,1,"Justin Rose",19,100,3,"25FinalRoundPerformance",2012
1,1,"Kevin Stadler",25,100,7,"25FinalRoundPerformance",2012
1,1,"Henrik Stenson",15,100,5,"25FinalRoundPerformance",2012
1,1,"Bubba Watson",19,100,2,"25FinalRoundPerformance",2012
9,9,"Mark Anderson",25,91.7,11,"25FinalRoundPerformance",2012
10,10,"Geoff Ogilvy",20,90.9,10,"25FinalRoundPerformance",2012
11,11,"Vijay Singh",27,88.9,8,"25FinalRoundPerformance",2012
12,12,"Luke Donald",17,87.5,7,"25FinalRoundPerformance",2012
12,12,"Dicky Pride",19,87.5,7,"25FinalRoundPerformance",2012
14,14,"Robert Allenby",27,85.7,6,"25FinalRoundPerformance",2012
14,14,"Kris Blanks",23,85.7,6,"25FinalRoundPerformance",2012
14,14,"Keegan Bradley",25,85.7,6,"25FinalRoundPerformance",2012
14,14,"Ben Crane",23,85.7,6,"25FinalRoundPerformance",2012
18,18,"Jim Furyk",24,83.3,5,"25FinalRoundPerformance",2012
18,18,"Jerry Kelly",26,83.3,10,"25FinalRoundPerformance",2012
18,18,"Kevin Kisner",24,83.3,5,"25FinalRoundPerformance",2012
18,18,"Jeff Overton",29,83.3,10,"25FinalRoundPerformance",2012
18,18,"John Senden",22,83.3,5,"25FinalRoundPerformance",2012
18,18,"Scott Stallings",27,83.3,5,"25FinalRoundPerformance",2012
18,18,"Lee Westwood",15,83.3,5,"25FinalRoundPerformance",2012
25,25,"Bob Estes",23,81.8,9,"25FinalRoundPerformance",2012
25,25,"Troy Matteson",32,81.8,9,"25FinalRoundPerformance",2012
27,27,"Spencer Levin",26,80,8,"25FinalRoundPerformance",2012
27,27,"David Mathis",29,80,4,"25FinalRoundPerformance",2012
