"GoingfortheGreen_RANKTHISWEEK_2013","GoingfortheGreen_RANKLASTWEEK_2013","GoingfortheGreen_PLAYERNAME_2013","GoingfortheGreen_ROUNDS_2013","GoingfortheGreen_Pct_2013","GoingfortheGreen_ATTEMPTS_2013","GoingfortheGreen_NONATTEMPTS_2013","GoingfortheGreen_RTPGOINGFORTHEGREEN_2013","GoingfortheGreen_RTPNOTGOINGFORTHEGRN_2013","stat_name","year"
1,1,"Robert Garrigus",69,76.06,143,45,-63,9,"GoingfortheGreen",2013
2,2,"Henrik Stenson",65,71.33,107,43,-71,7,"GoingfortheGreen",2013
3,3,"Keegan Bradley",88,71.15,185,75,-127,-4,"GoingfortheGreen",2013
4,4,"Kyle Stanley",71,70.31,161,68,-84,8,"GoingfortheGreen",2013
5,5,"Bubba Watson",76,69.6,158,69,-94,2,"GoingfortheGreen",2013
6,6,"Adam Scott",61,66.25,106,54,-63,-6,"GoingfortheGreen",2013
7,7,"Charl Schwartzel",69,66.14,125,64,-73,-6,"GoingfortheGreen",2013
8,8,"Dustin Johnson",71,65.93,120,62,-73,-2,"GoingfortheGreen",2013
9,9,"Jim Herman",59,65.52,95,50,-55,5,"GoingfortheGreen",2013
10,10,"Ryan Palmer",79,63.95,149,84,-79,-9,"GoingfortheGreen",2013
11,11,"Eric Meierdierks",48,63.78,81,46,-34,2,"GoingfortheGreen",2013
12,12,"Scott Piercy",78,63.27,143,83,-76,-2,"GoingfortheGreen",2013
13,13,"Kevin Stadler",83,63.16,156,91,-80,-9,"GoingfortheGreen",2013
14,14,"Hunter Mahan",91,63.08,164,96,-77,-13,"GoingfortheGreen",2013
15,15,"Rory Sabbatini",86,62.66,151,90,-95,1,"GoingfortheGreen",2013
16,16,"Angel Cabrera",73,62.56,127,76,-55,4,"GoingfortheGreen",2013
17,17,"Matt Every",89,62.54,177,106,-85,7,"GoingfortheGreen",2013
18,18,"Lee Westwood",70,62.5,120,72,-65,12,"GoingfortheGreen",2013
19,19,"Steven Bowditch",67,62.19,125,76,-77,0,"GoingfortheGreen",2013
20,20,"Rory McIlroy",56,62.05,103,63,-55,5,"GoingfortheGreen",2013
21,21,"Martin Kaymer",61,61.7,87,54,-44,-6,"GoingfortheGreen",2013
22,22,"Tiger Woods",61,61.59,93,58,-64,-12,"GoingfortheGreen",2013
23,23,"Lucas Glover",65,61.46,118,74,-59,-4,"GoingfortheGreen",2013
24,24,"Gary Woodland",94,61.15,181,115,-97,6,"GoingfortheGreen",2013
25,25,"Andres Romero",63,59.89,112,75,-67,14,"GoingfortheGreen",2013
26,26,"Charles Howell III",87,59.86,176,118,-94,-5,"GoingfortheGreen",2013
27,27,"Padraig Harrington",52,59.84,76,51,-36,0,"GoingfortheGreen",2013
28,28,"Phil Mickelson",78,59.72,126,85,-79,-14,"GoingfortheGreen",2013
29,29,"Sergio Garcia",65,59.65,102,69,-68,-11,"GoingfortheGreen",2013
30,30,"Jason Kokrak",78,59.23,154,106,-93,-10,"GoingfortheGreen",2013
31,31,"Boo Weekley",100,58.99,164,114,-89,-11,"GoingfortheGreen",2013
32,32,"Jeff Overton",78,58.98,151,105,-61,-7,"GoingfortheGreen",2013
33,33,"Marc Leishman",77,58.67,132,93,-63,1,"GoingfortheGreen",2013
