"RoughProximity_RANKTHISWEEK_2009","RoughProximity_RANKLASTWEEK_2009","RoughProximity_PLAYERNAME_2009","RoughProximity_ROUNDS_2009","RoughProximity_AVG_2009","RoughProximity_TOTALDISTANCEINCHES_2009","RoughProximity_ATTEMPTS_2009","RoughProximity_TOTALDISTANCEFEET_2009","RoughProximity_RELATIVETOPAR_2009","stat_name","year"
1,1,"Sergio Garcia",59,NA,72209,167,6017.417,7,"RoughProximity",2009
2,2,"Robert Garrigus",83,NA,126970,288,10580.833,11,"RoughProximity",2009
3,3,"Angel Cabrera",55,NA,79130,179,6594.167,13,"RoughProximity",2009
4,4,"Harrison Frazar",93,NA,166204,368,13850.333,19,"RoughProximity",2009
5,5,"Greg Chalmers",85,NA,109543,241,9128.583,10,"RoughProximity",2009
5,5,"Adam Scott",53,NA,76386,168,6365.5,19,"RoughProximity",2009
7,7,"Chris DiMarco",97,NA,128402,281,10700.167,35,"RoughProximity",2009
8,8,"Sean OHair",80,NA,104264,227,8688.667,6,"RoughProximity",2009
9,9,"David Toms",98,NA,95236,207,7936.333,13,"RoughProximity",2009
10,10,"Glen Day",79,NA,96141,208,8011.75,19,"RoughProximity",2009
11,11,"YE Yang",83,NA,116113,251,9676.083,34,"RoughProximity",2009
12,12,"Joe Ogilvie",85,NA,147516,318,12293,22,"RoughProximity",2009
13,13,"Jay Williamson",69,NA,74342,160,6195.167,27,"RoughProximity",2009
14,14,"Justin Leonard",95,NA,100257,215,8354.75,12,"RoughProximity",2009
15,15,"Jason Bohn",88,NA,106775,227,8897.917,22,"RoughProximity",2009
15,15,"Steve Flesch",77,NA,100519,214,8376.583,29,"RoughProximity",2009
17,17,"Michael Letzig",96,NA,162983,346,13581.917,24,"RoughProximity",2009
18,18,"Luke Donald",79,NA,93461,198,7788.417,18,"RoughProximity",2009
19,19,"Heath Slocum",95,NA,99308,210,8275.667,34,"RoughProximity",2009
20,20,"Geoff Ogilvy",78,NA,101959,215,8496.583,12,"RoughProximity",2009
21,21,"Dustin Johnson",85,NA,121431,255,10119.25,8,"RoughProximity",2009
22,22,"Anthony Kim",76,NA,121985,256,10165.417,14,"RoughProximity",2009
22,22,"Boo Weekley",79,NA,93074,195,7756.167,19,"RoughProximity",2009
24,24,"Kirk Triplett",60,NA,63578,133,5298.167,17,"RoughProximity",2009
25,25,"Rocco Mediate",79,NA,115283,239,9606.917,5,"RoughProximity",2009
26,26,"Chad Campbell",90,NA,118400,245,9866.667,26,"RoughProximity",2009
26,26,"Casey Wittenberg",71,NA,93687,194,7807.25,37,"RoughProximity",2009
28,28,"Rich Beem",77,NA,97672,202,8139.333,28,"RoughProximity",2009
28,28,"Ted Purdy",101,NA,147042,304,12253.5,32,"RoughProximity",2009
28,28,"Vijay Singh",71,NA,89601,185,7466.75,26,"RoughProximity",2009
28,28,"Brandt Snedeker",81,NA,88090,182,7340.833,6,"RoughProximity",2009
32,32,"Kevin Stadler",65,NA,94599,195,7883.25,17,"RoughProximity",2009
33,33,"Kevin Streelman",97,NA,144778,297,12064.833,8,"RoughProximity",2009
34,34,"Carl Pettersson",86,NA,135554,278,11296.167,34,"RoughProximity",2009
34,34,"Bubba Watson",73,NA,121904,250,10158.667,18,"RoughProximity",2009
36,36,"Michael Allen",73,NA,91045,186,7587.083,36,"RoughProximity",2009
36,36,"Andres Romero",58,NA,92881,190,7740.083,17,"RoughProximity",2009
36,36,"Matt Weibring",65,NA,88470,181,7372.5,39,"RoughProximity",2009
39,39,"Briny Baird",89,NA,110317,225,9193.083,23,"RoughProximity",2009
39,39,"Fred Couples",54,NA,83366,170,6947.167,4,"RoughProximity",2009
41,41,"Tim Clark",81,NA,71735,146,5977.917,20,"RoughProximity",2009
42,42,"Ben Crane",93,NA,116535,237,9711.25,10,"RoughProximity",2009
42,42,"Paul Goydos",79,NA,84583,172,7048.583,37,"RoughProximity",2009
42,42,"Will Ma Kenzie",69,NA,96032,195,8002.667,26,"RoughProximity",2009
42,42,"Jeff Maggert",79,NA,107154,218,8929.5,43,"RoughProximity",2009
46,46,"Kris Blanks",60,NA,65025,132,5418.75,12,"RoughProximity",2009
46,46,"Webb Simpson",94,NA,156669,318,13055.75,38,"RoughProximity",2009
48,48,"Freddie Jacobson",83,NA,135418,274,11284.833,29,"RoughProximity",2009
48,48,"Greg Owen",97,NA,118603,240,9883.583,28,"RoughProximity",2009
48,48,"Jimmy Walker",74,NA,148676,301,12389.667,31,"RoughProximity",2009
51,51,"Patrick Sheehan",51,NA,52520,106,4376.667,27,"RoughProximity",2009
52,52,"Jonathan Byrd",89,NA,121443,245,10120.25,20,"RoughProximity",2009
52,52,"Kenny Perry",92,NA,116642,235,9720.167,21,"RoughProximity",2009
52,52,"Nick Watney",86,NA,135031,272,11252.583,13,"RoughProximity",2009
55,55,"Jarrod Lyle",65,NA,87981,177,7331.75,21,"RoughProximity",2009
55,55,"Bo Van Pelt",100,NA,134677,271,11223.083,31,"RoughProximity",2009
55,55,"Charles Warren",63,NA,83022,167,6918.5,19,"RoughProximity",2009
58,58,"Daniel Chopra",89,NA,167659,337,13971.583,40,"RoughProximity",2009
59,59,"Zach Johnson",94,NA,114608,229,9550.667,12,"RoughProximity",2009
60,60,"Davis Love III",89,NA,150842,301,12570.167,42,"RoughProximity",2009
61,61,"Bob Heintz",59,NA,80820,161,6735,25,"RoughProximity",2009
62,62,"Tom Lehman",55,NA,48253,96,4021.083,10,"RoughProximity",2009
63,63,"Joe Durant",62,NA,52879,105,4406.583,22,"RoughProximity",2009
63,63,"Troy Matteson",95,NA,161890,321,13490.833,18,"RoughProximity",2009
63,63,"Phil Mickelson",66,NA,114838,228,9569.833,24,"RoughProximity",2009
63,63,"John Rollins",92,NA,128978,256,10748.167,31,"RoughProximity",2009
67,67,"Retief Goosen",74,NA,103076,204,8589.667,14,"RoughProximity",2009
67,67,"Rory Sabbatini",81,NA,135460,268,11288.333,27,"RoughProximity",2009
67,67,"John Senden",100,NA,158153,313,13179.417,34,"RoughProximity",2009
70,70,"Steve Lowery",83,NA,140603,278,11716.917,53,"RoughProximity",2009
70,70,"Chris Riley",77,NA,85576,169,7131.333,14,"RoughProximity",2009
72,72,"Bob Estes",78,NA,103990,205,8665.833,28,"RoughProximity",2009
72,72,"John Mallinger",90,NA,113630,224,9469.167,37,"RoughProximity",2009
72,72,"Justin Rose",71,NA,92354,182,7696.167,25,"RoughProximity",2009
75,75,"Tommy Armour III",58,NA,79217,156,6601.417,15,"RoughProximity",2009
75,75,"Chez Reavie",81,NA,95555,188,7962.917,35,"RoughProximity",2009
77,77,"Jason Dufner",90,NA,125139,246,10428.25,24,"RoughProximity",2009
78,78,"Stewart Cink",79,NA,121809,239,10150.75,29,"RoughProximity",2009
78,78,"Steve Elkington",70,NA,104636,205,8719.667,33,"RoughProximity",2009
78,78,"Marc Leishman",91,NA,167333,328,13944.417,31,"RoughProximity",2009
78,78,"Chris Stroud",88,NA,133727,262,11143.917,40,"RoughProximity",2009
82,82,"Nick OHern",90,NA,117715,230,9809.583,26,"RoughProximity",2009
83,83,"Woody Austin",84,NA,118549,231,9879.083,24,"RoughProximity",2009
83,83,"Scott Piercy",85,NA,162233,316,13519.417,19,"RoughProximity",2009
85,85,"David Duval",56,NA,98266,191,8188.833,53,"RoughProximity",2009
85,85,"Charles Howell III",99,NA,173810,338,14484.167,22,"RoughProximity",2009
85,85,"Colt Knost",71,NA,82758,161,6896.5,43,"RoughProximity",2009
85,85,"Spencer Levin",75,NA,120848,235,10070.667,16,"RoughProximity",2009
85,85,"Pat Perez",74,NA,100178,195,8348.167,29,"RoughProximity",2009
85,85,"Brett Quigley",92,NA,144516,281,12043,49,"RoughProximity",2009
91,91,"Jason Gore",74,NA,105508,205,8792.333,33,"RoughProximity",2009
92,92,"Lucas Glover",93,NA,131033,254,10919.417,16,"RoughProximity",2009
92,92,"Jeff Klauk",97,NA,125890,244,10490.833,29,"RoughProximity",2009
94,94,"JB Holmes",74,NA,159732,309,13311,43,"RoughProximity",2009
94,94,"David Mathis",82,NA,136411,264,11367.583,35,"RoughProximity",2009
94,94,"John Merrick",91,NA,120940,234,10078.333,34,"RoughProximity",2009
94,94,"Vaughn Taylor",88,NA,122062,236,10171.833,31,"RoughProximity",2009
94,94,"DJ Trahan",96,NA,125629,243,10469.083,44,"RoughProximity",2009
94,94,"Charlie Wi",92,NA,130397,252,10866.417,23,"RoughProximity",2009
100,100,"KJ Choi",65,NA,84991,164,7082.583,22,"RoughProximity",2009
100,100,"Tim Herron",87,NA,170567,329,14213.917,37,"RoughProximity",2009
100,100,"Ryuji Imada",85,NA,134184,259,11182,31,"RoughProximity",2009
100,100,"Tag Ridings",50,NA,90687,175,7557.25,18,"RoughProximity",2009
104,104,"Leif Olson",51,NA,92306,178,7692.167,40,"RoughProximity",2009
105,105,"Jerry Kelly",90,NA,137839,264,11486.583,24,"RoughProximity",2009
105,105,"Greg Kraft",51,NA,78285,150,6523.75,34,"RoughProximity",2009
105,105,"Brian Vranesh",51,NA,80984,155,6748.667,16,"RoughProximity",2009
108,108,"Ken Duke",87,NA,136922,262,11410.167,32,"RoughProximity",2009
109,109,"Matt Kuchar",82,NA,118916,226,9909.667,2,"RoughProximity",2009
110,110,"Bill Haas",91,NA,150673,286,12556.083,9,"RoughProximity",2009
110,110,"Todd Hamilton",83,NA,116013,220,9667.75,43,"RoughProximity",2009
110,110,"JJ Henry",97,NA,147092,279,12257.667,34,"RoughProximity",2009
110,110,"George McNeill",82,NA,155863,296,12988.583,33,"RoughProximity",2009
110,110,"Corey Pavin",73,NA,83732,159,6977.667,23,"RoughProximity",2009
115,115,"Matt Bettencourt",98,NA,181048,343,15087.333,66,"RoughProximity",2009
115,115,"Hunter Mahan",94,NA,133498,253,11124.833,25,"RoughProximity",2009
115,115,"Ian Poulter",59,NA,75459,143,6288.25,17,"RoughProximity",2009
115,115,"Peter Tomasulo",61,NA,83403,158,6950.25,29,"RoughProximity",2009
115,115,"Mark Wilson",99,NA,134175,254,11181.25,33,"RoughProximity",2009
120,120,"Martin Laird",72,NA,117921,223,9826.75,13,"RoughProximity",2009
120,120,"Darron Stiles",52,NA,54479,103,4539.917,22,"RoughProximity",2009
120,120,"Marc Turnesa",77,NA,133214,252,11101.167,44,"RoughProximity",2009
123,123,"Mark Calcavecchia",72,NA,121273,229,10106.083,24,"RoughProximity",2009
123,123,"Cliff Kresge",78,NA,118112,223,9842.667,33,"RoughProximity",2009
123,123,"Tim Petrovic",97,NA,146162,276,12180.167,16,"RoughProximity",2009
123,123,"Tiger Woods",64,NA,84332,159,7027.667,-12,"RoughProximity",2009
127,127,"Kevin Na",91,NA,145989,275,12165.75,38,"RoughProximity",2009
127,127,"Scott Sterling",51,NA,73756,139,6146.333,19,"RoughProximity",2009
129,129,"Robert Allenby",71,NA,95680,180,7973.333,9,"RoughProximity",2009
129,129,"Nicholas Thompson",96,NA,158050,297,13170.833,53,"RoughProximity",2009
131,131,"Derek Fathauer",63,NA,122016,229,10168,57,"RoughProximity",2009
131,131,"Kent Jones",73,NA,90635,170,7552.917,26,"RoughProximity",2009
133,133,"Gary Woodland",53,NA,91318,171,7609.833,52,"RoughProximity",2009
