"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2016","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2016","BirdieorBetterPercentageRightRough_PLAYERNAME_2016","BirdieorBetterPercentageRightRough_ROUNDS_2016","BirdieorBetterPercentageRightRough_Pct_2016","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2016","BirdieorBetterPercentageRightRough_TOTALHOLES_2016","stat_name","year"
1,2,"DA Points",32,28.13,9,32,"BirdieorBetterPercentageRightRough",2016
1,3,"Bubba Watson",30,28.13,9,32,"BirdieorBetterPercentageRightRough",2016
3,14,"Rory McIlroy",37,27.66,13,47,"BirdieorBetterPercentageRightRough",2016
4,4,"Cameron Percy",22,26.67,8,30,"BirdieorBetterPercentageRightRough",2016
5,5,"Miguel Angel Carballo",24,26.32,10,38,"BirdieorBetterPercentageRightRough",2016
6,1,"Jason Bohn",37,26.19,11,42,"BirdieorBetterPercentageRightRough",2016
7,8,"Vijay Singh",42,26.03,19,73,"BirdieorBetterPercentageRightRough",2016
8,10,"Chris Stroud",52,25.56,23,90,"BirdieorBetterPercentageRightRough",2016
9,7,"Peter Malnati",53,25.53,24,94,"BirdieorBetterPercentageRightRough",2016
10,11,"Louis Oosthuizen",25,25,5,20,"BirdieorBetterPercentageRightRough",2016
11,13,"Brandt Snedeker",47,24.59,15,61,"BirdieorBetterPercentageRightRough",2016
12,16,"Jordan Spieth",34,24.14,7,29,"BirdieorBetterPercentageRightRough",2016
13,17,"Marc Leishman",41,24,12,50,"BirdieorBetterPercentageRightRough",2016
14,15,"Jamie Lovemark",57,23.85,26,109,"BirdieorBetterPercentageRightRough",2016
15,9,"Davis Love III",40,23.81,10,42,"BirdieorBetterPercentageRightRough",2016
15,5,"Brian Stuard",24,23.81,5,21,"BirdieorBetterPercentageRightRough",2016
17,11,"Sam Saunders",40,23.4,11,47,"BirdieorBetterPercentageRightRough",2016
18,22,"Henrik Stenson",30,23.08,6,26,"BirdieorBetterPercentageRightRough",2016
18,18,"Jhonattan Vegas",49,23.08,18,78,"BirdieorBetterPercentageRightRough",2016
20,19,"Dustin Johnson",37,22.73,10,44,"BirdieorBetterPercentageRightRough",2016
20,19,"Andrew Landry",24,22.73,5,22,"BirdieorBetterPercentageRightRough",2016
22,67,"Phil Mickelson",37,22.64,12,53,"BirdieorBetterPercentageRightRough",2016
23,21,"Brooks Koepka",39,22.22,12,54,"BirdieorBetterPercentageRightRough",2016
24,34,"Colt Knost",56,22.03,13,59,"BirdieorBetterPercentageRightRough",2016
25,22,"Brice Garnett",29,21.74,5,23,"BirdieorBetterPercentageRightRough",2016
26,36,"Tom Hoge",47,21.62,16,74,"BirdieorBetterPercentageRightRough",2016
27,32,"Charles Howell III",63,21.17,29,137,"BirdieorBetterPercentageRightRough",2016
28,29,"Jason Day",36,20.93,9,43,"BirdieorBetterPercentageRightRough",2016
29,38,"Luke List",51,20.91,23,110,"BirdieorBetterPercentageRightRough",2016
