"ConsecutiveCuts_RANKTHISWEEK_2012","ConsecutiveCuts_RANKLASTWEEK_2012","ConsecutiveCuts_PLAYERNAME_2012","ConsecutiveCuts__2012","ConsecutiveCuts_TOTAL_2012","ConsecutiveCuts_STARTTOURNAMENTID_2012","stat_name","year"
1,1,"Jason Dufner",NA,21,2012030,"ConsecutiveCuts",2012
2,2,"Seung Yul Noh",NA,17,2012180,"ConsecutiveCuts",2012
3,3,"Ian Poulter",NA,15,2012050,"ConsecutiveCuts",2012
4,4,"Vijay Singh",NA,12,2012270,"ConsecutiveCuts",2012
5,5,"Billy Horschel",NA,11,2012250,"ConsecutiveCuts",2012
5,5,"Zach Johnson",NA,11,2012260,"ConsecutiveCuts",2012
5,5,"Chris Kirk",NA,11,2012300,"ConsecutiveCuts",2012
5,5,"Steve Stricker",NA,11,2012240,"ConsecutiveCuts",2012
9,9,"Robert Garrigus",NA,10,2012280,"ConsecutiveCuts",2012
9,9,"Padraig Harrington",NA,10,2012220,"ConsecutiveCuts",2012
9,9,"Carl Pettersson",NA,10,2012290,"ConsecutiveCuts",2012
9,9,"Adam Scott",NA,10,2012240,"ConsecutiveCuts",2012
13,13,"Dustin Johnson",NA,9,2012280,"ConsecutiveCuts",2012
13,13,"John Senden",NA,9,2012260,"ConsecutiveCuts",2012
13,13,"Jimmy Walker",NA,9,2012300,"ConsecutiveCuts",2012
16,16,"John Huh",NA,8,2012330,"ConsecutiveCuts",2012
16,16,"Russell Knox",NA,8,2012310,"ConsecutiveCuts",2012
16,16,"Louis Oosthuizen",NA,8,2012270,"ConsecutiveCuts",2012
16,16,"Kevin Streelman",NA,8,2012290,"ConsecutiveCuts",2012
20,20,"Jonas Blixt",NA,7,2012370,"ConsecutiveCuts",2012
20,20,"Luke Donald",NA,7,2012320,"ConsecutiveCuts",2012
20,20,"Ernie Els",NA,7,2012350,"ConsecutiveCuts",2012
20,20,"Tom Gillis",NA,7,2012300,"ConsecutiveCuts",2012
20,20,"Paul Lawrie",NA,7,2011310,"ConsecutiveCuts",2012
20,20,"Rory McIlroy",NA,7,2012320,"ConsecutiveCuts",2012
20,20,"Chris Riley",NA,7,2012220,"ConsecutiveCuts",2012
20,20,"Charl Schwartzel",NA,7,2012330,"ConsecutiveCuts",2012
20,20,"Bo Van Pelt",NA,7,2012330,"ConsecutiveCuts",2012
20,20,"Tiger Woods",NA,7,2012320,"ConsecutiveCuts",2012
30,30,"Patrick Cantlay",NA,6,2012280,"ConsecutiveCuts",2012
30,30,"Bud Cauley",NA,6,2012370,"ConsecutiveCuts",2012
30,30,"Greg Chalmers",NA,6,2012320,"ConsecutiveCuts",2012
30,30,"Harris English",NA,6,2012370,"ConsecutiveCuts",2012
