"AverageApproachShotDistance_RANKTHISWEEK_2007","AverageApproachShotDistance_RANKLASTWEEK_2007","AverageApproachShotDistance_PLAYERNAME_2007","AverageApproachShotDistance_ROUNDS_2007","AverageApproachShotDistance_AVG_2007","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2007","AverageApproachShotDistance_TOTALHOLES_2007","stat_name","year"
1,1,"Mark Brooks",53,157.3,4140347,731,"AverageApproachShotDistance",2007
2,2,"Bryce Molder",56,157.6,4977181,877,"AverageApproachShotDistance",2007
3,3,"Michael Sim",52,157.7,5086211,896,"AverageApproachShotDistance",2007
4,4,"Tommy Armour III",81,158.3,7028010,1233,"AverageApproachShotDistance",2007
5,5,"Jarrod Lyle",77,158.8,6858002,1200,"AverageApproachShotDistance",2007
6,6,"Darron Stiles",65,159.2,5444874,950,"AverageApproachShotDistance",2007
7,7,"Chris Stroud",66,159.3,5733306,1000,"AverageApproachShotDistance",2007
7,7,"Jay Williamson",50,159.3,4941906,862,"AverageApproachShotDistance",2007
9,9,"Craig Bowden",78,159.5,6898004,1201,"AverageApproachShotDistance",2007
9,9,"Bubba Dickerson",51,159.5,4375206,762,"AverageApproachShotDistance",2007
9,9,"Jim Rutledge",59,159.5,4718699,822,"AverageApproachShotDistance",2007
12,12,"Tim Clark",66,159.6,5457523,950,"AverageApproachShotDistance",2007
12,12,"Glen Day",85,159.6,7708913,1342,"AverageApproachShotDistance",2007
14,14,"Todd Hamilton",76,159.7,5967766,1038,"AverageApproachShotDistance",2007
14,14,"JP Hayes",89,159.7,8255548,1436,"AverageApproachShotDistance",2007
16,16,"Justin Leonard",95,160,8445445,1466,"AverageApproachShotDistance",2007
17,17,"Chris Riley",59,160.1,5280681,916,"AverageApproachShotDistance",2007
18,18,"Tag Ridings",52,160.2,4635656,804,"AverageApproachShotDistance",2007
19,19,"Michael Boyd",61,160.3,5360270,929,"AverageApproachShotDistance",2007
19,19,"Fred Funk",65,160.3,5489228,951,"AverageApproachShotDistance",2007
21,21,"Bob Heintz",85,160.4,7413484,1284,"AverageApproachShotDistance",2007
22,22,"Kirk Triplett",77,160.5,7047790,1220,"AverageApproachShotDistance",2007
23,23,"Daniel Chopra",106,160.6,9821334,1699,"AverageApproachShotDistance",2007
23,23,"Ryan Palmer",91,160.6,8494103,1469,"AverageApproachShotDistance",2007
25,25,"Geoff Ogilvy",84,160.7,6623679,1145,"AverageApproachShotDistance",2007
26,26,"Tom Byrum",50,160.8,4237723,732,"AverageApproachShotDistance",2007
27,27,"Brian Gay",107,160.9,10047863,1735,"AverageApproachShotDistance",2007
28,28,"Bob Estes",88,161.1,8282340,1428,"AverageApproachShotDistance",2007
28,28,"Mark Wilson",87,161.1,7588156,1308,"AverageApproachShotDistance",2007
30,30,"Rich Barcelo",80,161.2,7265294,1252,"AverageApproachShotDistance",2007
31,31,"Stuart Appleby",74,161.3,6033628,1039,"AverageApproachShotDistance",2007
31,31,"Jeff Brehaut",59,161.3,5104778,879,"AverageApproachShotDistance",2007
33,33,"Freddie Jacobson",70,161.4,7078728,1218,"AverageApproachShotDistance",2007
33,33,"Lee Janzen",66,161.4,5408845,931,"AverageApproachShotDistance",2007
35,35,"Dicky Pride",71,161.5,6356003,1093,"AverageApproachShotDistance",2007
35,35,"Joey Sindelar",75,161.5,7005214,1205,"AverageApproachShotDistance",2007
35,35,"Steve Stricker",81,161.5,6761476,1163,"AverageApproachShotDistance",2007
35,35,"David Toms",80,161.5,6553831,1127,"AverageApproachShotDistance",2007
39,39,"Brendon de Jonge",76,161.6,6886883,1184,"AverageApproachShotDistance",2007
39,39,"John Mallinger",96,161.6,9071619,1559,"AverageApproachShotDistance",2007
41,41,"Michael Allen",74,161.7,6655139,1143,"AverageApproachShotDistance",2007
41,41,"Paul Goydos",60,161.7,4902661,842,"AverageApproachShotDistance",2007
41,41,"Richard Johnson",93,161.7,8774741,1507,"AverageApproachShotDistance",2007
41,41,"Matt Kuchar",85,161.7,7396866,1271,"AverageApproachShotDistance",2007
41,41,"Greg Owen",81,161.7,7284357,1251,"AverageApproachShotDistance",2007
46,46,"Ryan Armour",107,161.8,9793161,1681,"AverageApproachShotDistance",2007
47,47,"Craig Barlow",52,161.9,4597515,789,"AverageApproachShotDistance",2007
47,47,"Andrew Buckle",77,161.9,6983974,1198,"AverageApproachShotDistance",2007
49,49,"Joe Durant",88,162,7639030,1310,"AverageApproachShotDistance",2007
49,49,"Shigeki Maruyama",84,162,8347775,1431,"AverageApproachShotDistance",2007
49,49,"Jason Schultz",63,162,5501052,943,"AverageApproachShotDistance",2007
49,49,"Chris Tidland",59,162,5312782,911,"AverageApproachShotDistance",2007
53,53,"Brian Bateman",55,162.1,4591808,787,"AverageApproachShotDistance",2007
