"ConsecutiveBirdiesStreak_RANKTHISWEEK_2011","ConsecutiveBirdiesStreak_RANKLASTWEEK_2011","ConsecutiveBirdiesStreak_PLAYERNAME_2011","ConsecutiveBirdiesStreak_EVENTS_2011","ConsecutiveBirdiesStreak_NUMBEROFHOLES_2011","stat_name","year"
1,1,"Scott Piercy",23,8,"ConsecutiveBirdiesStreak",2011
2,2,"Shane Bertsch",20,6,"ConsecutiveBirdiesStreak",2011
2,2,"Luke Donald",19,6,"ConsecutiveBirdiesStreak",2011
2,2,"Brian Gay",26,6,"ConsecutiveBirdiesStreak",2011
2,2,"Bill Haas",26,6,"ConsecutiveBirdiesStreak",2011
2,2,"JJ Henry",28,6,"ConsecutiveBirdiesStreak",2011
2,2,"Justin Leonard",26,6,"ConsecutiveBirdiesStreak",2011
2,2,"John Mallinger",15,6,"ConsecutiveBirdiesStreak",2011
2,2,"Nick OHern",29,6,"ConsecutiveBirdiesStreak",2011
2,2,"Andres Romero",22,6,"ConsecutiveBirdiesStreak",2011
2,2,"Kevin Stadler",27,6,"ConsecutiveBirdiesStreak",2011
2,2,"Jhonattan Vegas",25,6,"ConsecutiveBirdiesStreak",2011
2,2,"Garrett Willis",24,6,"ConsecutiveBirdiesStreak",2011
2,2,"YE Yang",18,6,"ConsecutiveBirdiesStreak",2011
15,15,"Robert Allenby",25,5,"ConsecutiveBirdiesStreak",2011
15,15,"Ricky Barnes",23,5,"ConsecutiveBirdiesStreak",2011
15,15,"Kris Blanks",29,5,"ConsecutiveBirdiesStreak",2011
15,15,"Chad Campbell",29,5,"ConsecutiveBirdiesStreak",2011
15,15,"Bud Cauley",8,5,"ConsecutiveBirdiesStreak",2011
15,15,"Chris Couch",21,5,"ConsecutiveBirdiesStreak",2011
15,15,"Brendon de Jonge",30,5,"ConsecutiveBirdiesStreak",2011
15,15,"Fabian Gomez",26,5,"ConsecutiveBirdiesStreak",2011
15,15,"Jason Gore",6,5,"ConsecutiveBirdiesStreak",2011
15,15,"Paul Goydos",25,5,"ConsecutiveBirdiesStreak",2011
15,15,"Mathias Gronberg",1,5,"ConsecutiveBirdiesStreak",2011
15,15,"Hunter Haas",30,5,"ConsecutiveBirdiesStreak",2011
15,15,"JB Holmes",16,5,"ConsecutiveBirdiesStreak",2011
15,15,"Trevor Immelman",25,5,"ConsecutiveBirdiesStreak",2011
15,15,"Freddie Jacobson",25,5,"ConsecutiveBirdiesStreak",2011
15,15,"Lee Janzen",19,5,"ConsecutiveBirdiesStreak",2011
15,15,"Brandt Jobe",28,5,"ConsecutiveBirdiesStreak",2011
15,15,"Zach Johnson",23,5,"ConsecutiveBirdiesStreak",2011
15,15,"Dustin Johnson",21,5,"ConsecutiveBirdiesStreak",2011
15,15,"Sung Kang",21,5,"ConsecutiveBirdiesStreak",2011
15,15,"Martin Kaymer",10,5,"ConsecutiveBirdiesStreak",2011
15,15,"Anthony Kim",26,5,"ConsecutiveBirdiesStreak",2011
15,15,"Derek Lamely",26,5,"ConsecutiveBirdiesStreak",2011
15,15,"Marc Leishman",27,5,"ConsecutiveBirdiesStreak",2011
15,15,"Spencer Levin",31,5,"ConsecutiveBirdiesStreak",2011
15,15,"Peter Lonard",2,5,"ConsecutiveBirdiesStreak",2011
15,15,"Bill Lunde",28,5,"ConsecutiveBirdiesStreak",2011
15,15,"Jarrod Lyle",29,5,"ConsecutiveBirdiesStreak",2011
15,15,"Hunter Mahan",25,5,"ConsecutiveBirdiesStreak",2011
15,15,"Steve Marino",23,5,"ConsecutiveBirdiesStreak",2011
15,15,"Shigeki Maruyama",2,5,"ConsecutiveBirdiesStreak",2011
15,15,"Troy Matteson",28,5,"ConsecutiveBirdiesStreak",2011
15,15,"Scott McCarron",22,5,"ConsecutiveBirdiesStreak",2011
15,15,"John Merrick",21,5,"ConsecutiveBirdiesStreak",2011
15,15,"Phil Mickelson",21,5,"ConsecutiveBirdiesStreak",2011
15,15,"Bryce Molder",27,5,"ConsecutiveBirdiesStreak",2011
