"StrokesGainedTotal_RANKTHISWEEK_2011","StrokesGainedTotal_RANKLASTWEEK_2011","StrokesGainedTotal_PLAYERNAME_2011","StrokesGainedTotal_ROUNDS_2011","StrokesGainedTotal_AVERAGE_2011","StrokesGainedTotal_TOTALSGT_2011","StrokesGainedTotal_TOTALSGT2G_2011","StrokesGainedTotal_TOTALSGP_2011","StrokesGainedTotal_MEASUREDROUNDS_2011","stat_name","year"
171,171,"Bio Kim",71,-0.948,-54.966,-56.394,1.428,58,"StrokesGainedTotal",2011
172,172,"Bobby Gates",82,-0.983,-65.828,-37.665,-28.163,67,"StrokesGainedTotal",2011
172,172,"Kevin Kisner",70,-0.983,-56.025,-60.007,3.982,57,"StrokesGainedTotal",2011
174,174,"Nate Smith",66,-0.984,-52.137,-71.735,19.598,53,"StrokesGainedTotal",2011
175,175,"Alex Prugh",82,-1.041,-73.927,-29.129,-44.798,71,"StrokesGainedTotal",2011
176,176,"Zack Miller",86,-1.116,-83.714,-51.867,-31.847,75,"StrokesGainedTotal",2011
177,177,"Troy Merritt",63,-1.132,-64.517,-45.83,-18.687,57,"StrokesGainedTotal",2011
178,178,"Will Strickler",51,-1.143,-49.14,-64.18,15.04,43,"StrokesGainedTotal",2011
179,179,"Richard Johnson",64,-1.149,-62.052,-67.655,4.614,54,"StrokesGainedTotal",2011
180,180,"DJ Brigman",67,-1.158,-63.693,-50.053,-13.64,55,"StrokesGainedTotal",2011
181,181,"Rich Beem",53,-1.361,-62.608,-36.079,-26.529,46,"StrokesGainedTotal",2011
182,182,"Derek Lamely",65,-1.439,-83.466,-68.252,-15.214,58,"StrokesGainedTotal",2011
183,183,"Martin Piller",63,-1.453,-75.577,-81.792,6.215,52,"StrokesGainedTotal",2011
184,184,"Justin Hicks",60,-1.566,-68.912,-27.471,-41.441,44,"StrokesGainedTotal",2011
185,185,"Rocco Mediate",53,-1.642,-78.803,-52.068,-26.735,48,"StrokesGainedTotal",2011
186,186,"Daniel Summerhays",75,-1.667,-110.028,-95.228,-14.8,66,"StrokesGainedTotal",2011
