"PuttingInside10_RANKTHISWEEK_2011","PuttingInside10_RANKLASTWEEK_2011","PuttingInside10_PLAYERNAME_2011","PuttingInside10_ROUNDS_2011","PuttingInside10_PctMADE_2011","PuttingInside10_ATTEMPTS_2011","PuttingInside10_PUTTSMADE_2011","stat_name","year"
84,84,"KJ Choi",77,87.4,1040,909,"PuttingInside10",2011
85,85,"Troy Matteson",91,87.38,1514,1323,"PuttingInside10",2011
86,86,"David Toms",78,87.37,1061,927,"PuttingInside10",2011
87,87,"David Mathis",83,87.36,1282,1120,"PuttingInside10",2011
88,88,"Paul Stankowski",78,87.33,1200,1048,"PuttingInside10",2011
89,89,"Steven Bowditch",86,87.32,1451,1267,"PuttingInside10",2011
90,90,"Marc Leishman",87,87.31,1474,1287,"PuttingInside10",2011
90,90,"Jeff Overton",92,87.31,1355,1183,"PuttingInside10",2011
92,92,"Stephen Ames",69,87.29,1117,975,"PuttingInside10",2011
93,93,"Gary Woodland",93,87.28,1297,1132,"PuttingInside10",2011
94,94,"Kevin Kisner",70,87.26,1052,918,"PuttingInside10",2011
95,95,"Webb Simpson",98,87.21,1532,1336,"PuttingInside10",2011
96,96,"Shaun Micheel",77,87.2,1203,1049,"PuttingInside10",2011
97,97,"Jim Renner",65,87.19,976,851,"PuttingInside10",2011
98,98,"Tag Ridings",87,87.18,1365,1190,"PuttingInside10",2011
99,99,"Jimmy Walker",79,87.15,1409,1228,"PuttingInside10",2011
100,100,"Davis Love III",70,87.13,987,860,"PuttingInside10",2011
101,101,"JB Holmes",57,87.07,882,768,"PuttingInside10",2011
102,102,"Stuart Appleby",65,87.05,1135,988,"PuttingInside10",2011
103,103,"Woody Austin",59,87.02,940,818,"PuttingInside10",2011
103,103,"George McNeill",69,87.02,1086,945,"PuttingInside10",2011
105,105,"Nick OHern",89,86.99,1399,1217,"PuttingInside10",2011
106,106,"Chris DiMarco",93,86.93,1538,1337,"PuttingInside10",2011
107,107,"Shane Bertsch",62,86.91,955,830,"PuttingInside10",2011
108,108,"Bubba Watson",85,86.9,1107,962,"PuttingInside10",2011
109,109,"James Driscoll",71,86.87,1135,986,"PuttingInside10",2011
110,110,"Ricky Barnes",78,86.86,1210,1051,"PuttingInside10",2011
111,111,"Troy Merritt",63,86.84,1079,937,"PuttingInside10",2011
111,111,"Scott Stallings",84,86.84,1299,1128,"PuttingInside10",2011
113,113,"Arjun Atwal",91,86.78,1535,1332,"PuttingInside10",2011
113,113,"Rickie Fowler",84,86.78,1188,1031,"PuttingInside10",2011
113,113,"John Merrick",71,86.78,1104,958,"PuttingInside10",2011
116,116,"Keegan Bradley",91,86.77,1429,1240,"PuttingInside10",2011
117,117,"Cameron Beckman",71,86.75,1177,1021,"PuttingInside10",2011
117,117,"Chris Kirk",87,86.75,1441,1250,"PuttingInside10",2011
119,119,"Joe Ogilvie",75,86.71,1121,972,"PuttingInside10",2011
120,120,"Pat Perez",76,86.65,1288,1116,"PuttingInside10",2011
121,121,"Chris Stroud",88,86.61,1456,1261,"PuttingInside10",2011
122,122,"Derek Lamely",65,86.59,1081,936,"PuttingInside10",2011
122,122,"Charl Schwartzel",58,86.59,753,652,"PuttingInside10",2011
124,124,"Anthony Kim",72,86.56,1086,940,"PuttingInside10",2011
124,124,"Rod Pampling",72,86.56,1109,960,"PuttingInside10",2011
126,126,"Robert Karlsson",61,86.54,847,733,"PuttingInside10",2011
127,127,"Lucas Glover",74,86.53,1099,951,"PuttingInside10",2011
127,127,"Matt Jones",71,86.53,1195,1034,"PuttingInside10",2011
129,129,"Robert Allenby",84,86.52,1306,1130,"PuttingInside10",2011
129,129,"Bo Van Pelt",92,86.52,1343,1162,"PuttingInside10",2011
131,131,"Jason Dufner",78,86.49,1221,1056,"PuttingInside10",2011
132,132,"Jim Herman",69,86.48,1080,934,"PuttingInside10",2011
132,132,"Kent Jones",76,86.48,1235,1068,"PuttingInside10",2011
134,134,"Alex Prugh",82,86.47,1360,1176,"PuttingInside10",2011
134,134,"Garrett Willis",71,86.47,1197,1035,"PuttingInside10",2011
136,136,"Joseph Bramlett",73,86.44,1143,988,"PuttingInside10",2011
136,136,"Jarrod Lyle",83,86.44,1357,1173,"PuttingInside10",2011
136,136,"Martin Piller",63,86.44,959,829,"PuttingInside10",2011
139,139,"Chad Campbell",99,86.41,1656,1431,"PuttingInside10",2011
140,140,"Heath Slocum",89,86.39,1411,1219,"PuttingInside10",2011
141,141,"Matt Bettencourt",84,86.37,1409,1217,"PuttingInside10",2011
141,141,"Rory Sabbatini",85,86.37,1152,995,"PuttingInside10",2011
143,143,"Sung Kang",63,86.32,943,814,"PuttingInside10",2011
144,144,"Sean OHair",71,86.31,1125,971,"PuttingInside10",2011
145,145,"Chris Riley",76,86.3,1277,1102,"PuttingInside10",2011
146,146,"Brian Davis",105,86.28,1720,1484,"PuttingInside10",2011
146,146,"Bill Lunde",92,86.28,1443,1245,"PuttingInside10",2011
148,148,"Aron Price",58,86.24,923,796,"PuttingInside10",2011
149,149,"JP Hayes",56,86.21,885,763,"PuttingInside10",2011
150,150,"Brandt Jobe",100,86.2,1514,1305,"PuttingInside10",2011
151,151,"Chez Reavie",92,86.17,1526,1315,"PuttingInside10",2011
152,152,"Billy Mayfair",94,86.16,1597,1376,"PuttingInside10",2011
153,153,"John Rollins",85,86.11,1339,1153,"PuttingInside10",2011
153,153,"Adam Scott",60,86.11,857,738,"PuttingInside10",2011
155,155,"Charley Hoffman",93,86.04,1397,1202,"PuttingInside10",2011
156,156,"Camilo Villegas",69,85.9,1064,914,"PuttingInside10",2011
157,157,"DJ Brigman",67,85.82,1037,890,"PuttingInside10",2011
157,157,"Jhonattan Vegas",84,85.82,1326,1138,"PuttingInside10",2011
