"Par3ScoringAverage_RANKTHISWEEK_2006","Par3ScoringAverage_RANKLASTWEEK_2006","Par3ScoringAverage_PLAYERNAME_2006","Par3ScoringAverage_ROUNDS_2006","Par3ScoringAverage_AVG_2006","Par3ScoringAverage_TOTALSTROKES_2006","Par3ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Luke Donald",66,2.96,749,253,"Par3ScoringAverage",2006
1,1,"Jim Furyk",89,2.96,1034,349,"Par3ScoringAverage",2006
3,3,"Corey Pavin",74,2.97,848,286,"Par3ScoringAverage",2006
4,4,"Jose Maria Olazabal",62,2.98,694,233,"Par3ScoringAverage",2006
5,5,"Adam Scott",70,2.99,818,274,"Par3ScoringAverage",2006
5,5,"Kirk Triplett",58,2.99,676,226,"Par3ScoringAverage",2006
5,5,"Scott Verplank",88,2.99,1054,353,"Par3ScoringAverage",2006
8,8,"Tommy Armour III",65,3,804,268,"Par3ScoringAverage",2006
8,8,"Jonathan Byrd",66,3,820,273,"Par3ScoringAverage",2006
8,8,"Brian Gay",107,3,1309,437,"Par3ScoringAverage",2006
8,8,"Tom Pernice Jr",108,3,1280,426,"Par3ScoringAverage",2006
8,8,"Justin Rose",98,3,1156,385,"Par3ScoringAverage",2006
13,13,"Chad Campbell",91,3.01,1062,353,"Par3ScoringAverage",2006
13,13,"Padraig Harrington",54,3.01,602,200,"Par3ScoringAverage",2006
13,13,"Richard Johnson",94,3.01,1163,386,"Par3ScoringAverage",2006
13,13,"Duffy Waldorf",96,3.01,1138,378,"Par3ScoringAverage",2006
17,17,"Trevor Immelman",86,3.02,1050,348,"Par3ScoringAverage",2006
17,17,"Stephen Leaney",84,3.02,1043,345,"Par3ScoringAverage",2006
17,17,"Brett Quigley",109,3.02,1290,427,"Par3ScoringAverage",2006
17,17,"Rory Sabbatini",84,3.02,1021,338,"Par3ScoringAverage",2006
17,17,"Jerry Smith",94,3.02,1129,374,"Par3ScoringAverage",2006
17,17,"Steve Stricker",64,3.02,764,253,"Par3ScoringAverage",2006
17,17,"Tiger Woods",55,3.02,628,208,"Par3ScoringAverage",2006
24,24,"Stewart Cink",93,3.03,1090,360,"Par3ScoringAverage",2006
24,24,"Tim Clark",80,3.03,976,322,"Par3ScoringAverage",2006
24,24,"Ben Crane",85,3.03,975,322,"Par3ScoringAverage",2006
24,24,"Hunter Mahan",98,3.03,1217,401,"Par3ScoringAverage",2006
24,24,"Shaun Micheel",96,3.03,1153,381,"Par3ScoringAverage",2006
24,24,"Sean OHair",100,3.03,1188,392,"Par3ScoringAverage",2006
24,24,"Arron Oberholser",82,3.03,962,317,"Par3ScoringAverage",2006
