"BonusPutting_RANKTHISWEEK_2006","BonusPutting_RANKLASTWEEK_2006","BonusPutting_PLAYERNAME_2006","BonusPutting_ROUNDS_2006","BonusPutting_VALUE_2006","BonusPutting_ATTEMPTS_2006","BonusPutting_TOTMADE20_2006","BonusPutting_TOTMADE_2006","stat_name","year"
1,1,"Richard Johnson",94,102.22,1172,55,1143,"BonusPutting",2006
2,2,"Brett Quigley",109,102,1297,62,1261,"BonusPutting",2006
3,3,"JJ Henry",96,101.99,1106,47,1081,"BonusPutting",2006
4,4,"Jose Maria Olazabal",62,101.97,558,26,543,"BonusPutting",2006
5,5,"Stewart Cink",93,101.71,994,38,973,"BonusPutting",2006
5,5,"David Howell",52,101.71,410,20,397,"BonusPutting",2006
7,7,"Brad Faxon",78,101.59,1005,43,978,"BonusPutting",2006
8,8,"Steve Stricker",64,101.39,720,24,706,"BonusPutting",2006
9,9,"Tom Pernice Jr",108,101.31,1218,59,1175,"BonusPutting",2006
10,10,"Mark OMeara",52,101.21,495,23,478,"BonusPutting",2006
11,11,"Robert Allenby",79,101.18,849,31,828,"BonusPutting",2006
12,12,"Tiger Woods",55,101.16,519,21,504,"BonusPutting",2006
13,13,"Jim Furyk",89,101.15,955,37,929,"BonusPutting",2006
14,14,"Geoff Ogilvy",76,101.1,725,22,711,"BonusPutting",2006
15,15,"Ian Poulter",53,101.05,574,20,560,"BonusPutting",2006
15,15,"David Toms",76,101.05,857,34,832,"BonusPutting",2006
17,17,"Larry Mize",53,101.02,590,24,572,"BonusPutting",2006
18,18,"Dean Wilson",115,100.99,1307,55,1265,"BonusPutting",2006
19,19,"Arron Oberholser",82,100.91,881,32,857,"BonusPutting",2006
19,19,"Heath Slocum",96,100.91,1214,41,1184,"BonusPutting",2006
21,21,"Brian Gay",107,100.89,1352,51,1313,"BonusPutting",2006
22,22,"Brent Geiberger",99,100.87,1265,56,1220,"BonusPutting",2006
23,23,"Shigeki Maruyama",94,100.82,1101,41,1069,"BonusPutting",2006
24,24,"John Cook",67,100.77,777,28,755,"BonusPutting",2006
24,24,"Jimmy Walker",60,100.77,780,22,764,"BonusPutting",2006
26,26,"Ben Crane",85,100.74,816,29,793,"BonusPutting",2006
26,26,"Tom Lehman",70,100.74,673,25,653,"BonusPutting",2006
28,28,"Ryan Palmer",101,100.61,1143,40,1110,"BonusPutting",2006
28,28,"Corey Pavin",74,100.61,818,30,793,"BonusPutting",2006
30,30,"Chris Smith",67,100.6,835,37,803,"BonusPutting",2006
31,31,"Marco Dawson",87,100.55,1098,43,1061,"BonusPutting",2006
32,32,"KJ Choi",93,100.54,1120,37,1089,"BonusPutting",2006
33,33,"Ben Curtis",86,100.51,973,42,936,"BonusPutting",2006
34,34,"Trevor Immelman",86,100.48,1050,35,1020,"BonusPutting",2006
35,35,"Nathan Green",108,100.46,1291,47,1250,"BonusPutting",2006
36,36,"Ernie Els",69,100.44,677,21,659,"BonusPutting",2006
37,37,"Vance Veazey",59,100.39,763,26,740,"BonusPutting",2006
38,38,"Rod Pampling",89,100.34,887,32,858,"BonusPutting",2006
39,39,"Aaron Baddeley",78,100.32,946,36,913,"BonusPutting",2006
39,39,"Daniel Chopra",110,100.32,1237,35,1206,"BonusPutting",2006
41,41,"Retief Goosen",68,100.31,648,21,629,"BonusPutting",2006
42,42,"Harrison Frazar",95,100.29,1048,31,1020,"BonusPutting",2006
43,43,"JL Lewis",57,100.28,703,24,681,"BonusPutting",2006
43,43,"Vaughn Taylor",88,100.28,1070,44,1029,"BonusPutting",2006
45,45,"Mathias Gronberg",92,100.26,1135,45,1093,"BonusPutting",2006
46,46,"Len Mattiace",59,100.14,732,29,704,"BonusPutting",2006
47,47,"Freddie Jacobson",56,100.13,760,27,734,"BonusPutting",2006
48,48,"Ryan Moore",68,100.12,801,25,777,"BonusPutting",2006
49,49,"Stuart Appleby",83,100.11,892,30,863,"BonusPutting",2006
50,50,"David McKenzie",82,100.1,978,46,933,"BonusPutting",2006
50,50,"Jesper Parnevik",84,100.1,1015,32,984,"BonusPutting",2006
50,50,"DA Points",82,100.1,1017,38,980,"BonusPutting",2006
53,53,"Olin Browne",108,100.09,1171,40,1132,"BonusPutting",2006
54,54,"Todd Hamilton",72,100,804,28,776,"BonusPutting",2006
54,54,"Davis Love III",85,100,785,30,755,"BonusPutting",2006
54,54,"Jason Schultz",77,100,950,33,917,"BonusPutting",2006
54,54,"Duffy Waldorf",96,100,1189,38,1151,"BonusPutting",2006
58,58,"John Rollins",93,99.91,1076,35,1040,"BonusPutting",2006
59,59,"Briny Baird",81,99.9,996,33,962,"BonusPutting",2006
60,60,"David Duval",71,99.86,737,28,708,"BonusPutting",2006
61,61,"Stephen Leaney",84,99.82,1093,31,1060,"BonusPutting",2006
62,62,"Carl Pettersson",95,99.81,1038,31,1005,"BonusPutting",2006
63,63,"Henrik Bjornstad",97,99.76,1259,38,1218,"BonusPutting",2006
63,63,"Danny Ellis",68,99.76,838,22,814,"BonusPutting",2006
65,65,"Jonathan Byrd",66,99.74,756,31,723,"BonusPutting",2006
66,66,"JP Hayes",55,99.71,688,26,660,"BonusPutting",2006
67,67,"Todd Fischer",101,99.68,1256,37,1215,"BonusPutting",2006
68,68,"Jeff Brehaut",100,99.67,1226,37,1185,"BonusPutting",2006
68,68,"Fred Funk",106,99.67,1209,37,1168,"BonusPutting",2006
68,68,"Justin Rose",98,99.67,1228,34,1190,"BonusPutting",2006
71,71,"Jeff Sluman",101,99.66,1174,37,1133,"BonusPutting",2006
72,72,"Mark Wilson",79,99.61,1034,44,986,"BonusPutting",2006
73,73,"Hunter Mahan",98,99.6,1255,43,1207,"BonusPutting",2006
73,73,"Tag Ridings",103,99.6,1248,34,1209,"BonusPutting",2006
75,75,"Steve Flesch",119,99.59,1467,50,1411,"BonusPutting",2006
75,75,"Vijay Singh",103,99.59,1207,38,1164,"BonusPutting",2006
77,77,"Jeff Maggert",81,99.58,943,28,911,"BonusPutting",2006
78,78,"Patrick Sheehan",104,99.53,1270,36,1228,"BonusPutting",2006
