"TotalDistanceEfficiency_RANKTHISWEEK_2016","TotalDistanceEfficiency_RANKLASTWEEK_2016","TotalDistanceEfficiency_PLAYERNAME_2016","TotalDistanceEfficiency_ROUNDS_2016","TotalDistanceEfficiency_AVG_2016","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2016","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2016","TotalDistanceEfficiency_TOTALATTEMPTS_2016","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2016","stat_name","year"
1,5,"Byeong Hun An",23,2.701,306.258,113.38,17,3.1,"TotalDistanceEfficiency",2016
2,9,"Thomas Aiken",42,2.685,298.862,111.315,25,3.163,"TotalDistanceEfficiency",2016
2,13,"Alex Cejka",47,2.685,290.025,108.017,32,3.119,"TotalDistanceEfficiency",2016
4,3,"Kevin Kisner",49,2.677,293.49,109.614,39,3.113,"TotalDistanceEfficiency",2016
5,10,"David Lingmerth",54,2.676,291.903,109.098,48,3.087,"TotalDistanceEfficiency",2016
6,10,"Ernie Els",34,2.673,294.268,110.07,37,2.973,"TotalDistanceEfficiency",2016
6,1,"Rory Sabbatini",40,2.673,297.374,111.242,22,3.068,"TotalDistanceEfficiency",2016
8,2,"Nick Taylor",57,2.669,296.696,111.16,46,3.124,"TotalDistanceEfficiency",2016
8,15,"David Toms",38,2.669,269.023,100.782,44,3.116,"TotalDistanceEfficiency",2016
10,17,"Sean OHair",45,2.668,302.599,113.414,43,3.251,"TotalDistanceEfficiency",2016
10,8,"Tim Wilkinson",40,2.668,285.058,106.829,21,2.855,"TotalDistanceEfficiency",2016
12,33,"Martin Piller",37,2.666,292.868,109.873,27,3.166,"TotalDistanceEfficiency",2016
13,18,"Brett Stegmaier",57,2.663,299.84,112.585,56,3.282,"TotalDistanceEfficiency",2016
14,4,"Daniel Berger",52,2.662,308.164,115.757,41,3.011,"TotalDistanceEfficiency",2016
15,14,"Ryan Moore",40,2.657,285.177,107.35,31,2.892,"TotalDistanceEfficiency",2016
