"GIRPuttingAvg3035_RANKTHISWEEK_2012","GIRPuttingAvg3035_RANKLASTWEEK_2012","GIRPuttingAvg3035_PLAYERNAME_2012","GIRPuttingAvg3035_ROUNDS_2012","GIRPuttingAvg3035_PctMADE_2012","GIRPuttingAvg3035_ATTEMPTS_2012","GIRPuttingAvg3035_PUTTSMADE_2012","stat_name","year"
1,1,"George McNeill",85,1.7,53,9,"GIRPuttingAvg3035",2012
1,1,"Charlie Wi",86,1.7,53,9,"GIRPuttingAvg3035",2012
3,3,"Tim Clark",60,1.54,39,6,"GIRPuttingAvg3035",2012
3,3,"Padraig Harrington",67,1.54,26,4,"GIRPuttingAvg3035",2012
3,3,"Henrik Stenson",51,1.54,39,6,"GIRPuttingAvg3035",2012
6,6,"Jason Day",57,1.5,40,6,"GIRPuttingAvg3035",2012
7,7,"Robert Karlsson",54,1.48,27,4,"GIRPuttingAvg3035",2012
7,7,"Graeme McDowell",55,1.48,27,4,"GIRPuttingAvg3035",2012
9,9,"Keegan Bradley",90,1.43,56,8,"GIRPuttingAvg3035",2012
10,10,"Bobby Gates",87,1.29,62,8,"GIRPuttingAvg3035",2012
11,11,"Greg Owen",90,1.27,63,8,"GIRPuttingAvg3035",2012
12,12,"Danny Lee",74,1.25,48,6,"GIRPuttingAvg3035",2012
13,13,"Ben Crane",73,1.23,65,8,"GIRPuttingAvg3035",2012
13,13,"DA Points",88,1.23,73,9,"GIRPuttingAvg3035",2012
15,15,"Brendon de Jonge",115,1.2,92,11,"GIRPuttingAvg3035",2012
16,16,"Lee Westwood",60,1.18,34,4,"GIRPuttingAvg3035",2012
17,17,"Bud Cauley",99,1.16,86,10,"GIRPuttingAvg3035",2012
18,18,"Charlie Beljan",61,1.14,35,4,"GIRPuttingAvg3035",2012
18,18,"Troy Kelly",68,1.14,44,5,"GIRPuttingAvg3035",2012
20,20,"Daniel Summerhays",81,1.11,54,6,"GIRPuttingAvg3035",2012
21,21,"Derek Lamely",64,1.09,64,7,"GIRPuttingAvg3035",2012
21,21,"Chris Stroud",86,1.09,64,7,"GIRPuttingAvg3035",2012
23,23,"Kyle Thompson",51,1.07,28,3,"GIRPuttingAvg3035",2012
24,24,"Brandt Snedeker",81,1.05,57,6,"GIRPuttingAvg3035",2012
25,25,"Jerry Kelly",84,1.04,67,7,"GIRPuttingAvg3035",2012
25,25,"Johnson Wagner",88,1.04,67,7,"GIRPuttingAvg3035",2012
27,27,"Colt Knost",79,1.03,39,4,"GIRPuttingAvg3035",2012
27,27,"Ian Poulter",57,1.03,29,3,"GIRPuttingAvg3035",2012
29,29,"John Daly",50,1,20,2,"GIRPuttingAvg3035",2012
29,29,"Steve Wheatcroft",56,1,50,5,"GIRPuttingAvg3035",2012
31,31,"Aaron Baddeley",73,0.98,41,4,"GIRPuttingAvg3035",2012
31,31,"Brendon Todd",78,0.98,41,4,"GIRPuttingAvg3035",2012
33,33,"Charl Schwartzel",56,0.97,31,3,"GIRPuttingAvg3035",2012
34,34,"Martin Laird",77,0.96,52,5,"GIRPuttingAvg3035",2012
35,35,"Tiger Woods",69,0.94,32,3,"GIRPuttingAvg3035",2012
36,36,"Vijay Singh",99,0.92,65,6,"GIRPuttingAvg3035",2012
37,37,"Stephen Ames",54,0.91,33,3,"GIRPuttingAvg3035",2012
37,37,"Rocco Mediate",70,0.91,44,4,"GIRPuttingAvg3035",2012
39,39,"Phil Mickelson",79,0.89,45,4,"GIRPuttingAvg3035",2012
39,39,"Sean OHair",84,0.89,79,7,"GIRPuttingAvg3035",2012
41,41,"Graham DeLaet",79,0.85,47,4,"GIRPuttingAvg3035",2012
41,41,"JJ Henry",93,0.85,82,7,"GIRPuttingAvg3035",2012
41,41,"Billy Hurley III",70,0.85,47,4,"GIRPuttingAvg3035",2012
41,41,"Adam Scott",59,0.85,47,4,"GIRPuttingAvg3035",2012
45,45,"Kevin Chappell",91,0.83,60,5,"GIRPuttingAvg3035",2012
45,45,"Jason Kokrak",79,0.83,60,5,"GIRPuttingAvg3035",2012
45,45,"John Mallinger",74,0.83,48,4,"GIRPuttingAvg3035",2012
45,45,"Michael Thompson",80,0.83,60,5,"GIRPuttingAvg3035",2012
49,49,"John Huh",99,0.82,73,6,"GIRPuttingAvg3035",2012
49,49,"Kevin Stadler",85,0.82,73,6,"GIRPuttingAvg3035",2012
51,51,"Bill Haas",79,0.81,74,6,"GIRPuttingAvg3035",2012
52,52,"Ben Curtis",62,0.8,50,4,"GIRPuttingAvg3035",2012
52,52,"Tom Gillis",75,0.8,75,6,"GIRPuttingAvg3035",2012
52,52,"Brandt Jobe",57,0.8,50,4,"GIRPuttingAvg3035",2012
52,52,"Russell Knox",72,0.8,50,4,"GIRPuttingAvg3035",2012
52,52,"Ted Potter Jr",77,0.8,50,4,"GIRPuttingAvg3035",2012
57,57,"Brian Harman",101,0.79,63,5,"GIRPuttingAvg3035",2012
58,58,"Marco Dawson",60,0.77,39,3,"GIRPuttingAvg3035",2012
58,58,"Jason Dufner",83,0.77,52,4,"GIRPuttingAvg3035",2012
