"Top10FinalRoundPerformance_RANKTHISWEEK_2006","Top10FinalRoundPerformance_RANKLASTWEEK_2006","Top10FinalRoundPerformance_PLAYERNAME_2006","Top10FinalRoundPerformance_EVENTS_2006","Top10FinalRoundPerformance_PctTIMESIMPROVED_2006","Top10FinalRoundPerformance_OFTIMESIMPROVED_2006","stat_name","year"
1,NA,"Arjun Atwal",33,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Craig Barlow",22,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Brian Bateman",26,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Jeff Brehaut",33,100,2,"Top10FinalRoundPerformance",2006
1,NA,"Fred Couples",17,100,2,"Top10FinalRoundPerformance",2006
1,NA,"Ben Crane",26,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Marco Dawson",27,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Joe Durant",28,100,7,"Top10FinalRoundPerformance",2006
1,NA,"Robert Garrigus",28,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Dudley Hart",29,100,1,"Top10FinalRoundPerformance",2006
1,NA,"JP Hayes",19,100,2,"Top10FinalRoundPerformance",2006
1,NA,"John Huston",27,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Lee Janzen",28,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Tom Lehman",20,100,1,"Top10FinalRoundPerformance",2006
1,NA,"JL Lewis",17,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Will Ma Kenzie",29,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Bob May",21,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Billy Mayfair",29,100,2,"Top10FinalRoundPerformance",2006
1,NA,"David McKenzie",28,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Jose Maria Olazabal",18,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Tag Ridings",33,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Vaughn Taylor",26,100,4,"Top10FinalRoundPerformance",2006
1,NA,"DJ Trahan",33,100,2,"Top10FinalRoundPerformance",2006
1,NA,"Kirk Triplett",18,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Omar Uresti",22,100,1,"Top10FinalRoundPerformance",2006
1,NA,"Brett Wetterich",25,100,5,"Top10FinalRoundPerformance",2006
1,NA,"Tiger Woods",15,100,10,"Top10FinalRoundPerformance",2006
28,NA,"Adam Scott",19,87.5,7,"Top10FinalRoundPerformance",2006
29,NA,"Luke Donald",18,85.7,6,"Top10FinalRoundPerformance",2006
30,NA,"Jim Furyk",24,84.6,11,"Top10FinalRoundPerformance",2006
