"PuttingInside10_RANKTHISWEEK_2013","PuttingInside10_RANKLASTWEEK_2013","PuttingInside10_PLAYERNAME_2013","PuttingInside10_ROUNDS_2013","PuttingInside10_PctMADE_2013","PuttingInside10_ATTEMPTS_2013","PuttingInside10_PUTTSMADE_2013","stat_name","year"
1,1,"Aaron Watkins",46,89.97,628,565,"PuttingInside10",2013
2,2,"Steve Stricker",51,89.69,621,557,"PuttingInside10",2013
3,3,"David Lynn",70,89.6,1000,896,"PuttingInside10",2013
4,4,"Greg Chalmers",77,89.49,1247,1116,"PuttingInside10",2013
5,5,"William McGirt",75,89.22,1290,1151,"PuttingInside10",2013
6,6,"Richard Lee",81,89.03,1294,1152,"PuttingInside10",2013
7,7,"Brian Gay",79,89.02,1293,1151,"PuttingInside10",2013
8,8,"Hunter Mahan",91,88.98,1243,1106,"PuttingInside10",2013
8,8,"Ian Poulter",59,88.98,717,638,"PuttingInside10",2013
10,10,"Cameron Percy",68,88.95,1050,934,"PuttingInside10",2013
11,11,"Tiger Woods",61,88.9,784,697,"PuttingInside10",2013
12,12,"Aaron Baddeley",68,88.86,1059,941,"PuttingInside10",2013
13,13,"Doug LaBelle II",72,88.8,1071,951,"PuttingInside10",2013
14,14,"Graham DeLaet",94,88.79,1472,1307,"PuttingInside10",2013
15,15,"Sergio Garcia",65,88.65,846,750,"PuttingInside10",2013
16,16,"Colt Knost",69,88.63,1055,935,"PuttingInside10",2013
17,17,"Brandt Snedeker",79,88.58,1033,915,"PuttingInside10",2013
18,18,"Stephen Ames",49,88.52,793,702,"PuttingInside10",2013
19,19,"JJ Henry",83,88.48,1371,1213,"PuttingInside10",2013
20,20,"Brendan Steele",86,88.45,1429,1264,"PuttingInside10",2013
21,21,"Freddie Jacobson",63,88.44,839,742,"PuttingInside10",2013
22,22,"Johnson Wagner",64,88.38,955,844,"PuttingInside10",2013
23,23,"Martin Kaymer",61,88.35,764,675,"PuttingInside10",2013
24,24,"Matt Kuchar",93,88.31,1266,1118,"PuttingInside10",2013
25,25,"Justin Leonard",86,88.27,1381,1219,"PuttingInside10",2013
26,26,"Stuart Appleby",88,88.25,1438,1269,"PuttingInside10",2013
27,27,"Keegan Bradley",88,88.21,1323,1167,"PuttingInside10",2013
28,28,"Bob Estes",66,88.2,1127,994,"PuttingInside10",2013
29,29,"Jonas Blixt",76,88.14,1239,1092,"PuttingInside10",2013
29,29,"Bryce Molder",82,88.14,1298,1144,"PuttingInside10",2013
31,31,"Patrick Reed",83,88.13,1356,1195,"PuttingInside10",2013
32,32,"David Hearn",88,88.09,1327,1169,"PuttingInside10",2013
33,33,"Zach Johnson",84,88.07,1207,1063,"PuttingInside10",2013
33,33,"Kevin Streelman",86,88.07,1257,1107,"PuttingInside10",2013
35,35,"Jason Day",86,88.01,1126,991,"PuttingInside10",2013
35,35,"Brian Harman",89,88.01,1401,1233,"PuttingInside10",2013
37,37,"Jerry Kelly",75,87.99,1174,1033,"PuttingInside10",2013
38,38,"Casey Wittenberg",72,87.98,1140,1003,"PuttingInside10",2013
39,39,"Luke Donald",60,87.96,839,738,"PuttingInside10",2013
40,40,"Brian Stuard",78,87.93,1168,1027,"PuttingInside10",2013
41,41,"Tom Gillis",69,87.88,1114,979,"PuttingInside10",2013
42,42,"Charles Howell III",87,87.85,1465,1287,"PuttingInside10",2013
42,42,"Phil Mickelson",78,87.85,1037,911,"PuttingInside10",2013
44,44,"Chris Stroud",88,87.84,1439,1264,"PuttingInside10",2013
45,45,"Justin Rose",62,87.79,852,748,"PuttingInside10",2013
46,46,"John Merrick",79,87.74,1248,1095,"PuttingInside10",2013
47,47,"Jeff Overton",78,87.73,1377,1208,"PuttingInside10",2013
48,48,"Harris English",95,87.7,1488,1305,"PuttingInside10",2013
48,48,"Gary Woodland",94,87.7,1537,1348,"PuttingInside10",2013
50,50,"Bobby Gates",49,87.66,713,625,"PuttingInside10",2013
51,51,"Ken Duke",87,87.64,1384,1213,"PuttingInside10",2013
52,52,"Tag Ridings",69,87.62,1074,941,"PuttingInside10",2013
53,53,"James Hahn",78,87.6,1242,1088,"PuttingInside10",2013
54,54,"Peter Hanson",45,87.56,603,528,"PuttingInside10",2013
55,55,"Shawn Stefani",63,87.55,924,809,"PuttingInside10",2013
56,56,"Chris Kirk",89,87.54,1469,1286,"PuttingInside10",2013
57,57,"Matt Jones",83,87.53,1307,1144,"PuttingInside10",2013
58,58,"Russell Henley",80,87.5,1200,1050,"PuttingInside10",2013
58,58,"Henrik Norlander",70,87.5,1096,959,"PuttingInside10",2013
60,60,"Ernie Els",63,87.47,902,789,"PuttingInside10",2013
61,61,"Ryan Palmer",79,87.45,1267,1108,"PuttingInside10",2013
62,62,"Angel Cabrera",73,87.44,1051,919,"PuttingInside10",2013
62,62,"Troy Matteson",68,87.44,1091,954,"PuttingInside10",2013
64,64,"Brendon de Jonge",110,87.42,1796,1570,"PuttingInside10",2013
64,64,"Andrew Svoboda",46,87.42,660,577,"PuttingInside10",2013
66,66,"Steven Bowditch",67,87.4,1087,950,"PuttingInside10",2013
67,67,"Martin Flores",83,87.39,1412,1234,"PuttingInside10",2013
68,68,"Ben Kohles",75,87.38,1125,983,"PuttingInside10",2013
68,68,"Chez Reavie",72,87.38,1244,1087,"PuttingInside10",2013
70,70,"Daniel Summerhays",83,87.31,1442,1259,"PuttingInside10",2013
71,71,"Martin Laird",68,87.26,989,863,"PuttingInside10",2013
72,72,"Erik Compton",74,87.25,1192,1040,"PuttingInside10",2013
73,73,"KJ Choi",85,87.24,1176,1026,"PuttingInside10",2013
74,74,"Justin Bolli",59,87.22,861,751,"PuttingInside10",2013
74,74,"Ryan Moore",72,87.22,1072,935,"PuttingInside10",2013
76,76,"Fabian Gomez",65,87.2,1031,899,"PuttingInside10",2013
77,77,"James Driscoll",76,87.18,1147,1000,"PuttingInside10",2013
77,77,"Rickie Fowler",75,87.18,1069,932,"PuttingInside10",2013
77,77,"Scott Stallings",79,87.18,1240,1081,"PuttingInside10",2013
80,80,"Jimmy Walker",84,87.17,1395,1216,"PuttingInside10",2013
81,81,"Jim Herman",59,87.07,820,714,"PuttingInside10",2013
82,82,"Graeme McDowell",53,87.06,680,592,"PuttingInside10",2013
83,83,"Tim Clark",64,87.02,801,697,"PuttingInside10",2013
84,84,"Dicky Pride",71,87.01,1101,958,"PuttingInside10",2013
85,85,"Mike Weir",60,86.99,876,762,"PuttingInside10",2013
86,86,"Jin Park",52,86.98,822,715,"PuttingInside10",2013
87,87,"Alistair Presnell",59,86.94,865,752,"PuttingInside10",2013
88,88,"Scott Langley",79,86.89,1175,1021,"PuttingInside10",2013
88,88,"Henrik Stenson",65,86.89,824,716,"PuttingInside10",2013
90,90,"Robert Streb",75,86.88,1151,1000,"PuttingInside10",2013
91,91,"Sangmoon Bae",83,86.82,1305,1133,"PuttingInside10",2013
91,91,"Billy Horschel",96,86.82,1525,1324,"PuttingInside10",2013
91,91,"Jeff Maggert",63,86.82,1070,929,"PuttingInside10",2013
94,94,"YE Yang",56,86.8,773,671,"PuttingInside10",2013
95,95,"Jim Furyk",80,86.78,1180,1024,"PuttingInside10",2013
96,96,"Andres Romero",63,86.77,975,846,"PuttingInside10",2013
97,97,"Brandt Jobe",62,86.76,997,865,"PuttingInside10",2013
98,98,"Ben Crane",62,86.75,1034,897,"PuttingInside10",2013
99,99,"Webb Simpson",92,86.74,1297,1125,"PuttingInside10",2013
100,100,"Camilo Villegas",79,86.73,1206,1046,"PuttingInside10",2013
101,101,"Bill Haas",85,86.66,1282,1111,"PuttingInside10",2013
102,102,"DH Lee",65,86.64,1093,947,"PuttingInside10",2013
102,102,"David Toms",49,86.64,599,519,"PuttingInside10",2013
102,102,"Cameron Tringale",80,86.64,1415,1226,"PuttingInside10",2013
105,105,"Michael Bradley",56,86.63,823,713,"PuttingInside10",2013
105,105,"Scott Brown",65,86.63,1047,907,"PuttingInside10",2013
107,107,"Dustin Johnson",71,86.62,949,822,"PuttingInside10",2013
107,107,"Adam Scott",61,86.62,822,712,"PuttingInside10",2013
109,109,"Morgan Hoffmann",64,86.61,978,847,"PuttingInside10",2013
110,110,"Tim Herron",45,86.58,827,716,"PuttingInside10",2013
110,110,"Pat Perez",69,86.58,1200,1039,"PuttingInside10",2013
112,112,"Chad Campbell",78,86.57,1363,1180,"PuttingInside10",2013
113,113,"Trevor Immelman",73,86.55,1190,1030,"PuttingInside10",2013
113,113,"Jason Kokrak",78,86.55,1353,1171,"PuttingInside10",2013
115,115,"Nicholas Thompson",99,86.51,1623,1404,"PuttingInside10",2013
116,116,"Robert Garrigus",69,86.5,941,814,"PuttingInside10",2013
117,117,"Bo Van Pelt",72,86.48,1028,889,"PuttingInside10",2013
118,118,"Brad Fritsch",81,86.46,1278,1105,"PuttingInside10",2013
119,119,"Vaughn Taylor",50,86.38,756,653,"PuttingInside10",2013
120,120,"Brian Davis",91,86.36,1547,1336,"PuttingInside10",2013
120,120,"Josh Teater",86,86.36,1158,1000,"PuttingInside10",2013
122,122,"John Huh",88,86.3,1416,1222,"PuttingInside10",2013
123,123,"Jordan Spieth",82,86.28,1232,1063,"PuttingInside10",2013
124,124,"Steve LeBrun",66,86.25,1011,872,"PuttingInside10",2013
125,125,"Marc Leishman",77,86.24,1199,1034,"PuttingInside10",2013
125,125,"David Lingmerth",68,86.24,1068,921,"PuttingInside10",2013
127,127,"Luke List",65,86.23,988,852,"PuttingInside10",2013
127,127,"Bubba Watson",76,86.23,1126,971,"PuttingInside10",2013
129,129,"Padraig Harrington",52,86.21,660,569,"PuttingInside10",2013
130,130,"Tommy Gainey",84,86.2,1406,1212,"PuttingInside10",2013
131,131,"Charlie Beljan",62,86.19,1050,905,"PuttingInside10",2013
132,132,"George McNeill",68,86.17,1215,1047,"PuttingInside10",2013
133,133,"Charley Hoffman",84,86.14,1371,1181,"PuttingInside10",2013
133,133,"Rod Pampling",46,86.14,678,584,"PuttingInside10",2013
135,135,"Ben Curtis",59,86.13,865,745,"PuttingInside10",2013
135,135,"Sean OHair",56,86.13,959,826,"PuttingInside10",2013
135,135,"Nick Watney",88,86.13,1355,1167,"PuttingInside10",2013
138,138,"Rory McIlroy",56,86.1,777,669,"PuttingInside10",2013
139,139,"Jason Bohn",70,86.09,1229,1058,"PuttingInside10",2013
140,140,"Vijay Singh",61,86.08,934,804,"PuttingInside10",2013
141,141,"Stewart Cink",71,86.04,1060,912,"PuttingInside10",2013
142,142,"Derek Ernst",58,85.99,928,798,"PuttingInside10",2013
143,143,"Scott Piercy",78,85.92,1165,1001,"PuttingInside10",2013
144,144,"Darron Stiles",51,85.89,794,682,"PuttingInside10",2013
145,145,"Carl Pettersson",82,85.87,1210,1039,"PuttingInside10",2013
146,146,"Roberto Castro",97,85.86,1612,1384,"PuttingInside10",2013
147,147,"Mark Wilson",56,85.82,952,817,"PuttingInside10",2013
148,148,"Charl Schwartzel",69,85.71,1001,858,"PuttingInside10",2013
149,149,"DJ Trahan",48,85.69,713,611,"PuttingInside10",2013
150,150,"Matt Every",89,85.68,1515,1298,"PuttingInside10",2013
151,151,"Lee Westwood",70,85.63,967,828,"PuttingInside10",2013
152,152,"Kevin Stadler",83,85.58,1304,1116,"PuttingInside10",2013
153,153,"Rory Sabbatini",86,85.53,1361,1164,"PuttingInside10",2013
154,154,"DA Points",87,85.52,1278,1093,"PuttingInside10",2013
155,155,"Lee Williams",62,85.48,985,842,"PuttingInside10",2013
156,156,"John Rollins",77,85.47,1301,1112,"PuttingInside10",2013
156,156,"Charlie Wi",75,85.47,1239,1059,"PuttingInside10",2013
158,158,"Will Claxton",67,85.4,1089,930,"PuttingInside10",2013
159,159,"Robert Karlsson",56,85.38,725,619,"PuttingInside10",2013
160,160,"Michael Thompson",66,85.33,1002,855,"PuttingInside10",2013
161,161,"Scott Gardiner",61,85.32,988,843,"PuttingInside10",2013
162,162,"Luke Guthrie",82,85.25,1234,1052,"PuttingInside10",2013
163,163,"Kevin Chappell",80,85.2,1284,1094,"PuttingInside10",2013
164,164,"Jason Dufner",78,85.18,1167,994,"PuttingInside10",2013
165,165,"Justin Hicks",79,85.17,1261,1074,"PuttingInside10",2013
165,165,"Ted Potter Jr",65,85.17,1025,873,"PuttingInside10",2013
167,167,"John Senden",79,85.15,1172,998,"PuttingInside10",2013
168,168,"Robert Allenby",58,85.13,995,847,"PuttingInside10",2013
169,169,"Bud Cauley",67,84.99,1079,917,"PuttingInside10",2013
170,170,"Nicolas Colsaerts",50,84.91,696,591,"PuttingInside10",2013
171,171,"Boo Weekley",100,84.88,1607,1364,"PuttingInside10",2013
172,172,"David Mathis",71,84.71,1190,1008,"PuttingInside10",2013
173,173,"Ricky Barnes",74,84.69,1261,1068,"PuttingInside10",2013
174,174,"Kyle Stanley",71,84.58,1161,982,"PuttingInside10",2013
175,175,"Greg Owen",73,84.48,1276,1078,"PuttingInside10",2013
176,176,"Eric Meierdierks",48,84.3,726,612,"PuttingInside10",2013
177,177,"Seung Yul Noh",71,84.15,1211,1019,"PuttingInside10",2013
178,178,"Geoff Ogilvy",57,84.06,828,696,"PuttingInside10",2013
179,179,"Ryo Ishikawa",72,83.57,1059,885,"PuttingInside10",2013
180,180,"Lucas Glover",65,83.38,1017,848,"PuttingInside10",2013
