"Approachesfrom150175yardsRgh_RANKTHISWEEK_2012","Approachesfrom150175yardsRgh_RANKLASTWEEK_2012","Approachesfrom150175yardsRgh_PLAYERNAME_2012","Approachesfrom150175yardsRgh_ROUNDS_2012","Approachesfrom150175yardsRgh_AVG_2012","Approachesfrom150175yardsRgh_TOTALDISTANCEFEET_2012","Approachesfrom150175yardsRgh_OFATTEMPTS_2012","Approachesfrom150175yardsRgh_RELATIVETOPAR_2012","stat_name","year"
1,1,"Chris Kirk",93,NA,2391.833,71,2,"Approachesfrom150175yardsRgh",2012
2,2,"Charlie Beljan",61,NA,1223.583,35,7,"Approachesfrom150175yardsRgh",2012
3,3,"Alexandre Rocha",62,NA,1246.917,35,2,"Approachesfrom150175yardsRgh",2012
3,3,"Patrick Sheehan",58,NA,1535.167,43,1,"Approachesfrom150175yardsRgh",2012
5,5,"Russell Knox",72,NA,1410.5,39,3,"Approachesfrom150175yardsRgh",2012
6,6,"Cameron Beckman",81,NA,2193.25,60,8,"Approachesfrom150175yardsRgh",2012
7,7,"Bo Van Pelt",84,NA,2055.167,56,7,"Approachesfrom150175yardsRgh",2012
8,8,"Mark Wilson",84,NA,2316.75,63,6,"Approachesfrom150175yardsRgh",2012
9,9,"Padraig Harrington",67,NA,1546.333,42,2,"Approachesfrom150175yardsRgh",2012
10,10,"Jason Dufner",83,NA,1881.667,51,1,"Approachesfrom150175yardsRgh",2012
11,11,"Jhonattan Vegas",77,NA,2753.083,74,19,"Approachesfrom150175yardsRgh",2012
12,12,"Steve Stricker",73,NA,1713.75,46,1,"Approachesfrom150175yardsRgh",2012
13,13,"Justin Leonard",79,NA,1946.167,52,12,"Approachesfrom150175yardsRgh",2012
14,14,"Ian Poulter",57,NA,939.25,25,3,"Approachesfrom150175yardsRgh",2012
15,15,"John Huh",99,NA,2221.667,59,10,"Approachesfrom150175yardsRgh",2012
16,16,"Seung Yul Noh",105,NA,2681.25,71,10,"Approachesfrom150175yardsRgh",2012
16,16,"Jeff Overton",101,NA,2831.25,75,4,"Approachesfrom150175yardsRgh",2012
16,16,"Brandt Snedeker",81,NA,2153.75,57,3,"Approachesfrom150175yardsRgh",2012
19,19,"Mathew Goggin",65,NA,2054.833,54,11,"Approachesfrom150175yardsRgh",2012
19,19,"David Mathis",83,NA,2247.667,59,8,"Approachesfrom150175yardsRgh",2012
19,19,"Vaughn Taylor",81,NA,2019.417,53,10,"Approachesfrom150175yardsRgh",2012
22,22,"Martin Flores",95,NA,2710.833,71,12,"Approachesfrom150175yardsRgh",2012
23,23,"Robert Allenby",76,NA,2714.083,71,5,"Approachesfrom150175yardsRgh",2012
23,23,"Geoff Ogilvy",73,NA,1760.583,46,10,"Approachesfrom150175yardsRgh",2012
23,23,"Ted Potter Jr",77,NA,1723,45,3,"Approachesfrom150175yardsRgh",2012
23,23,"DJ Trahan",73,NA,1529,40,9,"Approachesfrom150175yardsRgh",2012
27,27,"Chad Campbell",84,NA,2527.917,66,7,"Approachesfrom150175yardsRgh",2012
28,28,"Kevin Kisner",69,NA,1612.333,42,5,"Approachesfrom150175yardsRgh",2012
28,28,"Bubba Watson",68,NA,1460.25,38,-2,"Approachesfrom150175yardsRgh",2012
30,30,"Trevor Immelman",76,NA,1931.083,50,10,"Approachesfrom150175yardsRgh",2012
