"ConsecutiveCuts_RANKTHISWEEK_2014","ConsecutiveCuts_RANKLASTWEEK_2014","ConsecutiveCuts_PLAYERNAME_2014","ConsecutiveCuts__2014","ConsecutiveCuts_TOTAL_2014","ConsecutiveCuts_STARTTOURNAMENTID_2014","stat_name","year"
1,1,"Adam Scott",NA,43,2012240,"ConsecutiveCuts",2014
2,2,"Steve Stricker",NA,35,2012240,"ConsecutiveCuts",2014
3,3,"Jim Furyk",NA,28,2013320,"ConsecutiveCuts",2014
4,4,"Rory McIlroy",NA,22,2013340,"ConsecutiveCuts",2014
5,5,"Bill Haas",NA,15,2014290,"ConsecutiveCuts",2014
5,5,"Francesco Molinari",NA,15,2013310,"ConsecutiveCuts",2014
7,7,"Retief Goosen",NA,14,2014250,"ConsecutiveCuts",2014
8,8,"Henrik Stenson",NA,12,2014210,"ConsecutiveCuts",2014
9,9,"Matt Kuchar",NA,10,2014330,"ConsecutiveCuts",2014
9,9,"Graeme McDowell",NA,10,2014270,"ConsecutiveCuts",2014
11,11,"Kevin Chappell",NA,9,2014370,"ConsecutiveCuts",2014
11,11,"Rickie Fowler",NA,9,2014340,"ConsecutiveCuts",2014
11,11,"Sergio Garcia",NA,9,2014300,"ConsecutiveCuts",2014
11,11,"Jerry Kelly",NA,9,2014320,"ConsecutiveCuts",2014
11,11,"Phil Mickelson",NA,9,2014330,"ConsecutiveCuts",2014
16,16,"Zach Johnson",NA,8,2014390,"ConsecutiveCuts",2014
16,16,"Edoardo Molinari",NA,8,2011240,"ConsecutiveCuts",2014
16,16,"Andres Romero",NA,8,2014370,"ConsecutiveCuts",2014
16,16,"Justin Rose",NA,8,2014350,"ConsecutiveCuts",2014
16,16,"Kevin Stadler",NA,8,2014350,"ConsecutiveCuts",2014
21,21,"Jason Day",NA,7,2014400,"ConsecutiveCuts",2014
21,21,"Ernie Els",NA,7,2014410,"ConsecutiveCuts",2014
21,21,"Jeff Overton",NA,7,2014320,"ConsecutiveCuts",2014
21,21,"Ryan Palmer",NA,7,2014370,"ConsecutiveCuts",2014
21,21,"Patrick Reed",NA,7,2014430,"ConsecutiveCuts",2014
21,21,"Charl Schwartzel",NA,7,2014400,"ConsecutiveCuts",2014
21,21,"Peter Senior",NA,7,2000310,"ConsecutiveCuts",2014
28,28,"JJ Henry",NA,6,2014370,"ConsecutiveCuts",2014
28,28,"Simon Khan",NA,6,2010310,"ConsecutiveCuts",2014
28,28,"Brooks Koepka",NA,6,2014340,"ConsecutiveCuts",2014
28,28,"Hunter Mahan",NA,6,2014430,"ConsecutiveCuts",2014
28,28,"William McGirt",NA,6,2014390,"ConsecutiveCuts",2014
28,28,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2014
28,28,"Bubba Watson",NA,6,2014430,"ConsecutiveCuts",2014
35,35,"Ricky Barnes",NA,5,2014390,"ConsecutiveCuts",2014
35,35,"Joe Durant",NA,5,2014360,"ConsecutiveCuts",2014
35,35,"Derek Ernst",NA,5,2014380,"ConsecutiveCuts",2014
35,35,"Mathew Goggin",NA,5,2012430,"ConsecutiveCuts",2014
35,35,"Steve LeBrun",NA,5,2013290,"ConsecutiveCuts",2014
35,35,"Wayne Levi",NA,5,2001300,"ConsecutiveCuts",2014
35,35,"David Mathis",NA,5,2013290,"ConsecutiveCuts",2014
35,35,"Troy Merritt",NA,5,2014380,"ConsecutiveCuts",2014
35,35,"Daniel Summerhays",NA,5,2014390,"ConsecutiveCuts",2014
35,35,"David Toms",NA,5,2014380,"ConsecutiveCuts",2014
35,35,"Cameron Tringale",NA,5,2014440,"ConsecutiveCuts",2014
35,35,"Johnson Wagner",NA,5,2014380,"ConsecutiveCuts",2014
47,47,"Jason Bohn",NA,4,2014440,"ConsecutiveCuts",2014
47,47,"Steven Bowditch",NA,4,2014450,"ConsecutiveCuts",2014
47,47,"Marco Dawson",NA,4,2012450,"ConsecutiveCuts",2014
47,47,"Victor Dubuisson",NA,4,2014350,"ConsecutiveCuts",2014
47,47,"Russell Henley",NA,4,2014460,"ConsecutiveCuts",2014
47,47,"Morgan Hoffmann",NA,4,2014460,"ConsecutiveCuts",2014
47,47,"David Howell",NA,4,2013250,"ConsecutiveCuts",2014
47,47,"Chris Kirk",NA,4,2014460,"ConsecutiveCuts",2014
47,47,"Hideki Matsuyama",NA,4,2014460,"ConsecutiveCuts",2014
47,47,"John Senden",NA,4,2014460,"ConsecutiveCuts",2014
47,47,"Vijay Singh",NA,4,2014410,"ConsecutiveCuts",2014
47,47,"Jordan Spieth",NA,4,2014460,"ConsecutiveCuts",2014
47,47,"Brendan Steele",NA,4,2014420,"ConsecutiveCuts",2014
47,47,"Shawn Stefani",NA,4,2014440,"ConsecutiveCuts",2014
47,47,"Chris Stroud",NA,4,2014440,"ConsecutiveCuts",2014
47,47,"Brian Stuard",NA,4,2014450,"ConsecutiveCuts",2014
47,47,"Gary Woodland",NA,4,2014460,"ConsecutiveCuts",2014
