"ConsecutiveCuts_RANKTHISWEEK_2014","ConsecutiveCuts_RANKLASTWEEK_2014","ConsecutiveCuts_PLAYERNAME_2014","ConsecutiveCuts__2014","ConsecutiveCuts_TOTAL_2014","ConsecutiveCuts_STARTTOURNAMENTID_2014","stat_name","year"
64,64,"Mark Anderson",NA,3,2014270,"ConsecutiveCuts",2014
64,64,"Woody Austin",NA,3,2014380,"ConsecutiveCuts",2014
64,64,"Gregory Bourdy",NA,3,2013310,"ConsecutiveCuts",2014
64,64,"Keegan Bradley",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"KJ Choi",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"Ben Curtis",NA,3,2014410,"ConsecutiveCuts",2014
64,64,"Branden Grace",NA,3,2014400,"ConsecutiveCuts",2014
64,64,"Chesson Hadley",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"Brian Harman",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"Scott Hend",NA,3,2014030,"ConsecutiveCuts",2014
64,64,"Tim Herron",NA,3,2014410,"ConsecutiveCuts",2014
64,64,"Billy Horschel",NA,3,2014470,"ConsecutiveCuts",2014
64,64,"Charles Howell III",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"John Huh",NA,3,2014450,"ConsecutiveCuts",2014
64,64,"Shiv Kapur",NA,3,2013310,"ConsecutiveCuts",2014
64,64,"Martin Kaymer",NA,3,2014470,"ConsecutiveCuts",2014
64,64,"KT Kim",NA,3,2012350,"ConsecutiveCuts",2014
64,64,"Russell Knox",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"Kelly Kraft",NA,3,2012440,"ConsecutiveCuts",2014
64,64,"Martin Laird",NA,3,2014410,"ConsecutiveCuts",2014
64,64,"Scott Langley",NA,3,2014450,"ConsecutiveCuts",2014
64,64,"Garth Mulroy",NA,3,2012440,"ConsecutiveCuts",2014
64,64,"Toshinori Muto",NA,3,2012320,"ConsecutiveCuts",2014
64,64,"Seung Yul Noh",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"Geoff Ogilvy",NA,3,2014470,"ConsecutiveCuts",2014
64,64,"Thorbjorn Olesen",NA,3,2014400,"ConsecutiveCuts",2014
64,64,"Carl Paulson",NA,3,2011450,"ConsecutiveCuts",2014
64,64,"Jonathan Randolph",NA,3,2011300,"ConsecutiveCuts",2014
64,64,"Bob Shearer",NA,3,1984320,"ConsecutiveCuts",2014
64,64,"Webb Simpson",NA,3,2014470,"ConsecutiveCuts",2014
64,64,"Richard Sterne",NA,3,2014430,"ConsecutiveCuts",2014
64,64,"Andre Stolz",NA,3,2011300,"ConsecutiveCuts",2014
64,64,"Kevin Streelman",NA,3,2014460,"ConsecutiveCuts",2014
64,64,"Bo Van Pelt",NA,3,2014450,"ConsecutiveCuts",2014
64,64,"Jimmy Walker",NA,3,2014470,"ConsecutiveCuts",2014
64,64,"Marc Warren",NA,3,2013350,"ConsecutiveCuts",2014
64,64,"Matt Weibring",NA,3,2011300,"ConsecutiveCuts",2014
64,64,"Lee Westwood",NA,3,2014430,"ConsecutiveCuts",2014
64,64,"Tim Wilkinson",NA,3,2014410,"ConsecutiveCuts",2014
64,64,"Chris Wood",NA,3,2014040,"ConsecutiveCuts",2014
104,104,"Jason Allred",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Seukhyun Baek",NA,2,2014030,"ConsecutiveCuts",2014
104,104,"Gaganjeet Bhullar",NA,2,2014030,"ConsecutiveCuts",2014
104,104,"David Branshaw",NA,2,2007480,"ConsecutiveCuts",2014
104,104,"Josh Broadaway",NA,2,2011100,"ConsecutiveCuts",2014
104,104,"Mark Brown",NA,2,2013310,"ConsecutiveCuts",2014
104,104,"Rafael Campos",NA,2,2013100,"ConsecutiveCuts",2014
104,104,"Paul Casey",NA,2,2014450,"ConsecutiveCuts",2014
104,104,"Stewart Cink",NA,2,2014460,"ConsecutiveCuts",2014
104,104,"Ben Crane",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Brian Davis",NA,2,2014450,"ConsecutiveCuts",2014
104,104,"Brendon de Jonge",NA,2,2014460,"ConsecutiveCuts",2014
104,104,"Graham DeLaet",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Jamie Donaldson",NA,2,2014430,"ConsecutiveCuts",2014
104,104,"Matt Every",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Gonzalo Fdez Castano",NA,2,2014460,"ConsecutiveCuts",2014
104,104,"Darren Fichardt",NA,2,2014040,"ConsecutiveCuts",2014
104,104,"Matthew Fitzpatrick",NA,2,2014270,"ConsecutiveCuts",2014
104,104,"Fred Funk",NA,2,2014200,"ConsecutiveCuts",2014
104,104,"Tommy Gainey",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Tom Gillis",NA,2,2013330,"ConsecutiveCuts",2014
104,104,"Emiliano Grillo",NA,2,2012110,"ConsecutiveCuts",2014
104,104,"Luke Guthrie",NA,2,2014450,"ConsecutiveCuts",2014
104,104,"Hunter Haas",NA,2,2013180,"ConsecutiveCuts",2014
104,104,"Scott Harrington",NA,2,2006290,"ConsecutiveCuts",2014
104,104,"David Hearn",NA,2,2014460,"ConsecutiveCuts",2014
104,104,"Mike Hendry",NA,2,2013110,"ConsecutiveCuts",2014
104,104,"Scott Hoch",NA,2,2008100,"ConsecutiveCuts",2014
104,104,"JB Holmes",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Mikko Ilonen",NA,2,2014430,"ConsecutiveCuts",2014
104,104,"Freddie Jacobson",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Lee Janzen",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Matt Jones",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Jason Kokrak",NA,2,2014460,"ConsecutiveCuts",2014
104,104,"Doug LaBelle II",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Bernhard Langer",NA,2,2013160,"ConsecutiveCuts",2014
104,104,"Danny Lee",NA,2,2014460,"ConsecutiveCuts",2014
104,104,"Marc Leishman",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Alexander Levy",NA,2,2014430,"ConsecutiveCuts",2014
104,104,"David Lingmerth",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Andrew Loupe",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Shane Lowry",NA,2,2014400,"ConsecutiveCuts",2014
104,104,"Joost Luiten",NA,2,2014430,"ConsecutiveCuts",2014
104,104,"Jarrod Lyle",NA,2,2012070,"ConsecutiveCuts",2014
104,104,"Will Ma Kenzie",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Mac McLendon",NA,2,1980430,"ConsecutiveCuts",2014
104,104,"George McNeill",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"John Merrick",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Ryan Moore",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Kevin Na",NA,2,2014480,"ConsecutiveCuts",2014
104,104,"Jack Newton",NA,2,1982420,"ConsecutiveCuts",2014
104,104,"Koumei Oda",NA,2,2014400,"ConsecutiveCuts",2014
104,104,"Greg Owen",NA,2,2014340,"ConsecutiveCuts",2014
104,104,"Craig Parry",NA,2,2008320,"ConsecutiveCuts",2014
104,104,"Kenny Perry",NA,2,2014350,"ConsecutiveCuts",2014
104,104,"Carl Pettersson",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Daniel Popovic",NA,2,2013340,"ConsecutiveCuts",2014
104,104,"Wes Roach",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Alexandre Rocha",NA,2,2013100,"ConsecutiveCuts",2014
104,104,"Sam Saunders",NA,2,2013060,"ConsecutiveCuts",2014
104,104,"John Schroeder",NA,2,1995300,"ConsecutiveCuts",2014
104,104,"Bob Smith",NA,2,1985280,"ConsecutiveCuts",2014
104,104,"Hudson Swafford",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Toru Taniguchi",NA,2,2013340,"ConsecutiveCuts",2014
104,104,"Nicholas Thompson",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Brendon Todd",NA,2,2014480,"ConsecutiveCuts",2014
104,104,"Derek Tolan",NA,2,2012110,"ConsecutiveCuts",2014
104,104,"Jhonattan Vegas",NA,2,2014450,"ConsecutiveCuts",2014
104,104,"Camilo Villegas",NA,2,2014470,"ConsecutiveCuts",2014
104,104,"Brett Wetterich",NA,2,2012250,"ConsecutiveCuts",2014
104,104,"Mark Wilson",NA,2,2014420,"ConsecutiveCuts",2014
104,104,"Fabrizio Zanotti",NA,2,2014430,"ConsecutiveCuts",2014
