"RoughTendency_RANKTHISWEEK_2005","RoughTendency_RANKLASTWEEK_2005","RoughTendency_PLAYERNAME_2005","RoughTendency_ROUNDS_2005","RoughTendency_Pct_2005","RoughTendency_TOTALROUGH_2005","RoughTendency_POSSIBLEFWYS_2005","RoughTendency_RELATIVETOPAR_2005","stat_name","year"
1,1,"Paul Claxton",79,17.21,180,1046,2.22,"RoughTendency",2005
2,2,"Jeff Hart",63,17.31,147,849,2.18,"RoughTendency",2005
3,3,"Fred Funk",102,17.68,219,1239,1.78,"RoughTendency",2005
4,4,"Robert Damron",89,18.32,227,1239,2.25,"RoughTendency",2005
5,5,"Omar Uresti",84,18.8,210,1117,1.24,"RoughTendency",2005
6,6,"Olin Browne",99,18.92,239,1263,1.3,"RoughTendency",2005
7,7,"Brian Davis",75,18.95,187,987,1.5,"RoughTendency",2005
8,8,"Gavin Coles",70,19.41,190,979,1.21,"RoughTendency",2005
9,9,"Bart Bryant",91,19.52,226,1158,1.77,"RoughTendency",2005
10,10,"Duffy Waldorf",86,19.76,215,1088,1.3,"RoughTendency",2005
11,11,"Jeff Maggert",79,19.96,178,892,1.35,"RoughTendency",2005
12,12,"Matt Kuchar",60,20.32,164,807,1.4,"RoughTendency",2005
13,13,"Chris Riley",67,20.39,147,721,2.24,"RoughTendency",2005
14,14,"John Cook",72,20.67,190,919,1.95,"RoughTendency",2005
14,14,"David Hearn",68,20.67,190,919,1.16,"RoughTendency",2005
16,16,"Mark Brooks",72,20.88,203,972,2.22,"RoughTendency",2005
17,17,"Scott Verplank",87,20.96,210,1002,1.95,"RoughTendency",2005
18,18,"Jay Williamson",53,20.97,155,739,1.35,"RoughTendency",2005
19,19,"Danny Briggs",70,21.07,200,949,1.55,"RoughTendency",2005
20,20,"Doug Barron",70,21.08,206,977,0.78,"RoughTendency",2005
21,21,"Skip Kendall",80,21.09,229,1086,1.75,"RoughTendency",2005
22,22,"Jeff Sluman",94,21.27,272,1279,1.07,"RoughTendency",2005
23,23,"Joe Durant",81,21.32,223,1046,0.63,"RoughTendency",2005
24,24,"Jose Coceres",56,21.35,161,754,1.93,"RoughTendency",2005
25,25,"Darron Stiles",78,21.39,227,1061,1.45,"RoughTendency",2005
26,26,"Jeff Brehaut",71,21.48,200,931,0.7,"RoughTendency",2005
27,27,"Alex Cejka",84,21.7,232,1069,1.59,"RoughTendency",2005
28,28,"Billy Mayfair",114,21.85,329,1506,1.37,"RoughTendency",2005
29,29,"Craig Barlow",81,21.97,223,1015,1.3,"RoughTendency",2005
29,29,"Jerry Kelly",101,21.97,259,1179,1.35,"RoughTendency",2005
31,31,"Heath Slocum",103,22.04,292,1325,0.68,"RoughTendency",2005
32,32,"JL Lewis",98,22.56,282,1250,1.24,"RoughTendency",2005
33,33,"Ben Curtis",65,22.58,173,766,1.91,"RoughTendency",2005
34,34,"Kirk Triplett",55,22.65,152,671,2.04,"RoughTendency",2005
35,35,"Kent Jones",99,22.68,306,1349,1.37,"RoughTendency",2005
36,36,"Phillip Price",77,22.76,231,1015,0.74,"RoughTendency",2005
37,37,"Corey Pavin",77,22.77,219,962,1.46,"RoughTendency",2005
38,38,"Jim Furyk",94,22.94,253,1103,1.46,"RoughTendency",2005
39,39,"Joey Sindelar",104,22.97,333,1450,1.35,"RoughTendency",2005
40,40,"Robert Gamez",91,23,284,1235,2.29,"RoughTendency",2005
41,41,"Larry Mize",54,23.02,154,669,2.47,"RoughTendency",2005
42,42,"Zach Johnson",96,23.15,276,1192,1.41,"RoughTendency",2005
43,43,"Brian Gay",101,23.21,320,1379,1.88,"RoughTendency",2005
44,44,"Stephen Leaney",89,23.24,271,1166,1.4,"RoughTendency",2005
45,45,"Jim Carter",62,23.3,195,837,2.31,"RoughTendency",2005
46,46,"Richard Johnson",50,23.39,156,667,0.9,"RoughTendency",2005
46,46,"Steve Jones",56,23.39,163,697,2.39,"RoughTendency",2005
48,48,"Jonathan Kaye",77,23.46,224,955,0.89,"RoughTendency",2005
49,49,"Briny Baird",98,23.5,314,1336,0.7,"RoughTendency",2005
50,50,"Joey Snyder III",102,23.56,322,1367,0.75,"RoughTendency",2005
51,51,"Matt Gogel",78,23.58,250,1060,0.92,"RoughTendency",2005
52,52,"Paul Gow",78,23.62,244,1033,2.66,"RoughTendency",2005
53,53,"Hidemichi Tanaka",106,23.66,336,1420,0.92,"RoughTendency",2005
54,54,"Steve Elkington",67,23.84,195,818,1.44,"RoughTendency",2005
55,55,"Mark Calcavecchia",92,23.86,272,1140,0.96,"RoughTendency",2005
56,56,"Roland Thatcher",75,23.89,243,1017,1.6,"RoughTendency",2005
57,57,"Mark Wilson",74,23.95,233,973,1.89,"RoughTendency",2005
58,58,"John Senden",101,24,331,1379,1.3,"RoughTendency",2005
59,59,"Todd Fischer",99,24.13,326,1351,1.9,"RoughTendency",2005
60,60,"Tom Byrum",83,24.18,273,1129,2.34,"RoughTendency",2005
61,61,"Vaughn Taylor",99,24.19,321,1327,1.31,"RoughTendency",2005
62,62,"Bradley Hughes",52,24.2,175,723,1.83,"RoughTendency",2005
63,63,"Cameron Beckman",96,24.24,310,1279,1.71,"RoughTendency",2005
64,64,"Bob Tway",87,24.39,248,1017,0.77,"RoughTendency",2005
65,65,"Mike Weir",71,24.45,178,728,1.85,"RoughTendency",2005
66,66,"Charlie Wi",67,24.48,222,907,1.35,"RoughTendency",2005
67,67,"Steve Lowery",100,24.49,321,1311,1.28,"RoughTendency",2005
68,68,"DA Points",94,24.54,308,1255,1.3,"RoughTendency",2005
69,69,"Billy Andrade",83,24.58,277,1127,2.17,"RoughTendency",2005
70,70,"Tom Gillis",77,24.59,257,1045,1.71,"RoughTendency",2005
71,71,"Steve Flesch",90,24.61,237,963,1.94,"RoughTendency",2005
72,72,"Mark OMeara",66,24.64,206,836,1.21,"RoughTendency",2005
73,73,"Tim Clark",92,24.67,244,989,0.98,"RoughTendency",2005
73,73,"Jay Haas",54,24.67,148,600,0.81,"RoughTendency",2005
75,75,"Tommy Armour III",103,24.71,340,1376,1.35,"RoughTendency",2005
75,75,"Arron Oberholser",65,24.71,189,765,0.79,"RoughTendency",2005
77,77,"Harrison Frazar",105,24.72,348,1408,1.12,"RoughTendency",2005
77,77,"Bernhard Langer",67,24.72,175,708,0.34,"RoughTendency",2005
79,79,"Robert Allenby",95,24.84,274,1103,1.13,"RoughTendency",2005
80,80,"Kevin Sutherland",89,24.85,288,1159,1.08,"RoughTendency",2005
81,81,"Tjaart van der Walt",56,24.87,194,780,1.49,"RoughTendency",2005
82,82,"Ted Purdy",122,24.88,375,1507,1.15,"RoughTendency",2005
83,83,"Brent Geiberger",61,24.94,198,794,1.52,"RoughTendency",2005
83,83,"Joe Ogilvie",103,24.94,295,1183,0.95,"RoughTendency",2005
85,85,"Rocco Mediate",73,24.97,239,957,0.79,"RoughTendency",2005
86,86,"Loren Roberts",54,25,178,712,2.08,"RoughTendency",2005
86,86,"Chris Smith",93,25,323,1292,1.39,"RoughTendency",2005
88,88,"Dean Wilson",86,25.19,301,1195,0.86,"RoughTendency",2005
89,89,"Mario Tiziani",67,25.3,229,905,0.74,"RoughTendency",2005
90,90,"Tom Lehman",69,25.36,194,765,2.47,"RoughTendency",2005
91,91,"Mark Hensby",70,25.41,186,732,2.8,"RoughTendency",2005
92,92,"Justin Bolli",65,25.43,223,877,1.57,"RoughTendency",2005
92,92,"Shaun Micheel",81,25.43,251,987,1.71,"RoughTendency",2005
94,94,"Justin Leonard",78,25.47,217,852,1.24,"RoughTendency",2005
95,95,"David Toms",87,25.48,239,938,0.54,"RoughTendency",2005
96,96,"Matt Davidson",53,25.51,188,737,1.81,"RoughTendency",2005
96,96,"Patrick Sheehan",114,25.51,376,1474,1.7,"RoughTendency",2005
98,98,"Marco Dawson",82,25.61,292,1140,0.55,"RoughTendency",2005
98,98,"Scott McCarron",78,25.61,243,949,0.91,"RoughTendency",2005
100,100,"Frank Lickliter II",100,25.63,328,1280,1.59,"RoughTendency",2005
101,101,"Kevin Stadler",96,25.76,330,1281,1.27,"RoughTendency",2005
102,102,"Kenny Perry",82,25.81,230,891,0.52,"RoughTendency",2005
103,103,"John Rollins",97,25.82,321,1243,1.15,"RoughTendency",2005
104,104,"Will Ma Kenzie",75,25.86,263,1017,2.05,"RoughTendency",2005
105,105,"Glen Hnatiuk",59,25.88,198,765,1.16,"RoughTendency",2005
106,106,"Tom Pernice Jr",111,25.91,350,1351,1,"RoughTendency",2005
107,107,"Bob Estes",92,25.94,303,1168,1.12,"RoughTendency",2005
108,108,"Michael Long",72,25.95,253,975,2.25,"RoughTendency",2005
109,109,"Carl Pettersson",109,25.98,372,1432,0.75,"RoughTendency",2005
110,110,"DJ Brigman",76,26.03,247,949,1.13,"RoughTendency",2005
110,110,"John Huston",90,26.03,311,1195,1.32,"RoughTendency",2005
112,112,"Tim Herron",100,26.04,307,1179,0.65,"RoughTendency",2005
113,113,"Justin Rose",99,26.06,345,1324,0.12,"RoughTendency",2005
114,114,"Charles Warren",89,26.09,316,1211,0.95,"RoughTendency",2005
115,115,"Dudley Hart",84,26.21,293,1118,1.13,"RoughTendency",2005
116,116,"JJ Henry",102,26.29,351,1335,0.63,"RoughTendency",2005
117,117,"JP Hayes",63,26.31,216,821,1.02,"RoughTendency",2005
118,118,"Jason Bohn",91,26.39,319,1209,0.66,"RoughTendency",2005
119,119,"Kevin Na",88,26.5,310,1170,0.84,"RoughTendency",2005
120,120,"KJ Choi",78,26.51,211,796,2.09,"RoughTendency",2005
121,121,"Todd Hamilton",94,26.56,294,1107,1.94,"RoughTendency",2005
122,122,"Glen Day",80,26.68,290,1087,1,"RoughTendency",2005
123,123,"Woody Austin",100,26.7,358,1341,1.09,"RoughTendency",2005
123,123,"Phil Mickelson",81,26.7,216,809,-0.51,"RoughTendency",2005
125,125,"Rob Rashell",65,26.71,227,850,1.89,"RoughTendency",2005
126,126,"Brian Bateman",98,26.74,349,1305,1.81,"RoughTendency",2005
127,127,"DJ Trahan",81,26.79,288,1075,1.01,"RoughTendency",2005
127,127,"Nick Watney",91,26.79,333,1243,0.99,"RoughTendency",2005
129,129,"Luke Donald",67,26.83,165,615,1.03,"RoughTendency",2005
130,130,"Peter Lonard",85,26.85,269,1002,1.15,"RoughTendency",2005
131,131,"Bill Glasson",54,26.91,180,669,2.22,"RoughTendency",2005
132,132,"Chris Anderson",66,26.94,233,865,1.72,"RoughTendency",2005
133,133,"Ryan Palmer",101,26.97,336,1246,1.28,"RoughTendency",2005
134,134,"Len Mattiace",86,27.08,309,1141,1.29,"RoughTendency",2005
135,135,"Greg Owen",84,27.29,289,1059,1.18,"RoughTendency",2005
136,136,"Hunter Mahan",103,27.38,377,1377,1.11,"RoughTendency",2005
137,137,"Ian Poulter",62,27.42,153,558,1.44,"RoughTendency",2005
138,138,"Hunter Haas",83,27.47,303,1103,0.83,"RoughTendency",2005
139,139,"Stewart Cink",98,27.5,292,1062,1.23,"RoughTendency",2005
140,140,"Brad Faxon",75,27.54,249,904,0.8,"RoughTendency",2005
141,141,"Paul Azinger",66,27.55,246,893,1.54,"RoughTendency",2005
141,141,"Neal Lancaster",95,27.55,365,1325,1.01,"RoughTendency",2005
143,143,"Tim Petrovic",97,27.56,342,1241,2.16,"RoughTendency",2005
144,144,"Pat Perez",89,27.59,312,1131,1.83,"RoughTendency",2005
144,144,"Hideto Tanihara",50,27.59,184,667,2.77,"RoughTendency",2005
146,146,"Lee Westwood",50,27.63,139,503,2.01,"RoughTendency",2005
147,147,"Scott Gutschewski",86,27.64,301,1089,0.5,"RoughTendency",2005
148,148,"Fred Couples",72,27.72,201,725,0.9,"RoughTendency",2005
149,149,"Bo Van Pelt",112,27.79,394,1418,0.51,"RoughTendency",2005
150,150,"Lee Janzen",75,27.85,259,930,1.39,"RoughTendency",2005
151,151,"Geoff Ogilvy",97,27.88,315,1130,-0.1,"RoughTendency",2005
152,152,"Jonathan Byrd",103,28.01,388,1385,0.8,"RoughTendency",2005
153,153,"Jesper Parnevik",84,28.1,297,1057,0.74,"RoughTendency",2005
154,154,"Andrew Magee",82,28.15,306,1087,1.37,"RoughTendency",2005
155,155,"Craig Perks",67,28.22,256,907,2.15,"RoughTendency",2005
156,156,"Arjun Atwal",65,28.28,248,877,1.09,"RoughTendency",2005
157,157,"Sean OHair",103,28.29,359,1269,1.36,"RoughTendency",2005
