"NonmemberEarnings_RANKTHISWEEK_2015","NonmemberEarnings_RANKLASTWEEK_2015","NonmemberEarnings_PLAYERNAME_2015","NonmemberEarnings_EVENTS_2015","NonmemberEarnings_MONEY_2015","NonmemberEarnings_TOTAL_2015","stat_name","year"
1,1,"Branden Grace",13,1471160,1761660,"NonmemberEarnings",2015
2,2,"Patrick Rodgers",17,1038291,1038291,"NonmemberEarnings",2015
3,3,"Cameron Smith",13,976297,976297,"NonmemberEarnings",2015
4,4,"Austin Cook",7,537648,537648,"NonmemberEarnings",2015
5,5,"Anirban Lahiri",12,490003,712794,"NonmemberEarnings",2015
6,6,"Danny Willett",10,408435,1265935,"NonmemberEarnings",2015
7,7,"Emiliano Grillo",5,348407,348407,"NonmemberEarnings",2015
8,8,"George Coetzee",7,338872,532695,"NonmemberEarnings",2015
9,9,"Joost Luiten",13,235074,503397,"NonmemberEarnings",2015
10,10,"Kiradech Aphibarnrat",4,229250,229250,"NonmemberEarnings",2015
11,11,"Prom Meesawat",1,189000,189000,"NonmemberEarnings",2015
11,11,"Angelo Que",1,189000,189000,"NonmemberEarnings",2015
13,13,"Andy Sullivan",6,179325,242825,"NonmemberEarnings",2015
14,14,"Peter Uihlein",4,165333,165333,"NonmemberEarnings",2015
15,15,"Marc Warren",9,163922,461088,"NonmemberEarnings",2015
16,16,"Anthony Wall",1,162107,162107,"NonmemberEarnings",2015
17,17,"Ollie Schniederjans",7,160107,160107,"NonmemberEarnings",2015
18,18,"Bernd Wiesberger",11,155149,365315,"NonmemberEarnings",2015
19,19,"Thomas Aiken",4,153350,236350,"NonmemberEarnings",2015
20,20,"Jamie Lovemark",2,146138,146138,"NonmemberEarnings",2015
21,21,"Rafa Cabrera Bello",4,129450,129450,"NonmemberEarnings",2015
22,22,"Mark Anderson",7,129215,129215,"NonmemberEarnings",2015
23,23,"Marcel Siem",8,120950,298750,"NonmemberEarnings",2015
24,24,"Marcus Fraser",2,119760,119760,"NonmemberEarnings",2015
25,25,"James Morrison",2,113238,113238,"NonmemberEarnings",2015
26,26,"Garrett Osborn",4,1e+05,1e+05,"NonmemberEarnings",2015
27,27,"Hiroshi Iwata",4,97667,479333,"NonmemberEarnings",2015
28,28,"Cory Whitsett",2,78544,78544,"NonmemberEarnings",2015
29,29,"Alexander Levy",8,77658,282375,"NonmemberEarnings",2015
30,30,"Brandon Hagy",8,77111,77111,"NonmemberEarnings",2015
31,31,"Tyrrell Hatton",2,74600,74600,"NonmemberEarnings",2015
32,32,"Stephen Gallacher",11,67790,281549,"NonmemberEarnings",2015
33,33,"Cheng Tsung Pan",2,65056,65056,"NonmemberEarnings",2015
34,34,"Tommy Fleetwood",7,64126,465251,"NonmemberEarnings",2015
34,34,"Jimmy Gunn",1,64126,64126,"NonmemberEarnings",2015
36,36,"Byeong Hun An",5,63450,109200,"NonmemberEarnings",2015
37,37,"Martin Piller",1,47250,47250,"NonmemberEarnings",2015
38,38,"Thongchai Jaidee",10,46955,255455,"NonmemberEarnings",2015
39,39,"Scott Arnold",1,43480,43480,"NonmemberEarnings",2015
39,39,"Paul Lawrie",1,43480,43480,"NonmemberEarnings",2015
41,41,"DH Lee",2,38985,38985,"NonmemberEarnings",2015
42,42,"David Lipsky",5,38264,170014,"NonmemberEarnings",2015
43,43,"Brad Fritsch",3,37090,37090,"NonmemberEarnings",2015
44,44,"Andy Pope",2,34524,34524,"NonmemberEarnings",2015
45,45,"Cody Gribble",4,34229,34229,"NonmemberEarnings",2015
46,46,"Cameron Wilson",3,33300,33300,"NonmemberEarnings",2015
47,47,"Hyung Sung Kim",2,33280,76530,"NonmemberEarnings",2015
48,48,"Jason Allred",3,32683,32683,"NonmemberEarnings",2015
49,49,"Wes Homan",4,31789,31789,"NonmemberEarnings",2015
50,50,"Michael Smith",1,31099,31099,"NonmemberEarnings",2015
51,51,"Ryan Fox",1,29227,29227,"NonmemberEarnings",2015
51,51,"David Howell",2,29227,29227,"NonmemberEarnings",2015
51,51,"Eddie Pepperell",2,29227,29227,"NonmemberEarnings",2015
54,54,"Adam Svensson",1,28669,28669,"NonmemberEarnings",2015
55,55,"Rikard Karlberg",2,27300,27300,"NonmemberEarnings",2015
56,56,"Mark Silvers",2,27272,27272,"NonmemberEarnings",2015
57,57,"Thomas Bjorn",7,25750,124500,"NonmemberEarnings",2015
58,58,"Brad Elder",1,25358,25358,"NonmemberEarnings",2015
59,59,"Colin Montgomerie",2,23822,23822,"NonmemberEarnings",2015
60,60,"Darren Clarke",6,23800,23800,"NonmemberEarnings",2015
61,61,"Ross Fisher",3,23331,106331,"NonmemberEarnings",2015
61,61,"Richie Ramsay",2,23331,23331,"NonmemberEarnings",2015
63,63,"Brett Rumford",1,22551,22551,"NonmemberEarnings",2015
64,64,"Mikko Ilonen",8,22500,276500,"NonmemberEarnings",2015
65,65,"John Parry",1,22067,22067,"NonmemberEarnings",2015
66,66,"Kelvin Day",2,21236,21236,"NonmemberEarnings",2015
67,67,"Jason Knutzon",2,21000,62000,"NonmemberEarnings",2015
68,68,"Wes Roach",1,20495,20495,"NonmemberEarnings",2015
69,69,"JJ Spaun",1,20300,20300,"NonmemberEarnings",2015
70,70,"Steve Lewton",1,19180,19180,"NonmemberEarnings",2015
71,71,"Fabrizio Zanotti",1,18736,18736,"NonmemberEarnings",2015
72,72,"Sebastian Cappelen",2,18475,18475,"NonmemberEarnings",2015
73,73,"Brian Gaffney",1,17900,17900,"NonmemberEarnings",2015
74,74,"Koumei Oda",4,17700,116200,"NonmemberEarnings",2015
75,75,"Alvaro Quiros",2,17651,17651,"NonmemberEarnings",2015
76,76,"Michael Block",6,14960,14960,"NonmemberEarnings",2015
77,77,"Scott Gutschewski",1,14697,14697,"NonmemberEarnings",2015
78,78,"Alexandre Rocha",1,14528,14528,"NonmemberEarnings",2015
79,79,"Danny Chia",1,14420,14420,"NonmemberEarnings",2015
79,79,"Nicholas Fung",1,14420,14420,"NonmemberEarnings",2015
81,81,"Kevin Tway",1,14322,14322,"NonmemberEarnings",2015
82,82,"Antonio Lascuna",2,13790,55415,"NonmemberEarnings",2015
83,83,"Cory Renfrew",1,13734,13734,"NonmemberEarnings",2015
84,84,"Doug LaBelle II",1,13650,13650,"NonmemberEarnings",2015
85,85,"Seukhyun Baek",2,13160,13160,"NonmemberEarnings",2015
86,86,"Tom Johnson",2,12967,12967,"NonmemberEarnings",2015
87,87,"Patton Kizzire",2,12544,12544,"NonmemberEarnings",2015
88,88,"Daniel Miernicki",1,12348,12348,"NonmemberEarnings",2015
89,89,"Jay Woodson",1,12261,12261,"NonmemberEarnings",2015
90,90,"Thomas Birdsey",1,12090,12090,"NonmemberEarnings",2015
91,91,"WC Liang",5,11760,102185,"NonmemberEarnings",2015
92,92,"Chris Naegel",2,11336,11336,"NonmemberEarnings",2015
93,93,"Marcelo Rozo",1,9628,9628,"NonmemberEarnings",2015
94,94,"Alex Kang",1,7613,7613,"NonmemberEarnings",2015
95,95,"Smylie Kaufman",2,7210,7210,"NonmemberEarnings",2015
