"YTDRoundsin60sStreak_RANKTHISWEEK_2010","YTDRoundsin60sStreak_RANKLASTWEEK_2010","YTDRoundsin60sStreak_PLAYERNAME_2010","YTDRoundsin60sStreak__2010","YTDRoundsin60sStreak_BESTSTREAK_2010","stat_name","year"
1,1,"Brendon de Jonge",NA,13,"YTDRoundsin60sStreak",2010
2,2,"Chris Riley",NA,12,"YTDRoundsin60sStreak",2010
3,3,"John Senden",NA,11,"YTDRoundsin60sStreak",2010
4,4,"Woody Austin",NA,10,"YTDRoundsin60sStreak",2010
4,4,"Matt Kuchar",NA,10,"YTDRoundsin60sStreak",2010
6,6,"Aaron Baddeley",NA,9,"YTDRoundsin60sStreak",2010
6,6,"Charles Howell III",NA,9,"YTDRoundsin60sStreak",2010
6,6,"Steve Stricker",NA,9,"YTDRoundsin60sStreak",2010
6,6,"Johnson Wagner",NA,9,"YTDRoundsin60sStreak",2010
10,10,"Matt Bettencourt",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Jason Bohn",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Spencer Levin",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Troy Matteson",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Corey Pavin",NA,8,"YTDRoundsin60sStreak",2010
10,10,"John Rollins",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Josh Teater",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Chris Tidland",NA,8,"YTDRoundsin60sStreak",2010
10,10,"Charlie Wi",NA,8,"YTDRoundsin60sStreak",2010
19,19,"Chad Collins",NA,7,"YTDRoundsin60sStreak",2010
19,19,"Luke Donald",NA,7,"YTDRoundsin60sStreak",2010
19,19,"Steve Elkington",NA,7,"YTDRoundsin60sStreak",2010
19,19,"Rickie Fowler",NA,7,"YTDRoundsin60sStreak",2010
19,19,"Brian Gay",NA,7,"YTDRoundsin60sStreak",2010
19,19,"JB Holmes",NA,7,"YTDRoundsin60sStreak",2010
19,19,"Justin Leonard",NA,7,"YTDRoundsin60sStreak",2010
19,19,"Garth Mulroy",NA,7,"YTDRoundsin60sStreak",2010
