"LatePar5ScoringAverage_RANKTHISWEEK_2009","LatePar5ScoringAverage_RANKLASTWEEK_2009","LatePar5ScoringAverage_PLAYERNAME_2009","LatePar5ScoringAverage_ROUNDS_2009","LatePar5ScoringAverage_AVG_2009","LatePar5ScoringAverage_TOTALSTROKES_2009","LatePar5ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Matt Jones",56,4.42,349,79,"LatePar5ScoringAverage",2009
1,1,"Tiger Woods",64,4.42,597,135,"LatePar5ScoringAverage",2009
3,3,"Martin Laird",72,4.49,557,124,"LatePar5ScoringAverage",2009
4,4,"Pat Perez",74,4.5,554,123,"LatePar5ScoringAverage",2009
4,4,"John Senden",100,4.5,725,161,"LatePar5ScoringAverage",2009
6,6,"Jonathan Byrd",89,4.52,718,159,"LatePar5ScoringAverage",2009
6,6,"Ernie Els",70,4.52,497,110,"LatePar5ScoringAverage",2009
6,6,"Kirk Triplett",60,4.52,371,82,"LatePar5ScoringAverage",2009
9,9,"Retief Goosen",74,4.54,549,121,"LatePar5ScoringAverage",2009
9,9,"Phil Mickelson",66,4.54,440,97,"LatePar5ScoringAverage",2009
11,11,"Anthony Kim",76,4.55,583,128,"LatePar5ScoringAverage",2009
12,12,"Jerry Kelly",90,4.56,634,139,"LatePar5ScoringAverage",2009
12,12,"George McNeill",82,4.56,520,114,"LatePar5ScoringAverage",2009
12,12,"Kevin Na",91,4.56,703,154,"LatePar5ScoringAverage",2009
15,15,"Daniel Chopra",89,4.57,617,135,"LatePar5ScoringAverage",2009
15,15,"Freddie Jacobson",83,4.57,498,109,"LatePar5ScoringAverage",2009
15,15,"Steve Marino",98,4.57,726,159,"LatePar5ScoringAverage",2009
15,15,"Steve Stricker",81,4.57,690,151,"LatePar5ScoringAverage",2009
19,19,"Brian Gay",96,4.58,573,125,"LatePar5ScoringAverage",2009
19,19,"Tom Pernice Jr",82,4.58,605,132,"LatePar5ScoringAverage",2009
19,19,"Vaughn Taylor",88,4.58,632,138,"LatePar5ScoringAverage",2009
19,19,"DJ Trahan",96,4.58,650,142,"LatePar5ScoringAverage",2009
19,19,"Bo Van Pelt",100,4.58,724,158,"LatePar5ScoringAverage",2009
19,19,"Jimmy Walker",74,4.58,495,108,"LatePar5ScoringAverage",2009
19,19,"Boo Weekley",79,4.58,559,122,"LatePar5ScoringAverage",2009
26,26,"Harrison Frazar",93,4.59,569,124,"LatePar5ScoringAverage",2009
26,26,"Davis Love III",89,4.59,629,137,"LatePar5ScoringAverage",2009
26,26,"Geoff Ogilvy",78,4.59,578,126,"LatePar5ScoringAverage",2009
26,26,"Bubba Watson",73,4.59,569,124,"LatePar5ScoringAverage",2009
30,30,"Matt Bettencourt",98,4.6,695,151,"LatePar5ScoringAverage",2009
30,30,"Greg Chalmers",85,4.6,672,146,"LatePar5ScoringAverage",2009
30,30,"Jason Day",61,4.6,474,103,"LatePar5ScoringAverage",2009
30,30,"Padraig Harrington",66,4.6,469,102,"LatePar5ScoringAverage",2009
30,30,"Chris Riley",77,4.6,474,103,"LatePar5ScoringAverage",2009
30,30,"Chris Stroud",88,4.6,617,134,"LatePar5ScoringAverage",2009
30,30,"Charles Warren",63,4.6,460,100,"LatePar5ScoringAverage",2009
30,30,"Mike Weir",85,4.6,556,121,"LatePar5ScoringAverage",2009
38,38,"Briny Baird",89,4.61,715,155,"LatePar5ScoringAverage",2009
38,38,"Kris Blanks",60,4.61,452,98,"LatePar5ScoringAverage",2009
38,38,"Brian Davis",103,4.61,627,136,"LatePar5ScoringAverage",2009
38,38,"Luke Donald",79,4.61,544,118,"LatePar5ScoringAverage",2009
38,38,"Jason Dufner",90,4.61,646,140,"LatePar5ScoringAverage",2009
38,38,"Lucas Glover",93,4.61,737,160,"LatePar5ScoringAverage",2009
38,38,"Charles Howell III",99,4.61,692,150,"LatePar5ScoringAverage",2009
38,38,"Dustin Johnson",85,4.61,696,151,"LatePar5ScoringAverage",2009
38,38,"Hunter Mahan",94,4.61,645,140,"LatePar5ScoringAverage",2009
38,38,"Sean OHair",80,4.61,586,127,"LatePar5ScoringAverage",2009
38,38,"Scott Piercy",85,4.61,728,158,"LatePar5ScoringAverage",2009
38,38,"Tag Ridings",50,4.61,369,80,"LatePar5ScoringAverage",2009
38,38,"Rory Sabbatini",81,4.61,636,138,"LatePar5ScoringAverage",2009
51,51,"Stephen Ames",77,4.62,605,131,"LatePar5ScoringAverage",2009
51,51,"Ben Crane",93,4.62,661,143,"LatePar5ScoringAverage",2009
51,51,"Sergio Garcia",59,4.62,393,85,"LatePar5ScoringAverage",2009
51,51,"Zach Johnson",94,4.62,698,151,"LatePar5ScoringAverage",2009
51,51,"David Toms",98,4.62,698,151,"LatePar5ScoringAverage",2009
51,51,"Camilo Villegas",76,4.62,587,127,"LatePar5ScoringAverage",2009
57,57,"Fred Couples",54,4.63,398,86,"LatePar5ScoringAverage",2009
57,57,"Steve Elkington",70,4.63,481,104,"LatePar5ScoringAverage",2009
57,57,"Jason Gore",74,4.63,500,108,"LatePar5ScoringAverage",2009
57,57,"Tom Lehman",55,4.63,333,72,"LatePar5ScoringAverage",2009
57,57,"Justin Leonard",95,4.63,690,149,"LatePar5ScoringAverage",2009
57,57,"Bryce Molder",69,4.63,505,109,"LatePar5ScoringAverage",2009
57,57,"Adam Scott",53,4.63,361,78,"LatePar5ScoringAverage",2009
57,57,"Patrick Sheehan",51,4.63,329,71,"LatePar5ScoringAverage",2009
