"FedExCupStandings_RANKTHISWEEK_2009","FedExCupStandings_RANKLASTWEEK_2009","FedExCupStandings_PLAYERNAME_2009","FedExCupStandings_EVENTS_2009","FedExCupStandings_POINTS_2009","FedExCupStandings_OFWINS_2009","FedExCupStandings_OFTOP10S_2009","FedExCupStandings_POINTSBEHINDLEAD_2009","FedExCupStandings_RESETPOINTS_2009","stat_name","year"
1,1,"Tiger Woods",17,4000,6,14,NA,2500,"FedExCupStandings",2009
2,2,"Phil Mickelson",18,2920,3,7,1080,420,"FedExCupStandings",2009
3,3,"Steve Stricker",22,2750,3,11,1250,2250,"FedExCupStandings",2009
4,4,"Jim Furyk",22,2438,NA,10,1562,2000,"FedExCupStandings",2009
5,5,"Sean OHair",23,2200,1,9,1800,1200,"FedExCupStandings",2009
6,6,"Zach Johnson",25,2073,2,8,1927,1800,"FedExCupStandings",2009
7,7,"Padraig Harrington",20,2050,NA,6,1950,1400,"FedExCupStandings",2009
8,8,"Heath Slocum",27,1855,1,3,2145,1600,"FedExCupStandings",2009
9,9,"Kenny Perry",24,1450,2,8,2550,800,"FedExCupStandings",2009
10,10,"Scott Verplank",24,1245,NA,6,2755,1000,"FedExCupStandings",2009
11,11,"Jason Dufner",26,855,NA,6,3145,600,"FedExCupStandings",2009
12,12,"Nick Watney",23,748,1,4,3252,460,"FedExCupStandings",2009
13,13,"Geoff Ogilvy",20,713,2,5,3287,440,"FedExCupStandings",2009
14,14,"Dustin Johnson",24,700,1,5,3300,480,"FedExCupStandings",2009
15,15,"Steve Marino",28,698,NA,5,3302,260,"FedExCupStandings",2009
16,16,"Ernie Els",19,690,NA,7,3310,290,"FedExCupStandings",2009
17,17,"Lucas Glover",26,660,1,6,3340,310,"FedExCupStandings",2009
18,18,"Retief Goosen",20,640,1,5,3360,400,"FedExCupStandings",2009
19,19,"David Toms",25,608,NA,7,3392,320,"FedExCupStandings",2009
20,20,"Marc Leishman",26,593,NA,3,3407,380,"FedExCupStandings",2009
21,21,"Brian Gay",25,573,2,4,3427,360,"FedExCupStandings",2009
22,22,"Jerry Kelly",25,570,1,6,3430,220,"FedExCupStandings",2009
23,23,"YE Yang",23,565,2,4,3435,300,"FedExCupStandings",2009
24,24,"John Senden",28,560,NA,6,3440,210,"FedExCupStandings",2009
25,25,"Angel Cabrera",17,558,1,3,3442,270,"FedExCupStandings",2009
26,26,"Kevin Na",26,545,NA,9,3455,340,"FedExCupStandings",2009
27,27,"Hunter Mahan",24,515,NA,6,3485,280,"FedExCupStandings",2009
28,28,"Stewart Cink",22,505,1,4,3495,250,"FedExCupStandings",2009
29,29,"Mike Weir",23,468,NA,5,3532,240,"FedExCupStandings",2009
30,30,"Luke Donald",21,458,NA,6,3542,230,"FedExCupStandings",2009
31,31,"Ian Poulter",17,1532,NA,5,7164,NA,"FedExCupStandings",2009
32,32,"Mark Wilson",25,1438,1,3,7258,NA,"FedExCupStandings",2009
33,33,"Brandt Snedeker",23,1435,NA,5,7261,NA,"FedExCupStandings",2009
34,34,"Rory Sabbatini",22,1426,1,4,7270,NA,"FedExCupStandings",2009
35,35,"Anthony Kim",21,1420,NA,3,7276,NA,"FedExCupStandings",2009
36,36,"Tim Clark",21,1395,NA,4,7301,NA,"FedExCupStandings",2009
37,37,"Charley Hoffman",24,1393,NA,3,7303,NA,"FedExCupStandings",2009
38,38,"Sergio Garcia",17,1379,NA,3,7317,NA,"FedExCupStandings",2009
39,39,"Justin Leonard",24,1371,NA,5,7325,NA,"FedExCupStandings",2009
40,40,"Matt Kuchar",22,1364,NA,3,7332,NA,"FedExCupStandings",2009
41,41,"Bill Haas",26,1362,NA,4,7334,NA,"FedExCupStandings",2009
42,42,"Camilo Villegas",21,1336,NA,4,7360,NA,"FedExCupStandings",2009
43,43,"Robert Allenby",20,1326,NA,3,7370,NA,"FedExCupStandings",2009
44,44,"Kevin Sutherland",25,1276,NA,2,7420,NA,"FedExCupStandings",2009
45,45,"John Rollins",24,1266,1,4,7430,NA,"FedExCupStandings",2009
46,46,"Pat Perez",21,1233,1,2,7463,NA,"FedExCupStandings",2009
47,47,"Ryan Moore",24,1215,1,4,7481,NA,"FedExCupStandings",2009
48,48,"Jason Day",18,1213,NA,2,7483,NA,"FedExCupStandings",2009
49,49,"Charles Howell III",26,1202,NA,3,7494,NA,"FedExCupStandings",2009
50,50,"Bo Van Pelt",26,1195,1,4,7501,NA,"FedExCupStandings",2009
51,51,"Davis Love III",24,1166,NA,2,7530,NA,"FedExCupStandings",2009
52,52,"Paul Casey",12,1161,1,3,7535,NA,"FedExCupStandings",2009
53,53,"Bubba Watson",23,1140,NA,2,7556,NA,"FedExCupStandings",2009
54,54,"Paul Goydos",22,1120,NA,4,7576,NA,"FedExCupStandings",2009
55,55,"Stephen Ames",20,1102,NA,4,7594,NA,"FedExCupStandings",2009
56,56,"Charlie Wi",25,1101,NA,3,7595,NA,"FedExCupStandings",2009
57,57,"Freddie Jacobson",21,1087,NA,3,7609,NA,"FedExCupStandings",2009
58,58,"Brian Davis",28,1045,NA,3,7651,NA,"FedExCupStandings",2009
59,59,"Chad Campbell",24,1043,NA,2,7653,NA,"FedExCupStandings",2009
60,60,"John Mallinger",24,1037,NA,4,7659,NA,"FedExCupStandings",2009
61,61,"Ben Crane",23,996,NA,4,7700,NA,"FedExCupStandings",2009
62,62,"Webb Simpson",26,986,NA,3,7710,NA,"FedExCupStandings",2009
63,63,"Nathan Green",27,910,1,1,7786,NA,"FedExCupStandings",2009
64,64,"Bryce Molder",19,894,NA,2,7802,NA,"FedExCupStandings",2009
65,65,"Woody Austin",22,892,NA,3,7804,NA,"FedExCupStandings",2009
66,66,"Jonathan Byrd",21,888,NA,2,7808,NA,"FedExCupStandings",2009
67,67,"Jeff Overton",24,880,NA,3,7816,NA,"FedExCupStandings",2009
68,68,"Jason Bohn",22,876,NA,2,7820,NA,"FedExCupStandings",2009
69,69,"JB Holmes",23,843,NA,2,7853,NA,"FedExCupStandings",2009
70,70,"Bob Estes",23,824,NA,2,7872,NA,"FedExCupStandings",2009
71,71,"Brett Quigley",25,812,NA,3,7884,NA,"FedExCupStandings",2009
72,72,"DA Points",25,808,NA,3,7888,NA,"FedExCupStandings",2009
73,73,"Boo Weekley",22,802,NA,1,7894,NA,"FedExCupStandings",2009
74,74,"Mathew Goggin",23,782,NA,3,7914,NA,"FedExCupStandings",2009
75,75,"John Merrick",24,762,NA,4,7934,NA,"FedExCupStandings",2009
76,76,"Kevin Streelman",25,758,NA,2,7938,NA,"FedExCupStandings",2009
77,77,"Greg Owen",26,756,NA,1,7940,NA,"FedExCupStandings",2009
78,78,"Troy Matteson",27,754,NA,NA,7942,NA,"FedExCupStandings",2009
79,79,"Lee Janzen",22,738,NA,2,7958,NA,"FedExCupStandings",2009
80,80,"Briny Baird",25,733,NA,3,7963,NA,"FedExCupStandings",2009
81,81,"Vijay Singh",21,719,NA,3,7977,NA,"FedExCupStandings",2009
82,82,"Scott McCarron",25,719,NA,3,7977,NA,"FedExCupStandings",2009
83,83,"JJ Henry",26,709,NA,3,7987,NA,"FedExCupStandings",2009
84,84,"Fred Couples",15,709,NA,4,7987,NA,"FedExCupStandings",2009
85,85,"Justin Rose",20,704,NA,1,7992,NA,"FedExCupStandings",2009
86,86,"Michael Letzig",24,697,NA,2,7999,NA,"FedExCupStandings",2009
87,87,"Greg Chalmers",23,696,NA,2,8000,NA,"FedExCupStandings",2009
88,88,"Scott Piercy",25,683,NA,2,8013,NA,"FedExCupStandings",2009
89,89,"Tim Petrovic",27,655,NA,4,8041,NA,"FedExCupStandings",2009
