"StrokesGainedPutting_RANKTHISWEEK_2008","StrokesGainedPutting_RANKLASTWEEK_2008","StrokesGainedPutting_PLAYERNAME_2008","StrokesGainedPutting_ROUNDS_2008","StrokesGainedPutting_AVERAGE_2008","StrokesGainedPutting_TOTALPUTTSGAINED_2008","StrokesGainedPutting_MEASUREDROUNDS_2008","stat_name","year"
1,1,"Corey Pavin",69,0.966,54.121,56,"StrokesGainedPutting",2008
2,2,"Bob Tway",70,0.825,47.052,57,"StrokesGainedPutting",2008
3,3,"Daniel Chopra",84,0.787,54.287,69,"StrokesGainedPutting",2008
4,4,"Marc Turnesa",87,0.786,59.721,76,"StrokesGainedPutting",2008
5,5,"Aaron Baddeley",76,0.765,45.914,60,"StrokesGainedPutting",2008
6,6,"Ben Crane",86,0.738,55.337,75,"StrokesGainedPutting",2008
7,7,"Dudley Hart",74,0.666,44.632,67,"StrokesGainedPutting",2008
8,8,"Jeff Quinney",87,0.654,47.739,73,"StrokesGainedPutting",2008
9,9,"Chad Collins",72,0.641,40.361,63,"StrokesGainedPutting",2008
10,10,"Eric Axley",113,0.608,59.573,98,"StrokesGainedPutting",2008
11,11,"Dean Wilson",109,0.576,53.553,93,"StrokesGainedPutting",2008
12,12,"Jesper Parnevik",88,0.557,41.79,75,"StrokesGainedPutting",2008
13,13,"Nathan Green",95,0.544,49.539,91,"StrokesGainedPutting",2008
14,14,"Carl Pettersson",110,0.536,52.03,97,"StrokesGainedPutting",2008
15,15,"Stewart Cink",87,0.517,33.091,64,"StrokesGainedPutting",2008
16,16,"Ian Poulter",51,0.515,18.536,36,"StrokesGainedPutting",2008
17,17,"Brian Gay",102,0.511,43.922,86,"StrokesGainedPutting",2008
17,17,"Richard Johnson",77,0.511,34.721,68,"StrokesGainedPutting",2008
19,19,"Greg Kraft",63,0.494,24.69,50,"StrokesGainedPutting",2008
20,20,"KJ Choi",74,0.488,27.825,57,"StrokesGainedPutting",2008
21,21,"Ryuji Imada",80,0.471,32.024,68,"StrokesGainedPutting",2008
22,22,"Ken Duke",116,0.466,48.982,105,"StrokesGainedPutting",2008
23,23,"Justin Leonard",101,0.46,33.615,73,"StrokesGainedPutting",2008
24,24,"Mark Wilson",107,0.459,47.734,104,"StrokesGainedPutting",2008
25,25,"Freddie Jacobson",78,0.457,29.237,64,"StrokesGainedPutting",2008
26,26,"Joe Ogilvie",100,0.45,39.129,87,"StrokesGainedPutting",2008
27,27,"Parker McLachlin",88,0.445,35.172,79,"StrokesGainedPutting",2008
28,28,"Stuart Appleby",87,0.434,29.062,67,"StrokesGainedPutting",2008
28,28,"Ryan Palmer",69,0.434,26.065,60,"StrokesGainedPutting",2008
30,30,"Steve Elkington",84,0.409,29.882,73,"StrokesGainedPutting",2008
31,31,"Doug LaBelle II",65,0.407,20.759,51,"StrokesGainedPutting",2008
31,31,"Steve Stricker",75,0.407,23.588,58,"StrokesGainedPutting",2008
33,33,"Tim Herron",97,0.406,35.302,87,"StrokesGainedPutting",2008
34,34,"Craig Kanada",65,0.403,22.19,55,"StrokesGainedPutting",2008
35,35,"Jim Furyk",95,0.402,30.149,75,"StrokesGainedPutting",2008
36,36,"Patrick Sheehan",124,0.392,41.138,105,"StrokesGainedPutting",2008
38,38,"Anthony Kim",81,0.365,23.727,65,"StrokesGainedPutting",2008
39,39,"Nick OHern",82,0.343,24.361,71,"StrokesGainedPutting",2008
40,40,"Hunter Mahan",87,0.337,24.297,72,"StrokesGainedPutting",2008
40,40,"Kevin Sutherland",98,0.337,29.689,88,"StrokesGainedPutting",2008
42,42,"Brenden Pappas",66,0.333,18.672,56,"StrokesGainedPutting",2008
43,43,"Ben Curtis",80,0.323,20.374,63,"StrokesGainedPutting",2008
44,44,"John Mallinger",95,0.314,26.352,84,"StrokesGainedPutting",2008
45,45,"Stephen Leaney",53,0.309,13.897,45,"StrokesGainedPutting",2008
45,45,"Vaughn Taylor",103,0.309,29.017,94,"StrokesGainedPutting",2008
47,47,"Todd Hamilton",92,0.306,22.61,74,"StrokesGainedPutting",2008
48,48,"Stephen Ames",83,0.3,19.775,66,"StrokesGainedPutting",2008
49,49,"Brad Elder",67,0.268,14.454,54,"StrokesGainedPutting",2008
50,50,"Tom Pernice Jr",104,0.239,23.387,98,"StrokesGainedPutting",2008
51,51,"Carlos Franco",73,0.224,14.127,63,"StrokesGainedPutting",2008
52,52,"James Driscoll",85,0.222,16.872,76,"StrokesGainedPutting",2008
53,53,"Pat Perez",93,0.214,16.914,79,"StrokesGainedPutting",2008
54,54,"Gavin Coles",54,0.213,9.392,44,"StrokesGainedPutting",2008
55,55,"Jason Day",81,0.211,16.231,77,"StrokesGainedPutting",2008
56,56,"Shigeki Maruyama",50,0.21,8.83,42,"StrokesGainedPutting",2008
56,56,"Chris Riley",51,0.21,8.406,40,"StrokesGainedPutting",2008
58,58,"Phil Mickelson",80,0.209,12.319,59,"StrokesGainedPutting",2008
58,58,"Ryan Moore",72,0.209,13.144,63,"StrokesGainedPutting",2008
60,60,"Jeff Overton",103,0.19,17.31,91,"StrokesGainedPutting",2008
61,61,"John Huston",56,0.184,9.004,49,"StrokesGainedPutting",2008
62,62,"Matt Kuchar",88,0.178,12.468,70,"StrokesGainedPutting",2008
63,63,"Scott McCarron",63,0.175,9.466,54,"StrokesGainedPutting",2008
64,64,"Tim Wilkinson",95,0.173,13.829,80,"StrokesGainedPutting",2008
65,65,"Chad Campbell",94,0.172,14.592,85,"StrokesGainedPutting",2008
66,66,"Steve Allan",58,0.17,8.142,48,"StrokesGainedPutting",2008
67,67,"Mike Weir",88,0.167,11.023,66,"StrokesGainedPutting",2008
68,68,"Tim Petrovic",97,0.156,12.611,81,"StrokesGainedPutting",2008
69,69,"Steve Marino",119,0.152,15.808,104,"StrokesGainedPutting",2008
70,70,"Johnson Wagner",83,0.142,9.651,68,"StrokesGainedPutting",2008
71,71,"Bob Estes",90,0.141,12.089,86,"StrokesGainedPutting",2008
72,72,"Shane Bertsch",96,0.136,12.263,90,"StrokesGainedPutting",2008
73,73,"Chris DiMarco",87,0.123,9.328,76,"StrokesGainedPutting",2008
74,74,"Mathew Goggin",91,0.122,9.969,82,"StrokesGainedPutting",2008
74,74,"Brandt Snedeker",85,0.122,8.172,67,"StrokesGainedPutting",2008
76,76,"Geoff Ogilvy",65,0.12,5.888,49,"StrokesGainedPutting",2008
77,77,"John Rollins",94,0.11,8.714,79,"StrokesGainedPutting",2008
78,78,"Brett Quigley",80,0.099,7.211,73,"StrokesGainedPutting",2008
79,79,"Steve Lowery",74,0.097,6.502,67,"StrokesGainedPutting",2008
80,80,"Alejandro Canizares",52,0.092,3.754,41,"StrokesGainedPutting",2008
80,80,"Lee Janzen",89,0.092,6.877,75,"StrokesGainedPutting",2008
82,82,"Camilo Villegas",79,0.091,5.737,63,"StrokesGainedPutting",2008
83,83,"Bill Haas",99,0.09,8.141,90,"StrokesGainedPutting",2008
83,83,"Bob Sowards",61,0.09,4.692,52,"StrokesGainedPutting",2008
85,85,"JJ Henry",108,0.087,8.579,99,"StrokesGainedPutting",2008
86,86,"Jimmy Walker",73,0.08,4.951,62,"StrokesGainedPutting",2008
87,87,"Tim Clark",90,0.077,5.639,73,"StrokesGainedPutting",2008
87,87,"Kenny Perry",97,0.077,7.12,92,"StrokesGainedPutting",2008
89,89,"Fred Couples",60,0.047,2.374,51,"StrokesGainedPutting",2008
90,90,"Glen Day",64,0.046,2.57,56,"StrokesGainedPutting",2008
91,91,"Matt Jones",95,0.045,3.786,84,"StrokesGainedPutting",2008
91,91,"Jerry Kelly",89,0.045,3.293,74,"StrokesGainedPutting",2008
93,93,"Zach Johnson",85,0.042,2.958,71,"StrokesGainedPutting",2008
94,94,"Paul Goydos",78,0.025,1.642,67,"StrokesGainedPutting",2008
95,95,"Ryan Armour",87,0.019,1.445,76,"StrokesGainedPutting",2008
96,96,"Martin Laird",98,0.018,1.509,85,"StrokesGainedPutting",2008
97,97,"Mark Hensby",71,0.017,1.071,64,"StrokesGainedPutting",2008
98,98,"Charlie Wi",97,0.016,1.384,88,"StrokesGainedPutting",2008
99,99,"Woody Austin",109,0.015,1.344,88,"StrokesGainedPutting",2008
99,99,"Jin Park",85,0.015,1.047,70,"StrokesGainedPutting",2008
101,101,"Tommy Armour III",77,0.014,0.952,66,"StrokesGainedPutting",2008
102,102,"Kevin Na",97,0.008,0.749,91,"StrokesGainedPutting",2008
103,103,"Andres Romero",69,0.006,0.317,49,"StrokesGainedPutting",2008
104,104,"Jason Gore",94,0.005,0.415,85,"StrokesGainedPutting",2008
105,105,"Jonathan Byrd",88,0.004,0.302,77,"StrokesGainedPutting",2008
106,106,"Michael Allen",91,0.001,0.052,78,"StrokesGainedPutting",2008
107,107,"Bart Bryant",81,-0.001,-0.052,67,"StrokesGainedPutting",2008
108,108,"Frank Lickliter II",107,-0.019,-1.85,100,"StrokesGainedPutting",2008
109,109,"Peter Lonard",92,-0.024,-1.931,80,"StrokesGainedPutting",2008
110,110,"Todd Demsey",80,-0.032,-2.278,71,"StrokesGainedPutting",2008
111,111,"Mathias Gronberg",87,-0.033,-2.579,79,"StrokesGainedPutting",2008
112,112,"Marco Dawson",64,-0.038,-2.042,54,"StrokesGainedPutting",2008
113,113,"Tag Ridings",88,-0.041,-3.304,81,"StrokesGainedPutting",2008
114,114,"Kent Jones",68,-0.043,-2.361,55,"StrokesGainedPutting",2008
115,115,"Nick Watney",96,-0.048,-4.01,84,"StrokesGainedPutting",2008
116,116,"JB Holmes",86,-0.051,-3.544,69,"StrokesGainedPutting",2008
117,117,"JP Hayes",67,-0.058,-3.635,63,"StrokesGainedPutting",2008
118,118,"Padraig Harrington",52,-0.067,-2.159,32,"StrokesGainedPutting",2008
119,119,"George McNeill",97,-0.075,-6.709,90,"StrokesGainedPutting",2008
119,119,"Tom Scherrer",56,-0.075,-3.294,44,"StrokesGainedPutting",2008
121,121,"Michael Letzig",88,-0.076,-5.642,74,"StrokesGainedPutting",2008
122,122,"Sergio Garcia",72,-0.081,-4.562,56,"StrokesGainedPutting",2008
123,123,"Brian Davis",108,-0.082,-8.323,102,"StrokesGainedPutting",2008
123,123,"Kevin Streelman",114,-0.082,-7.965,97,"StrokesGainedPutting",2008
125,125,"Davis Love III",78,-0.083,-5.427,65,"StrokesGainedPutting",2008
126,126,"YE Yang",89,-0.095,-7.61,80,"StrokesGainedPutting",2008
127,127,"Charles Howell III",101,-0.103,-8.936,87,"StrokesGainedPutting",2008
128,128,"Lucas Glover",91,-0.104,-8.657,83,"StrokesGainedPutting",2008
129,129,"Steve Flesch",95,-0.106,-8.564,81,"StrokesGainedPutting",2008
129,129,"Scott Sterling",89,-0.106,-7.859,74,"StrokesGainedPutting",2008
131,131,"Paul Claxton",63,-0.108,-5.394,50,"StrokesGainedPutting",2008
132,132,"Brandt Jobe",52,-0.11,-5.163,47,"StrokesGainedPutting",2008
133,133,"Charley Hoffman",94,-0.117,-10.104,86,"StrokesGainedPutting",2008
134,134,"Rory Sabbatini",77,-0.119,-7.489,63,"StrokesGainedPutting",2008
135,135,"Retief Goosen",59,-0.122,-5.136,42,"StrokesGainedPutting",2008
136,136,"Cliff Kresge",84,-0.126,-9.184,73,"StrokesGainedPutting",2008
137,137,"Robert Allenby",108,-0.142,-12.224,86,"StrokesGainedPutting",2008
138,138,"Bo Van Pelt",101,-0.145,-13.531,93,"StrokesGainedPutting",2008
139,139,"Troy Matteson",94,-0.148,-13.167,89,"StrokesGainedPutting",2008
140,140,"David Duval",51,-0.152,-6.231,41,"StrokesGainedPutting",2008
141,141,"Robert Garrigus",90,-0.161,-13.881,86,"StrokesGainedPutting",2008
142,142,"Rich Beem",90,-0.171,-13.473,79,"StrokesGainedPutting",2008
143,143,"Kenneth Ferrie",72,-0.174,-10.45,60,"StrokesGainedPutting",2008
144,144,"Jeff Maggert",86,-0.18,-14.235,79,"StrokesGainedPutting",2008
145,145,"David Toms",70,-0.188,-10.55,56,"StrokesGainedPutting",2008
146,146,"Tom Lehman",51,-0.191,-7.27,38,"StrokesGainedPutting",2008
147,147,"Chez Reavie",102,-0.202,-18.151,90,"StrokesGainedPutting",2008
148,148,"Sean OHair",81,-0.214,-14.575,68,"StrokesGainedPutting",2008
149,149,"Briny Baird",113,-0.23,-22.054,96,"StrokesGainedPutting",2008
150,150,"Billy Mayfair",103,-0.231,-21.9,95,"StrokesGainedPutting",2008
151,151,"Kevin Stadler",90,-0.254,-18.518,73,"StrokesGainedPutting",2008
152,152,"Angel Cabrera",55,-0.266,-10.382,39,"StrokesGainedPutting",2008
152,152,"Ron Whittaker",54,-0.266,-10.923,41,"StrokesGainedPutting",2008
154,154,"Rocco Mediate",87,-0.269,-18.551,69,"StrokesGainedPutting",2008
155,155,"Scott Verplank",82,-0.279,-18.167,65,"StrokesGainedPutting",2008
156,156,"Cameron Beckman",87,-0.284,-21.012,74,"StrokesGainedPutting",2008
156,156,"Nick Flanagan",89,-0.284,-22.724,80,"StrokesGainedPutting",2008
158,158,"Jon Mills",95,-0.286,-22.319,78,"StrokesGainedPutting",2008
159,159,"Paul Casey",55,-0.301,-10.843,36,"StrokesGainedPutting",2008
160,160,"Rod Pampling",83,-0.305,-20.709,68,"StrokesGainedPutting",2008
161,161,"Billy Andrade",71,-0.308,-19.107,62,"StrokesGainedPutting",2008
161,161,"Dustin Johnson",92,-0.308,-24.923,81,"StrokesGainedPutting",2008
163,163,"John Senden",93,-0.313,-25.638,82,"StrokesGainedPutting",2008
164,164,"Brett Rumford",72,-0.324,-19.774,61,"StrokesGainedPutting",2008
165,165,"Kyle Thompson",70,-0.327,-18.624,57,"StrokesGainedPutting",2008
166,166,"Brad Adamonis",87,-0.328,-24.94,76,"StrokesGainedPutting",2008
167,167,"Jason Allred",63,-0.336,-16.78,50,"StrokesGainedPutting",2008
168,168,"Cody Freeman",66,-0.34,-18.722,55,"StrokesGainedPutting",2008
169,169,"Jim McGovern",75,-0.371,-23.401,63,"StrokesGainedPutting",2008
170,170,"Justin Bolli",87,-0.383,-27.955,73,"StrokesGainedPutting",2008
171,171,"Bubba Watson",97,-0.385,-30.806,80,"StrokesGainedPutting",2008
172,172,"Vijay Singh",82,-0.409,-25.768,63,"StrokesGainedPutting",2008
173,173,"DJ Trahan",94,-0.411,-32.019,78,"StrokesGainedPutting",2008
174,174,"John Merrick",98,-0.413,-31.786,77,"StrokesGainedPutting",2008
175,175,"Nicholas Thompson",113,-0.414,-39.734,96,"StrokesGainedPutting",2008
176,176,"John Riegger",73,-0.419,-26.823,64,"StrokesGainedPutting",2008
177,177,"Chris Stroud",81,-0.424,-27.964,66,"StrokesGainedPutting",2008
178,178,"Olin Browne",77,-0.432,-30.221,70,"StrokesGainedPutting",2008
179,179,"Adam Scott",51,-0.434,-15.207,35,"StrokesGainedPutting",2008
180,180,"Alex Cejka",75,-0.44,-26.372,60,"StrokesGainedPutting",2008
181,181,"Heath Slocum",104,-0.445,-38.255,86,"StrokesGainedPutting",2008
182,182,"Jay Williamson",96,-0.471,-37.643,80,"StrokesGainedPutting",2008
183,183,"Will Ma Kenzie",62,-0.489,-27.882,57,"StrokesGainedPutting",2008
184,184,"Boo Weekley",86,-0.492,-31.481,64,"StrokesGainedPutting",2008
185,185,"Ernie Els",51,-0.503,-18.091,36,"StrokesGainedPutting",2008
186,186,"Omar Uresti",74,-0.515,-32.473,63,"StrokesGainedPutting",2008
187,187,"Mark Calcavecchia",67,-0.53,-28.639,54,"StrokesGainedPutting",2008
188,188,"Jeff Gove",50,-0.554,-24.354,44,"StrokesGainedPutting",2008
189,189,"Ted Purdy",68,-0.562,-33.131,59,"StrokesGainedPutting",2008
190,190,"Travis Perkins",53,-0.569,-22.754,40,"StrokesGainedPutting",2008
191,191,"Trevor Immelman",70,-0.682,-36.817,54,"StrokesGainedPutting",2008
192,192,"Robert Gamez",79,-0.899,-63.823,71,"StrokesGainedPutting",2008
193,193,"David Lutterus",59,-0.905,-45.241,50,"StrokesGainedPutting",2008
194,194,"Tommy Gainey",60,-0.918,-42.22,46,"StrokesGainedPutting",2008
195,195,"Harrison Frazar",73,-0.934,-57.895,62,"StrokesGainedPutting",2008
196,196,"Charles Warren",79,-0.944,-69.888,74,"StrokesGainedPutting",2008
197,197,"Joe Durant",92,-0.982,-77.613,79,"StrokesGainedPutting",2008
