"ConsecutiveHolesBelowPar_RANKTHISWEEK_2008","ConsecutiveHolesBelowPar_RANKLASTWEEK_2008","ConsecutiveHolesBelowPar_PLAYERNAME_2008","ConsecutiveHolesBelowPar_EVENTS_2008","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2008","stat_name","year"
1,1,"Stuart Appleby",23,6,"ConsecutiveHolesBelowPar",2008
1,1,"Aaron Baddeley",22,6,"ConsecutiveHolesBelowPar",2008
1,1,"Jim Furyk",26,6,"ConsecutiveHolesBelowPar",2008
1,1,"Lucas Glover",26,6,"ConsecutiveHolesBelowPar",2008
1,1,"Dudley Hart",22,6,"ConsecutiveHolesBelowPar",2008
1,1,"Shigeki Maruyama",18,6,"ConsecutiveHolesBelowPar",2008
1,1,"Kenny Perry",26,6,"ConsecutiveHolesBelowPar",2008
1,1,"Kevin Stadler",30,6,"ConsecutiveHolesBelowPar",2008
1,1,"Kevin Streelman",32,6,"ConsecutiveHolesBelowPar",2008
1,1,"Steve Stricker",22,6,"ConsecutiveHolesBelowPar",2008
1,1,"DJ Trahan",27,6,"ConsecutiveHolesBelowPar",2008
1,1,"Charles Warren",29,6,"ConsecutiveHolesBelowPar",2008
1,1,"Tim Wilkinson",29,6,"ConsecutiveHolesBelowPar",2008
1,1,"Garrett Willis",11,6,"ConsecutiveHolesBelowPar",2008
15,15,"Brad Adamonis",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Michael Allen",28,5,"ConsecutiveHolesBelowPar",2008
15,15,"Robert Allenby",28,5,"ConsecutiveHolesBelowPar",2008
15,15,"Tommy Armour III",25,5,"ConsecutiveHolesBelowPar",2008
15,15,"Woody Austin",30,5,"ConsecutiveHolesBelowPar",2008
15,15,"Briny Baird",30,5,"ConsecutiveHolesBelowPar",2008
15,15,"Cameron Beckman",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"KJ Choi",21,5,"ConsecutiveHolesBelowPar",2008
15,15,"Tim Clark",27,5,"ConsecutiveHolesBelowPar",2008
15,15,"Ben Crane",25,5,"ConsecutiveHolesBelowPar",2008
15,15,"Jason Dufner",16,5,"ConsecutiveHolesBelowPar",2008
15,15,"Ken Duke",33,5,"ConsecutiveHolesBelowPar",2008
15,15,"Joe Durant",28,5,"ConsecutiveHolesBelowPar",2008
15,15,"Nick Flanagan",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Robert Garrigus",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Brian Gay",31,5,"ConsecutiveHolesBelowPar",2008
15,15,"Mathew Goggin",27,5,"ConsecutiveHolesBelowPar",2008
15,15,"Nathan Green",30,5,"ConsecutiveHolesBelowPar",2008
15,15,"Tim Herron",28,5,"ConsecutiveHolesBelowPar",2008
15,15,"JB Holmes",26,5,"ConsecutiveHolesBelowPar",2008
15,15,"John Huston",18,5,"ConsecutiveHolesBelowPar",2008
15,15,"Zach Johnson",25,5,"ConsecutiveHolesBelowPar",2008
15,15,"Anthony Kim",22,5,"ConsecutiveHolesBelowPar",2008
15,15,"Matt Kuchar",27,5,"ConsecutiveHolesBelowPar",2008
15,15,"Martin Laird",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Michael Letzig",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Peter Lonard",30,5,"ConsecutiveHolesBelowPar",2008
15,15,"Davis Love III",23,5,"ConsecutiveHolesBelowPar",2008
15,15,"Hunter Mahan",27,5,"ConsecutiveHolesBelowPar",2008
15,15,"John Mallinger",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Steve Marino",32,5,"ConsecutiveHolesBelowPar",2008
15,15,"George McNeill",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Spike McRoy",4,5,"ConsecutiveHolesBelowPar",2008
15,15,"Rocco Mediate",27,5,"ConsecutiveHolesBelowPar",2008
15,15,"Geoff Ogilvy",20,5,"ConsecutiveHolesBelowPar",2008
15,15,"Ryan Palmer",22,5,"ConsecutiveHolesBelowPar",2008
15,15,"Carl Pettersson",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Brett Quigley",25,5,"ConsecutiveHolesBelowPar",2008
15,15,"Jeff Quinney",28,5,"ConsecutiveHolesBelowPar",2008
15,15,"Adam Scott",15,5,"ConsecutiveHolesBelowPar",2008
15,15,"Heath Slocum",29,5,"ConsecutiveHolesBelowPar",2008
15,15,"Nicholas Thompson",36,5,"ConsecutiveHolesBelowPar",2008
15,15,"Bob Tway",20,5,"ConsecutiveHolesBelowPar",2008
15,15,"Omar Uresti",24,5,"ConsecutiveHolesBelowPar",2008
15,15,"Camilo Villegas",22,5,"ConsecutiveHolesBelowPar",2008
15,15,"Nick Watney",27,5,"ConsecutiveHolesBelowPar",2008
15,15,"Boo Weekley",24,5,"ConsecutiveHolesBelowPar",2008
15,15,"Jay Williamson",33,5,"ConsecutiveHolesBelowPar",2008
63,63,"Steve Allan",21,4,"ConsecutiveHolesBelowPar",2008
63,63,"Jason Allred",23,4,"ConsecutiveHolesBelowPar",2008
63,63,"Billy Andrade",24,4,"ConsecutiveHolesBelowPar",2008
63,63,"Eric Axley",35,4,"ConsecutiveHolesBelowPar",2008
63,63,"Paul Azinger",9,4,"ConsecutiveHolesBelowPar",2008
63,63,"Rich Beem",29,4,"ConsecutiveHolesBelowPar",2008
