"RightRoughTendency_RANKTHISWEEK_2014","RightRoughTendency_RANKLASTWEEK_2014","RightRoughTendency_PLAYERNAME_2014","RightRoughTendency_ROUNDS_2014","RightRoughTendency_Pct_2014","RightRoughTendency_TOTALRIGHTROUGH_2014","RightRoughTendency_POSSIBLEFWYS_2014","RightRoughTendency_RELATIVETOPAR_2014","stat_name","year"
1,1,"Heath Slocum",71,9.92,86,867,0.12,"RightRoughTendency",2014
2,2,"Graeme McDowell",66,10,64,640,0.09,"RightRoughTendency",2014
3,3,"John Merrick",87,10.08,101,1002,0.11,"RightRoughTendency",2014
4,4,"Billy Hurley III",86,10.17,102,1003,0.07,"RightRoughTendency",2014
5,5,"Zach Johnson",97,10.73,126,1174,0.16,"RightRoughTendency",2014
6,6,"Justin Hicks",103,10.77,135,1253,0.02,"RightRoughTendency",2014
7,7,"Robert Allenby",83,10.88,105,965,0.15,"RightRoughTendency",2014
8,8,"Tim Clark",75,10.9,94,862,0.16,"RightRoughTendency",2014
9,9,"Brandt Snedeker",89,11.05,101,914,0.08,"RightRoughTendency",2014
10,10,"Billy Horschel",92,11.11,107,963,0.15,"RightRoughTendency",2014
11,11,"Ryan Moore",86,11.16,97,869,0.04,"RightRoughTendency",2014
12,12,"Matt Kuchar",91,11.17,118,1056,0.05,"RightRoughTendency",2014
13,13,"Jim Furyk",84,11.44,105,918,0.13,"RightRoughTendency",2014
14,14,"Henrik Stenson",56,11.6,61,526,0.03,"RightRoughTendency",2014
14,14,"David Toms",64,11.6,87,750,0.1,"RightRoughTendency",2014
16,16,"Brian Davis",93,11.67,131,1123,0.01,"RightRoughTendency",2014
17,17,"Scott Brown",100,11.81,137,1160,0.14,"RightRoughTendency",2014
18,18,"Brendon de Jonge",109,11.82,151,1277,0.21,"RightRoughTendency",2014
19,19,"Nicholas Thompson",85,11.87,115,969,0.17,"RightRoughTendency",2014
20,20,"Kevin Chappell",100,11.93,143,1199,0.06,"RightRoughTendency",2014
21,21,"Shawn Stefani",60,11.98,95,793,0.09,"RightRoughTendency",2014
22,22,"Ken Duke",80,12.05,111,921,0.14,"RightRoughTendency",2014
23,23,"JJ Henry",91,12.06,130,1078,0.15,"RightRoughTendency",2014
24,24,"Luke Donald",57,12.21,74,606,0.22,"RightRoughTendency",2014
25,25,"Danny Lee",84,12.24,117,956,0.12,"RightRoughTendency",2014
26,26,"Matt Every",85,12.29,109,887,0.07,"RightRoughTendency",2014
27,27,"Boo Weekley",73,12.36,97,785,0.11,"RightRoughTendency",2014
28,28,"Cameron Tringale",111,12.39,168,1356,0.08,"RightRoughTendency",2014
29,29,"KJ Choi",80,12.43,115,925,0.1,"RightRoughTendency",2014
30,30,"Ted Potter Jr",68,12.47,104,834,0.08,"RightRoughTendency",2014
31,31,"Lucas Glover",68,12.48,81,649,0.19,"RightRoughTendency",2014
32,32,"Kevin Streelman",79,12.56,105,836,0.21,"RightRoughTendency",2014
33,33,"Jason Bohn",81,12.57,127,1010,0.08,"RightRoughTendency",2014
33,33,"Bo Van Pelt",83,12.57,117,931,0.12,"RightRoughTendency",2014
35,35,"Spencer Levin",59,12.59,87,691,0.15,"RightRoughTendency",2014
36,36,"Ben Martin",80,12.69,111,875,0.07,"RightRoughTendency",2014
36,36,"Chris Stroud",88,12.69,127,1001,0.12,"RightRoughTendency",2014
38,38,"YE Yang",79,12.72,107,841,0.07,"RightRoughTendency",2014
39,39,"Davis Love III",74,12.76,110,862,0.05,"RightRoughTendency",2014
40,40,"Louis Oosthuizen",50,12.77,53,415,0.17,"RightRoughTendency",2014
41,41,"Kevin Stadler",90,12.82,116,905,0.05,"RightRoughTendency",2014
42,42,"John Peterson",62,12.83,98,764,0.08,"RightRoughTendency",2014
43,43,"Brian Stuard",91,12.84,132,1028,0.01,"RightRoughTendency",2014
44,44,"Bud Cauley",56,12.85,82,638,0.06,"RightRoughTendency",2014
45,45,"Daniel Summerhays",98,12.89,158,1226,-0.05,"RightRoughTendency",2014
46,46,"Jeff Maggert",54,12.91,79,612,0.05,"RightRoughTendency",2014
47,47,"William McGirt",96,12.93,151,1168,0.1,"RightRoughTendency",2014
48,48,"Andrew Svoboda",77,12.96,119,918,0.16,"RightRoughTendency",2014
49,49,"Briny Baird",50,12.98,81,624,0.12,"RightRoughTendency",2014
50,50,"Michael Thompson",74,13.03,108,829,0.15,"RightRoughTendency",2014
51,51,"Jerry Kelly",80,13.1,120,916,0.16,"RightRoughTendency",2014
52,52,"Ben Crane",81,13.17,142,1078,0.21,"RightRoughTendency",2014
53,53,"Graham DeLaet",80,13.22,117,885,0.06,"RightRoughTendency",2014
54,54,"David Hearn",97,13.23,150,1134,0.17,"RightRoughTendency",2014
55,55,"Chris Kirk",105,13.26,159,1199,0.06,"RightRoughTendency",2014
55,55,"Webb Simpson",87,13.26,136,1026,0.02,"RightRoughTendency",2014
57,57,"Robert Streb",75,13.3,118,887,0.03,"RightRoughTendency",2014
58,58,"Russell Knox",92,13.33,154,1155,0.1,"RightRoughTendency",2014
59,59,"Jim Renner",61,13.41,96,716,0.32,"RightRoughTendency",2014
60,60,"Ben Curtis",77,13.45,119,885,0.15,"RightRoughTendency",2014
61,61,"DA Points",75,13.5,103,763,0.17,"RightRoughTendency",2014
62,62,"Roberto Castro",76,13.56,110,811,0.17,"RightRoughTendency",2014
63,63,"Camilo Villegas",95,13.58,157,1156,0.11,"RightRoughTendency",2014
64,64,"Chesson Hadley",84,13.62,134,984,0.12,"RightRoughTendency",2014
65,65,"Woody Austin",63,13.64,108,792,0.22,"RightRoughTendency",2014
66,66,"Russell Henley",92,13.65,142,1040,0.07,"RightRoughTendency",2014
67,67,"Martin Laird",66,13.71,105,766,0.22,"RightRoughTendency",2014
68,68,"Brian Harman",111,13.83,194,1403,0.08,"RightRoughTendency",2014
69,69,"John Huh",87,13.85,135,975,0.14,"RightRoughTendency",2014
70,70,"Derek Ernst",80,13.88,122,879,0.2,"RightRoughTendency",2014
71,71,"Keegan Bradley",89,13.9,129,928,0.04,"RightRoughTendency",2014
72,72,"Phil Mickelson",71,14.06,97,690,0,"RightRoughTendency",2014
73,73,"Tyrone Van Aswegen",79,14.11,125,886,0.16,"RightRoughTendency",2014
74,74,"Will Ma Kenzie",82,14.12,142,1006,0.11,"RightRoughTendency",2014
75,75,"John Senden",99,14.17,159,1122,0.17,"RightRoughTendency",2014
76,76,"DH Lee",54,14.22,89,626,0.15,"RightRoughTendency",2014
77,77,"Chad Campbell",57,14.33,92,642,0.14,"RightRoughTendency",2014
78,78,"Steven Bowditch",93,14.34,154,1074,0.16,"RightRoughTendency",2014
79,79,"Bill Haas",107,14.35,162,1129,0.1,"RightRoughTendency",2014
80,80,"Hudson Swafford",75,14.36,115,801,0.25,"RightRoughTendency",2014
81,81,"Erik Compton",88,14.38,148,1029,0.07,"RightRoughTendency",2014
81,81,"Kevin Na",94,14.38,155,1078,0.04,"RightRoughTendency",2014
