"Last5EventsPutting_RANKTHISWEEK_2009","Last5EventsPutting_RANKLASTWEEK_2009","Last5EventsPutting_PLAYERNAME_2009","Last5EventsPutting_EVENTS_2009","Last5EventsPutting_RATING_2009","stat_name","year"
1,1,"Todd Fischer",1,9.4,"Last5EventsPutting",2009
2,2,"George McNeill",2,9.1,"Last5EventsPutting",2009
3,3,"Aaron Baddeley",2,9,"Last5EventsPutting",2009
4,4,"Mathias Gronberg",2,8.9,"Last5EventsPutting",2009
4,4,"Wen Tang Lin",1,8.9,"Last5EventsPutting",2009
4,4,"Martin Piller",1,8.9,"Last5EventsPutting",2009
4,4,"Jimmy Walker",2,8.9,"Last5EventsPutting",2009
8,8,"Nick Dougherty",1,8.8,"Last5EventsPutting",2009
8,8,"Todd Hamilton",1,8.8,"Last5EventsPutting",2009
10,10,"Ronnie Black",2,8.7,"Last5EventsPutting",2009
10,10,"Wil Collins",1,8.7,"Last5EventsPutting",2009
10,10,"Richard Finch",1,8.7,"Last5EventsPutting",2009
10,10,"Bob Heintz",4,8.7,"Last5EventsPutting",2009
10,10,"Miguel Angel Jimenez",1,8.7,"Last5EventsPutting",2009
10,10,"Matt Kuchar",3,8.7,"Last5EventsPutting",2009
10,10,"Jesper Parnevik",1,8.7,"Last5EventsPutting",2009
10,10,"Loren Roberts",2,8.7,"Last5EventsPutting",2009
10,10,"Omar Uresti",1,8.7,"Last5EventsPutting",2009
10,10,"Charlie Wi",2,8.7,"Last5EventsPutting",2009
20,20,"Pat Perez",3,8.6,"Last5EventsPutting",2009
21,21,"Thomas Aiken",1,8.5,"Last5EventsPutting",2009
21,26,"Tim Clark",3,8.5,"Last5EventsPutting",2009
21,21,"Greg Kraft",1,8.5,"Last5EventsPutting",2009
21,21,"Shigeki Maruyama",1,8.5,"Last5EventsPutting",2009
21,21,"Jose Maria Olazabal",3,8.5,"Last5EventsPutting",2009
21,21,"Michael Sim",1,8.5,"Last5EventsPutting",2009
27,26,"Michael Allen",2,8.4,"Last5EventsPutting",2009
27,26,"Daniel Chopra",4,8.4,"Last5EventsPutting",2009
27,26,"Jamie Lovemark",2,8.4,"Last5EventsPutting",2009
27,26,"Rocco Mediate",2,8.4,"Last5EventsPutting",2009
