"TenthTeeLatePar4ScoringAverage_RANKTHISWEEK_2010","TenthTeeLatePar4ScoringAverage_RANKLASTWEEK_2010","TenthTeeLatePar4ScoringAverage_PLAYERNAME_2010","TenthTeeLatePar4ScoringAverage_ROUNDS_2010","TenthTeeLatePar4ScoringAverage_AVG_2010","TenthTeeLatePar4ScoringAverage_TOTALSTROKES_2010","TenthTeeLatePar4ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Phil Mickelson",76,3.84,119,31,"TenthTeeLatePar4ScoringAverage",2010
2,2,"Joe Durant",67,3.87,678,175,"TenthTeeLatePar4ScoringAverage",2010
3,3,"Ernie Els",72,3.91,168,43,"TenthTeeLatePar4ScoringAverage",2010
3,3,"Charley Hoffman",85,3.91,548,140,"TenthTeeLatePar4ScoringAverage",2010
3,3,"Shaun Micheel",70,3.91,496,127,"TenthTeeLatePar4ScoringAverage",2010
3,3,"Bryce Molder",84,3.91,614,157,"TenthTeeLatePar4ScoringAverage",2010
7,7,"Paul Casey",64,3.94,303,77,"TenthTeeLatePar4ScoringAverage",2010
7,7,"Dustin Johnson",83,3.94,335,85,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Blake Adams",84,3.95,770,195,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Robert Allenby",76,3.95,383,97,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Jason Bohn",84,3.95,593,150,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Jason Day",82,3.95,549,139,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Brendon de Jonge",114,3.95,738,187,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Retief Goosen",75,3.95,300,76,"TenthTeeLatePar4ScoringAverage",2010
9,9,"John Rollins",81,3.95,647,164,"TenthTeeLatePar4ScoringAverage",2010
9,9,"Dean Wilson",54,3.95,261,66,"TenthTeeLatePar4ScoringAverage",2010
17,17,"Steve Elkington",74,3.96,546,138,"TenthTeeLatePar4ScoringAverage",2010
17,17,"Billy Mayfair",78,3.96,911,230,"TenthTeeLatePar4ScoringAverage",2010
19,19,"Jonathan Byrd",85,3.97,698,176,"TenthTeeLatePar4ScoringAverage",2010
19,19,"Michael Connell",89,3.97,690,174,"TenthTeeLatePar4ScoringAverage",2010
19,19,"Ben Crane",85,3.97,608,153,"TenthTeeLatePar4ScoringAverage",2010
19,19,"Bill Haas",87,3.97,691,174,"TenthTeeLatePar4ScoringAverage",2010
19,19,"Ryan Palmer",84,3.97,623,157,"TenthTeeLatePar4ScoringAverage",2010
19,19,"Kenny Perry",69,3.97,345,87,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Chad Campbell",95,3.98,652,164,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Ben Curtis",78,3.98,637,160,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Jeff Gove",57,3.98,509,128,"TenthTeeLatePar4ScoringAverage",2010
25,25,"JB Holmes",100,3.98,625,157,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Charles Howell III",103,3.98,640,161,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Carl Pettersson",99,3.98,900,226,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Heath Slocum",97,3.98,521,131,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Bo Van Pelt",104,3.98,477,120,"TenthTeeLatePar4ScoringAverage",2010
25,25,"Nick Watney",91,3.98,430,108,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Chris Couch",66,3.99,726,182,"TenthTeeLatePar4ScoringAverage",2010
34,34,"JP Hayes",79,3.99,347,87,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Andrew McLardy",52,3.99,683,171,"TenthTeeLatePar4ScoringAverage",2010
34,34,"George McNeill",79,3.99,471,118,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Geoff Ogilvy",62,3.99,291,73,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Pat Perez",90,3.99,651,163,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Jeff Quinney",91,3.99,771,193,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Brandt Snedeker",89,3.99,599,150,"TenthTeeLatePar4ScoringAverage",2010
34,34,"Chris Stroud",90,3.99,627,157,"TenthTeeLatePar4ScoringAverage",2010
43,43,"Ricky Barnes",103,4,937,234,"TenthTeeLatePar4ScoringAverage",2010
43,43,"Alex Cejka",81,4,600,150,"TenthTeeLatePar4ScoringAverage",2010
43,43,"DA Points",90,4,548,137,"TenthTeeLatePar4ScoringAverage",2010
43,43,"Brett Quigley",96,4,604,151,"TenthTeeLatePar4ScoringAverage",2010
43,43,"Andres Romero",73,4,428,107,"TenthTeeLatePar4ScoringAverage",2010
