"BallStriking_RANKTHISWEEK_2007","BallStriking_RANKLASTWEEK_2007","BallStriking_PLAYERNAME_2007","BallStriking_ROUNDS_2007","BallStriking_VALUE_2007","BallStriking_TOTALDRVRANK_2007","BallStriking_GIRRANK_2007","stat_name","year"
1,1,"Cameron Beckman",96,10,6,4,"BallStriking",2007
2,2,"John Senden",97,11,9,2,"BallStriking",2007
3,3,"Mathew Goggin",97,13,2,11,"BallStriking",2007
4,4,"Charles Warren",101,15,1,14,"BallStriking",2007
5,5,"Briny Baird",115,21,13,8,"BallStriking",2007
6,6,"Alex Cejka",80,22,16,6,"BallStriking",2007
7,7,"Jeff Overton",60,24,14,10,"BallStriking",2007
8,8,"Kenny Perry",83,25,5,20,"BallStriking",2007
9,9,"Sean OHair",98,31,8,23,"BallStriking",2007
10,10,"Hunter Mahan",91,32,3,29,"BallStriking",2007
11,11,"Greg Owen",81,33,16,17,"BallStriking",2007
12,12,"Jeff Gove",103,35,32,3,"BallStriking",2007
13,13,"DJ Trahan",99,37,10,27,"BallStriking",2007
14,14,"Joe Durant",88,38,26,12,"BallStriking",2007
14,14,"Billy Mayfair",98,38,20,18,"BallStriking",2007
16,16,"Tommy Armour III",81,40,35,5,"BallStriking",2007
17,17,"Jay Williamson",50,44,4,40,"BallStriking",2007
18,18,"Ted Purdy",102,45,24,21,"BallStriking",2007
19,19,"Tiger Woods",63,46,45,1,"BallStriking",2007
20,20,"John Merrick",92,50,41,9,"BallStriking",2007
21,21,"Robert Allenby",90,52,37,15,"BallStriking",2007
21,21,"Kent Jones",97,52,25,27,"BallStriking",2007
23,23,"Michael Allen",74,61,29,32,"BallStriking",2007
24,24,"Jim Furyk",84,62,56,6,"BallStriking",2007
24,24,"JJ Henry",86,62,32,30,"BallStriking",2007
26,26,"Lucas Glover",98,64,20,44,"BallStriking",2007
27,27,"Bill Haas",93,65,12,53,"BallStriking",2007
27,27,"Boo Weekley",101,65,11,54,"BallStriking",2007
29,29,"Nick Watney",87,66,31,35,"BallStriking",2007
30,30,"Jason Gore",86,71,7,64,"BallStriking",2007
30,30,"Chris Stroud",66,71,22,49,"BallStriking",2007
32,32,"Craig Barlow",52,80,58,22,"BallStriking",2007
33,33,"Ryan Armour",107,81,40,41,"BallStriking",2007
34,34,"Bo Van Pelt",104,86,49,37,"BallStriking",2007
35,35,"Ken Duke",112,88,26,62,"BallStriking",2007
36,36,"Steve Lowery",74,91,50,41,"BallStriking",2007
37,37,"Steve Marino",106,96,46,50,"BallStriking",2007
37,37,"Charlie Wi",90,96,58,38,"BallStriking",2007
39,39,"Jeff Brehaut",59,98,19,79,"BallStriking",2007
39,39,"Duffy Waldorf",69,98,72,26,"BallStriking",2007
41,41,"Joey Sindelar",75,100,70,30,"BallStriking",2007
42,42,"Matt Hendrix",63,101,15,86,"BallStriking",2007
43,43,"Anthony Kim",93,102,29,73,"BallStriking",2007
43,43,"Heath Slocum",101,102,66,36,"BallStriking",2007
45,45,"Brett Wetterich",88,104,61,43,"BallStriking",2007
46,46,"Bart Bryant",87,108,69,39,"BallStriking",2007
47,47,"Camilo Villegas",82,109,50,59,"BallStriking",2007
48,48,"Daisuke Maruyama",86,110,22,88,"BallStriking",2007
49,49,"Shaun Micheel",91,113,61,52,"BallStriking",2007
50,50,"Pat Perez",84,115,47,68,"BallStriking",2007
51,51,"Ryan Moore",92,116,56,60,"BallStriking",2007
52,52,"Peter Lonard",85,118,18,100,"BallStriking",2007
53,53,"Darron Stiles",65,119,48,71,"BallStriking",2007
54,54,"Robert Garrigus",95,123,98,25,"BallStriking",2007
55,55,"Tom Byrum",50,129,53,76,"BallStriking",2007
56,56,"Michael Putnam",96,130,106,24,"BallStriking",2007
57,57,"Steve Allan",63,134,39,95,"BallStriking",2007
58,58,"David Branshaw",83,135,38,97,"BallStriking",2007
59,59,"Will Ma Kenzie",100,136,89,47,"BallStriking",2007
60,60,"Robert Gamez",88,138,81,57,"BallStriking",2007
60,60,"Adam Scott",69,138,66,72,"BallStriking",2007
62,62,"Jim Rutledge",59,145,26,119,"BallStriking",2007
63,63,"Rich Beem",89,147,35,112,"BallStriking",2007
63,63,"Jeff Maggert",79,147,114,33,"BallStriking",2007
