"TenthTeeLateScoringAverage_RANKTHISWEEK_2015","TenthTeeLateScoringAverage_RANKLASTWEEK_2015","TenthTeeLateScoringAverage_PLAYERNAME_2015","TenthTeeLateScoringAverage_ROUNDS_2015","TenthTeeLateScoringAverage_AVG_2015","TenthTeeLateScoringAverage_TOTALSTROKES_2015","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2015","stat_name","year"
1,1,"Patrick Reed",103,67,134,2,"TenthTeeLateScoringAverage",2015
2,2,"Dustin Johnson",75,67.5,135,2,"TenthTeeLateScoringAverage",2015
3,3,"Justin Rose",69,68,136,2,"TenthTeeLateScoringAverage",2015
4,4,"Francesco Molinari",56,68.2,341,5,"TenthTeeLateScoringAverage",2015
5,5,"Matt Kuchar",97,68.25,273,4,"TenthTeeLateScoringAverage",2015
6,6,"Justin Thomas",106,68.35,1162,17,"TenthTeeLateScoringAverage",2015
7,7,"Jordan Spieth",91,68.5,137,2,"TenthTeeLateScoringAverage",2015
8,8,"JB Holmes",89,68.83,826,12,"TenthTeeLateScoringAverage",2015
9,9,"Graham DeLaet",65,68.89,620,9,"TenthTeeLateScoringAverage",2015
10,10,"Rickie Fowler",76,69,276,4,"TenthTeeLateScoringAverage",2015
10,10,"Brooks Koepka",84,69,276,4,"TenthTeeLateScoringAverage",2015
12,12,"Johnson Wagner",68,69.2,346,5,"TenthTeeLateScoringAverage",2015
13,13,"Brendon de Jonge",106,69.25,1108,16,"TenthTeeLateScoringAverage",2015
13,13,"Martin Laird",77,69.25,831,12,"TenthTeeLateScoringAverage",2015
15,15,"Danny Lee",120,69.37,1318,19,"TenthTeeLateScoringAverage",2015
16,16,"Harris English",105,69.54,904,13,"TenthTeeLateScoringAverage",2015
17,17,"Brian Harman",90,69.58,1322,19,"TenthTeeLateScoringAverage",2015
18,18,"Chad Collins",79,69.6,1044,15,"TenthTeeLateScoringAverage",2015
19,19,"Ryan Palmer",80,69.62,905,13,"TenthTeeLateScoringAverage",2015
20,20,"Jason Bohn",95,69.69,1115,16,"TenthTeeLateScoringAverage",2015
21,21,"Morgan Hoffmann",85,69.7,697,10,"TenthTeeLateScoringAverage",2015
22,22,"Martin Flores",95,69.72,1255,18,"TenthTeeLateScoringAverage",2015
23,23,"Kevin Na",98,69.77,907,13,"TenthTeeLateScoringAverage",2015
24,24,"Jason Kokrak",88,69.8,1047,15,"TenthTeeLateScoringAverage",2015
25,25,"Gonzalo Fdez Castano",81,69.83,1257,18,"TenthTeeLateScoringAverage",2015
25,25,"Daniel Summerhays",101,69.83,1257,18,"TenthTeeLateScoringAverage",2015
27,27,"Scott Piercy",90,69.84,1327,19,"TenthTeeLateScoringAverage",2015
28,28,"Hudson Swafford",97,69.88,1118,16,"TenthTeeLateScoringAverage",2015
29,29,"Scott Brown",97,69.89,1957,28,"TenthTeeLateScoringAverage",2015
29,29,"JJ Henry",94,69.89,1328,19,"TenthTeeLateScoringAverage",2015
29,29,"Matt Jones",89,69.89,1328,19,"TenthTeeLateScoringAverage",2015
32,32,"Will Wilcox",58,69.9,699,10,"TenthTeeLateScoringAverage",2015
33,33,"Rory Sabbatini",81,69.91,1538,22,"TenthTeeLateScoringAverage",2015
34,34,"Chris Kirk",76,69.93,1049,15,"TenthTeeLateScoringAverage",2015
35,35,"David Lingmerth",90,69.96,1679,24,"TenthTeeLateScoringAverage",2015
36,36,"Sergio Garcia",59,70,140,2,"TenthTeeLateScoringAverage",2015
36,36,"Phil Mickelson",70,70,210,3,"TenthTeeLateScoringAverage",2015
36,36,"Vijay Singh",78,70,1260,18,"TenthTeeLateScoringAverage",2015
39,39,"Kyle Reifers",96,70.04,1681,24,"TenthTeeLateScoringAverage",2015
40,40,"Chesson Hadley",101,70.05,1401,20,"TenthTeeLateScoringAverage",2015
40,40,"Carl Pettersson",106,70.05,1471,21,"TenthTeeLateScoringAverage",2015
40,40,"Jhonattan Vegas",90,70.05,1331,19,"TenthTeeLateScoringAverage",2015
43,43,"David Hearn",97,70.06,1261,18,"TenthTeeLateScoringAverage",2015
44,44,"Paul Casey",87,70.09,771,11,"TenthTeeLateScoringAverage",2015
45,45,"Brendon Todd",96,70.11,1262,18,"TenthTeeLateScoringAverage",2015
46,46,"Whee Kim",71,70.12,1192,17,"TenthTeeLateScoringAverage",2015
47,47,"Jeff Overton",94,70.13,561,8,"TenthTeeLateScoringAverage",2015
47,47,"Chez Reavie",56,70.13,561,8,"TenthTeeLateScoringAverage",2015
49,49,"Robert Streb",110,70.15,912,13,"TenthTeeLateScoringAverage",2015
50,50,"Justin Leonard",61,70.17,842,12,"TenthTeeLateScoringAverage",2015
50,50,"Brendan Steele",88,70.17,842,12,"TenthTeeLateScoringAverage",2015
52,52,"Jonathan Byrd",69,70.2,702,10,"TenthTeeLateScoringAverage",2015
52,52,"Kevin Streelman",95,70.2,1404,20,"TenthTeeLateScoringAverage",2015
54,54,"Colt Knost",90,70.25,1124,16,"TenthTeeLateScoringAverage",2015
55,55,"Blayne Barber",76,70.26,1335,19,"TenthTeeLateScoringAverage",2015
56,56,"John Huh",102,70.27,1546,22,"TenthTeeLateScoringAverage",2015
56,56,"Ryan Moore",81,70.27,1054,15,"TenthTeeLateScoringAverage",2015
