"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2015","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2015","AverageDistanceofEagleputtsmade_PLAYERNAME_2015","AverageDistanceofEagleputtsmade_ROUNDS_2015","AverageDistanceofEagleputtsmade_AVG_2015","AverageDistanceofEagleputtsmade_TOTDISTFT_2015","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2015","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2015","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2015","stat_name","year"
1,1,"Ben Martin",93,NA,46.417,1,46,46,"AverageDistanceofEagleputtsmade",2015
2,2,"Brian Harman",90,NA,91.917,2,61,31,"AverageDistanceofEagleputtsmade",2015
3,3,"John Merrick",78,NA,76.25,2,68,9,"AverageDistanceofEagleputtsmade",2015
4,4,"Hunter Mahan",88,NA,114.167,3,69,22,"AverageDistanceofEagleputtsmade",2015
5,5,"Jim Herman",88,NA,99,3,47,18,"AverageDistanceofEagleputtsmade",2015
6,6,"Patrick Reed",103,NA,32.583,1,33,33,"AverageDistanceofEagleputtsmade",2015
7,7,"James Hahn",94,NA,144.5,5,51,9,"AverageDistanceofEagleputtsmade",2015
8,8,"Bill Haas",89,NA,140.667,5,68,7,"AverageDistanceofEagleputtsmade",2015
9,9,"Rickie Fowler",76,NA,136.333,5,81,2,"AverageDistanceofEagleputtsmade",2015
10,10,"Derek Ernst",75,NA,107.75,4,41,16,"AverageDistanceofEagleputtsmade",2015
11,11,"Will Wilcox",58,NA,132.083,5,62,4,"AverageDistanceofEagleputtsmade",2015
12,12,"Chesson Hadley",101,NA,181.5,7,71,4,"AverageDistanceofEagleputtsmade",2015
13,13,"John Huh",102,NA,150.417,6,77,7,"AverageDistanceofEagleputtsmade",2015
14,14,"Colt Knost",90,NA,75.083,3,33,12,"AverageDistanceofEagleputtsmade",2015
15,15,"Brendon de Jonge",106,NA,72.167,3,34,14,"AverageDistanceofEagleputtsmade",2015
16,16,"Dustin Johnson",75,NA,142.75,6,51,2,"AverageDistanceofEagleputtsmade",2015
17,17,"Cameron Tringale",96,NA,47.5,2,24,23,"AverageDistanceofEagleputtsmade",2015
18,18,"Angel Cabrera",53,NA,93.167,4,58,4,"AverageDistanceofEagleputtsmade",2015
19,19,"SJ Park",79,NA,46.25,2,37,9,"AverageDistanceofEagleputtsmade",2015
20,20,"Greg Chalmers",58,NA,22.917,1,23,23,"AverageDistanceofEagleputtsmade",2015
21,21,"Patrick Rodgers",57,NA,68.5,3,25,20,"AverageDistanceofEagleputtsmade",2015
21,21,"Lee Westwood",56,NA,22.833,1,23,23,"AverageDistanceofEagleputtsmade",2015
23,23,"Daniel Berger",97,NA,68,3,39,5,"AverageDistanceofEagleputtsmade",2015
24,24,"Zac Blair",108,NA,45.167,2,41,4,"AverageDistanceofEagleputtsmade",2015
24,24,"Kevin Na",98,NA,22.583,1,23,23,"AverageDistanceofEagleputtsmade",2015
26,26,"Cameron Percy",72,NA,135,6,73,3,"AverageDistanceofEagleputtsmade",2015
27,27,"Jason Dufner",76,NA,111.25,5,60,5,"AverageDistanceofEagleputtsmade",2015
27,27,"Alex Prugh",84,NA,66.833,3,45,8,"AverageDistanceofEagleputtsmade",2015
29,29,"Greg Owen",58,NA,44.167,2,26,18,"AverageDistanceofEagleputtsmade",2015
29,29,"Justin Thomas",106,NA,220.5,10,88,NA,"AverageDistanceofEagleputtsmade",2015
31,31,"George McNeill",93,NA,131.083,6,42,3,"AverageDistanceofEagleputtsmade",2015
32,32,"Hideki Matsuyama",95,NA,149.667,7,65,3,"AverageDistanceofEagleputtsmade",2015
33,33,"Sangmoon Bae",98,NA,106,5,35,6,"AverageDistanceofEagleputtsmade",2015
33,33,"Hudson Swafford",97,NA,105.917,5,32,5,"AverageDistanceofEagleputtsmade",2015
35,35,"Nicholas Thompson",90,NA,82.667,4,30,10,"AverageDistanceofEagleputtsmade",2015
36,36,"Billy Horschel",99,NA,123.5,6,44,5,"AverageDistanceofEagleputtsmade",2015
37,37,"Jerry Kelly",79,NA,40.917,2,36,5,"AverageDistanceofEagleputtsmade",2015
38,38,"Mark Hubbard",79,NA,20.417,1,20,20,"AverageDistanceofEagleputtsmade",2015
38,38,"Tim Wilkinson",73,NA,20.417,1,20,20,"AverageDistanceofEagleputtsmade",2015
40,40,"Seung Yul Noh",65,NA,81.417,4,45,8,"AverageDistanceofEagleputtsmade",2015
41,41,"Eric Axley",57,NA,40.5,2,37,3,"AverageDistanceofEagleputtsmade",2015
41,41,"Matt Jones",89,NA,121.333,6,58,7,"AverageDistanceofEagleputtsmade",2015
41,41,"Sean OHair",86,NA,121.667,6,43,7,"AverageDistanceofEagleputtsmade",2015
44,44,"David Lingmerth",90,NA,60.167,3,30,5,"AverageDistanceofEagleputtsmade",2015
45,45,"John Senden",80,NA,57.25,3,39,6,"AverageDistanceofEagleputtsmade",2015
46,46,"Ken Duke",93,NA,75.917,4,33,2,"AverageDistanceofEagleputtsmade",2015
47,47,"Pat Perez",96,NA,37.833,2,24,14,"AverageDistanceofEagleputtsmade",2015
48,48,"Sergio Garcia",59,NA,37.5,2,29,8,"AverageDistanceofEagleputtsmade",2015
49,49,"Daniel Summerhays",101,NA,92.917,5,45,6,"AverageDistanceofEagleputtsmade",2015
50,50,"David Hearn",97,NA,18.417,1,18,18,"AverageDistanceofEagleputtsmade",2015
51,51,"Martin Laird",77,NA,110.167,6,37,5,"AverageDistanceofEagleputtsmade",2015
52,52,"Ryan Moore",81,NA,72.5,4,34,5,"AverageDistanceofEagleputtsmade",2015
53,53,"Robert Streb",110,NA,71.583,4,48,3,"AverageDistanceofEagleputtsmade",2015
54,54,"Henrik Stenson",63,NA,106.25,6,24,10,"AverageDistanceofEagleputtsmade",2015
54,54,"Nick Taylor",91,NA,53.25,3,26,11,"AverageDistanceofEagleputtsmade",2015
