"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2011","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2011","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2011","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2011","ofPotentialPtswonFedExCupRegularSeason_Pct_2011","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2011","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2011","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2011","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2011","stat_name","year"
1,1,"John Cook",1,38,95,250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2011
2,2,"Luke Donald",19,28.77,1856,6450,1,10,"ofPotentialPtswonFedExCupRegularSeason",2011
3,3,"Steve Stricker",19,26.84,1865,6950,2,5,"ofPotentialPtswonFedExCupRegularSeason",2011
4,4,"Nick Watney",22,23.97,1906,7950,2,8,"ofPotentialPtswonFedExCupRegularSeason",2011
5,5,"Adam Scott",18,20.65,1332,6450,1,5,"ofPotentialPtswonFedExCupRegularSeason",2011
6,6,"Webb Simpson",26,20.23,1861,9200,1,7,"ofPotentialPtswonFedExCupRegularSeason",2011
7,7,"Phil Mickelson",21,20.14,1601,7950,1,5,"ofPotentialPtswonFedExCupRegularSeason",2011
8,8,"Charl Schwartzel",15,19.92,1185,5950,1,3,"ofPotentialPtswonFedExCupRegularSeason",2011
9,9,"KJ Choi",22,18.95,1601,8450,1,6,"ofPotentialPtswonFedExCupRegularSeason",2011
10,10,"Bubba Watson",22,18.77,1577,8400,2,3,"ofPotentialPtswonFedExCupRegularSeason",2011
11,11,"David Toms",23,17.88,1538,8600,1,6,"ofPotentialPtswonFedExCupRegularSeason",2011
12,12,"Jason Day",21,16.45,1308,7950,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2011
13,13,"Matt Kuchar",24,15.72,1407,8950,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2011
14,14,"Gary Woodland",25,15.68,1466,9350,1,6,"ofPotentialPtswonFedExCupRegularSeason",2011
15,15,"Dustin Johnson",21,14.98,1191,7950,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2011
16,16,"Mark Wilson",26,14.68,1461,9950,2,4,"ofPotentialPtswonFedExCupRegularSeason",2011
17,17,"Aaron Baddeley",22,14.49,1181,8150,1,4,"ofPotentialPtswonFedExCupRegularSeason",2011
18,18,"Martin Laird",23,13.79,1234,8950,1,6,"ofPotentialPtswonFedExCupRegularSeason",2011
19,19,"Tim Clark",4,13.57,299,2200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2011
20,20,"Keegan Bradley",28,13.51,1621,12000,2,4,"ofPotentialPtswonFedExCupRegularSeason",2011
21,21,"Freddie Jacobson",25,13.35,1235,9250,1,3,"ofPotentialPtswonFedExCupRegularSeason",2011
22,22,"Jason Dufner",23,13.14,1143,8700,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2011
23,23,"Rory Sabbatini",24,12.84,1175,9150,1,3,"ofPotentialPtswonFedExCupRegularSeason",2011
24,24,"Brandt Snedeker",26,12.46,1227,9850,1,5,"ofPotentialPtswonFedExCupRegularSeason",2011
25,25,"YE Yang",18,12.4,799,6450,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2011
26,26,"Jonathan Byrd",26,12.33,1165,9450,1,4,"ofPotentialPtswonFedExCupRegularSeason",2011
27,27,"Bill Haas",26,12.18,1273,10450,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2011
28,28,"Hunter Mahan",25,11.92,1186,9950,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2011
29,29,"Robert Karlsson",18,11.36,789,6950,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
30,30,"Sergio Garcia",16,11.31,662,5850,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
31,31,"Rickie Fowler",24,10.99,1038,9450,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2011
32,32,"Zach Johnson",23,10.75,962,8950,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2011
33,33,"Ryan Moore",22,10.45,883,8450,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
34,34,"George McNeill",21,10.28,694,6750,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2011
35,35,"DA Points",26,10.14,1055,10400,1,3,"ofPotentialPtswonFedExCupRegularSeason",2011
36,36,"Charles Howell III",30,9.93,1137,11450,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2011
37,37,"Lucas Glover",23,9.89,875,8850,1,1,"ofPotentialPtswonFedExCupRegularSeason",2011
38,38,"Ryan Palmer",24,9.59,902,9400,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
39,39,"Steve Marino",23,9.54,935,9800,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
40,40,"Justin Rose",23,9.42,796,8450,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
41,41,"Harrison Frazar",19,9.23,660,7150,1,1,"ofPotentialPtswonFedExCupRegularSeason",2011
42,42,"Scott Verplank",15,9.12,588,6450,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2011
43,43,"Spencer Levin",31,8.95,1025,11450,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2011
44,44,"Scott Stallings",28,8.9,992,11150,1,2,"ofPotentialPtswonFedExCupRegularSeason",2011
45,45,"Shigeki Maruyama",2,8.75,88,1000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2011
