"ApproachPuttPerformance_RANKTHISWEEK_2010","ApproachPuttPerformance_RANKLASTWEEK_2010","ApproachPuttPerformance_PLAYERNAME_2010","ApproachPuttPerformance_ROUNDS_2010","ApproachPuttPerformance_VALUE_2010","ApproachPuttPerformance_ATTEMPTS_2010","ApproachPuttPerformance_TOTALDISTANCEFEET_2010","stat_name","year"
1,1,"Sergio Garcia",58,NA,405,814.417,"ApproachPuttPerformance",2010
2,2,"Ricky Barnes",103,NA,901,1844.667,"ApproachPuttPerformance",2010
2,2,"Jason Bohn",84,NA,806,1683,"ApproachPuttPerformance",2010
2,2,"Ben Curtis",78,NA,740,1532.833,"ApproachPuttPerformance",2010
2,2,"Brendon de Jonge",114,NA,1023,2167.917,"ApproachPuttPerformance",2010
2,2,"Chris DiMarco",88,NA,841,1771.417,"ApproachPuttPerformance",2010
2,2,"Ernie Els",72,NA,577,1208.25,"ApproachPuttPerformance",2010
2,2,"Jim Furyk",76,NA,624,1320.25,"ApproachPuttPerformance",2010
2,2,"Retief Goosen",75,NA,549,1164,"ApproachPuttPerformance",2010
2,2,"Bill Haas",87,NA,837,1769.333,"ApproachPuttPerformance",2010
2,2,"Padraig Harrington",57,NA,444,942.25,"ApproachPuttPerformance",2010
2,2,"JJ Henry",92,NA,903,1868.583,"ApproachPuttPerformance",2010
2,2,"Charles Howell III",103,NA,974,2024,"ApproachPuttPerformance",2010
2,2,"Carl Pettersson",99,NA,845,1792.833,"ApproachPuttPerformance",2010
2,2,"Jeev Milkha Singh",59,NA,561,1157.167,"ApproachPuttPerformance",2010
2,2,"Kevin Stadler",86,NA,799,1636,"ApproachPuttPerformance",2010
2,2,"Kevin Sutherland",86,NA,911,1909.25,"ApproachPuttPerformance",2010
18,18,"Craig Bowden",56,NA,535,1180.5,"ApproachPuttPerformance",2010
18,18,"Chad Campbell",95,NA,910,1938.25,"ApproachPuttPerformance",2010
18,18,"Paul Casey",64,NA,462,1003.75,"ApproachPuttPerformance",2010
18,18,"Stewart Cink",84,NA,697,1522.75,"ApproachPuttPerformance",2010
18,18,"Luke Donald",71,NA,529,1138.333,"ApproachPuttPerformance",2010
18,18,"Joe Durant",67,NA,654,1438.083,"ApproachPuttPerformance",2010
18,18,"Bob Estes",79,NA,791,1730.25,"ApproachPuttPerformance",2010
18,18,"Trevor Immelman",55,NA,484,1031.333,"ApproachPuttPerformance",2010
18,18,"Matt Jones",89,NA,830,1813,"ApproachPuttPerformance",2010
18,18,"Justin Leonard",89,NA,765,1633.333,"ApproachPuttPerformance",2010
18,18,"Spencer Levin",110,NA,1079,2295.917,"ApproachPuttPerformance",2010
18,18,"Jarrod Lyle",54,NA,500,1098.25,"ApproachPuttPerformance",2010
18,18,"Rocco Mediate",71,NA,711,1553.417,"ApproachPuttPerformance",2010
18,18,"John Merrick",109,NA,1060,2271.75,"ApproachPuttPerformance",2010
18,18,"Tim Petrovic",105,NA,1035,2280.833,"ApproachPuttPerformance",2010
18,18,"Chris Riley",73,NA,675,1448.417,"ApproachPuttPerformance",2010
18,18,"Adam Scott",70,NA,578,1258.583,"ApproachPuttPerformance",2010
18,18,"Vijay Singh",75,NA,632,1345.667,"ApproachPuttPerformance",2010
18,18,"Steve Stricker",73,NA,581,1266.667,"ApproachPuttPerformance",2010
18,18,"Roger Tambellini",77,NA,746,1645.417,"ApproachPuttPerformance",2010
18,18,"Camilo Villegas",78,NA,605,1329.667,"ApproachPuttPerformance",2010
18,18,"Mike Weir",59,NA,385,822.75,"ApproachPuttPerformance",2010
40,40,"Robert Allenby",76,NA,665,1519.083,"ApproachPuttPerformance",2010
40,40,"Stuart Appleby",101,NA,937,2107.667,"ApproachPuttPerformance",2010
40,40,"Michael Bradley",77,NA,765,1711.5,"ApproachPuttPerformance",2010
40,40,"Jonathan Byrd",85,NA,909,2046.417,"ApproachPuttPerformance",2010
40,40,"Greg Chalmers",93,NA,892,2043.333,"ApproachPuttPerformance",2010
40,40,"Chad Collins",87,NA,769,1704,"ApproachPuttPerformance",2010
40,40,"Steve Elkington",74,NA,650,1467.667,"ApproachPuttPerformance",2010
40,40,"Matt Every",60,NA,537,1220.917,"ApproachPuttPerformance",2010
40,40,"Rickie Fowler",98,NA,891,2019.083,"ApproachPuttPerformance",2010
40,40,"Brian Gay",101,NA,804,1783.917,"ApproachPuttPerformance",2010
40,40,"Jeff Gove",57,NA,530,1176.75,"ApproachPuttPerformance",2010
40,40,"JP Hayes",79,NA,733,1658.5,"ApproachPuttPerformance",2010
40,40,"Ryuji Imada",90,NA,851,1917.917,"ApproachPuttPerformance",2010
40,40,"Lee Janzen",77,NA,768,1740.583,"ApproachPuttPerformance",2010
40,40,"Zach Johnson",93,NA,768,1706.583,"ApproachPuttPerformance",2010
40,40,"Richard Johnson",90,NA,825,1887.75,"ApproachPuttPerformance",2010
40,40,"Dustin Johnson",83,NA,667,1503.333,"ApproachPuttPerformance",2010
40,40,"Jerry Kelly",99,NA,920,2055.25,"ApproachPuttPerformance",2010
