"Total3PuttsInside5_RANKTHISWEEK_2009","Total3PuttsInside5_RANKLASTWEEK_2009","Total3PuttsInside5_PLAYERNAME_2009","Total3PuttsInside5_ROUNDS_2009","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2009","Total3PuttsInside5_TOTAL3PUTTS_2009","stat_name","year"
1,1,"Kirk Triplett",60,4,58,"Total3PuttsInside5",2009
2,2,"Brian Davis",103,3,54,"Total3PuttsInside5",2009
2,2,"Will Ma Kenzie",69,3,51,"Total3PuttsInside5",2009
4,4,"Stuart Appleby",79,2,38,"Total3PuttsInside5",2009
4,4,"Jonathan Byrd",89,2,54,"Total3PuttsInside5",2009
4,4,"Brad Faxon",59,2,14,"Total3PuttsInside5",2009
4,4,"Jason Gore",74,2,51,"Total3PuttsInside5",2009
4,4,"Ted Purdy",101,2,61,"Total3PuttsInside5",2009
9,9,"Tommy Armour III",58,1,19,"Total3PuttsInside5",2009
9,9,"Woody Austin",84,1,45,"Total3PuttsInside5",2009
9,9,"Aaron Baddeley",66,1,24,"Total3PuttsInside5",2009
9,9,"Ricky Barnes",67,1,39,"Total3PuttsInside5",2009
9,9,"Mark Brooks",55,1,23,"Total3PuttsInside5",2009
9,9,"Angel Cabrera",55,1,24,"Total3PuttsInside5",2009
9,9,"Mark Calcavecchia",72,1,52,"Total3PuttsInside5",2009
9,9,"Alex Cejka",82,1,40,"Total3PuttsInside5",2009
9,9,"KJ Choi",65,1,20,"Total3PuttsInside5",2009
9,9,"Daniel Chopra",89,1,42,"Total3PuttsInside5",2009
9,9,"Fred Couples",54,1,29,"Total3PuttsInside5",2009
9,9,"Jason Day",61,1,27,"Total3PuttsInside5",2009
9,9,"Steve Elkington",70,1,29,"Total3PuttsInside5",2009
9,9,"Ernie Els",70,1,29,"Total3PuttsInside5",2009
9,9,"Derek Fathauer",63,1,34,"Total3PuttsInside5",2009
9,9,"Brian Gay",96,1,26,"Total3PuttsInside5",2009
9,9,"Todd Hamilton",83,1,32,"Total3PuttsInside5",2009
9,9,"Tim Herron",87,1,43,"Total3PuttsInside5",2009
9,9,"Charley Hoffman",97,1,41,"Total3PuttsInside5",2009
9,9,"JB Holmes",74,1,50,"Total3PuttsInside5",2009
9,9,"Charles Howell III",99,1,31,"Total3PuttsInside5",2009
9,9,"Lee Janzen",74,1,31,"Total3PuttsInside5",2009
9,9,"Dustin Johnson",85,1,28,"Total3PuttsInside5",2009
9,9,"Anthony Kim",76,1,28,"Total3PuttsInside5",2009
9,9,"Spencer Levin",75,1,25,"Total3PuttsInside5",2009
9,9,"Bill Lunde",83,1,49,"Total3PuttsInside5",2009
9,9,"Hunter Mahan",94,1,40,"Total3PuttsInside5",2009
9,9,"Scott McCarron",91,1,33,"Total3PuttsInside5",2009
9,9,"Carl Pettersson",86,1,28,"Total3PuttsInside5",2009
9,9,"Scott Piercy",85,1,44,"Total3PuttsInside5",2009
9,9,"DA Points",99,1,55,"Total3PuttsInside5",2009
9,9,"Aron Price",89,1,50,"Total3PuttsInside5",2009
9,9,"Andres Romero",58,1,29,"Total3PuttsInside5",2009
9,9,"Rory Sabbatini",81,1,27,"Total3PuttsInside5",2009
9,9,"Adam Scott",53,1,31,"Total3PuttsInside5",2009
9,9,"Vijay Singh",71,1,36,"Total3PuttsInside5",2009
9,9,"Heath Slocum",95,1,52,"Total3PuttsInside5",2009
9,9,"Kevin Stadler",65,1,33,"Total3PuttsInside5",2009
9,9,"Kevin Streelman",97,1,55,"Total3PuttsInside5",2009
9,9,"Kevin Sutherland",96,1,38,"Total3PuttsInside5",2009
9,9,"Nicholas Thompson",96,1,77,"Total3PuttsInside5",2009
9,9,"Brendon Todd",53,1,33,"Total3PuttsInside5",2009
9,9,"David Toms",98,1,33,"Total3PuttsInside5",2009
9,9,"Marc Turnesa",77,1,48,"Total3PuttsInside5",2009
9,9,"Bo Van Pelt",100,1,47,"Total3PuttsInside5",2009
9,9,"Scott Verplank",88,1,26,"Total3PuttsInside5",2009
9,9,"Camilo Villegas",76,1,34,"Total3PuttsInside5",2009
9,9,"Boo Weekley",79,1,41,"Total3PuttsInside5",2009
9,9,"Charlie Wi",92,1,22,"Total3PuttsInside5",2009
9,9,"Dean Wilson",81,1,34,"Total3PuttsInside5",2009
9,9,"Mark Wilson",99,1,45,"Total3PuttsInside5",2009
9,9,"Casey Wittenberg",71,1,33,"Total3PuttsInside5",2009
