"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2016","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2016","AverageDistanceafterGoingforitShot_PLAYERNAME_2016","AverageDistanceafterGoingforitShot_ROUNDS_2016","AverageDistanceafterGoingforitShot_AVG_2016","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2016","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2016","stat_name","year"
1,3,"Ken Duke",26,20.9,14288,19,"AverageDistanceafterGoingforitShot",2016
2,5,"Dustin Johnson",37,21.2,52004,68,"AverageDistanceafterGoingforitShot",2016
3,2,"Thomas Aiken",42,21.3,32932,43,"AverageDistanceafterGoingforitShot",2016
4,4,"Justin Thomas",53,21.4,67922,88,"AverageDistanceafterGoingforitShot",2016
5,8,"Bubba Watson",30,21.5,48069,62,"AverageDistanceafterGoingforitShot",2016
6,14,"Jason Kokrak",52,21.6,88798,114,"AverageDistanceafterGoingforitShot",2016
7,12,"Branden Grace",31,21.7,28106,36,"AverageDistanceafterGoingforitShot",2016
7,11,"Gary Woodland",45,21.7,75119,96,"AverageDistanceafterGoingforitShot",2016
9,14,"Matt Kuchar",46,21.8,40058,51,"AverageDistanceafterGoingforitShot",2016
9,26,"Luke List",51,21.8,87990,112,"AverageDistanceafterGoingforitShot",2016
9,5,"Ollie Schniederjans",23,21.8,44676,57,"AverageDistanceafterGoingforitShot",2016
12,14,"Camilo Villegas",50,21.9,57583,73,"AverageDistanceafterGoingforitShot",2016
13,19,"Miguel Angel Carballo",24,22,20600,26,"AverageDistanceafterGoingforitShot",2016
14,21,"Marc Leishman",41,22.1,46108,58,"AverageDistanceafterGoingforitShot",2016
14,21,"Jordan Spieth",34,22.1,42897,54,"AverageDistanceafterGoingforitShot",2016
16,12,"Chad Campbell",54,22.2,67936,85,"AverageDistanceafterGoingforitShot",2016
16,7,"Brett Stegmaier",57,22.2,78190,98,"AverageDistanceafterGoingforitShot",2016
18,24,"Zach Johnson",42,22.3,41664,52,"AverageDistanceafterGoingforitShot",2016
18,24,"Hudson Swafford",52,22.3,69985,87,"AverageDistanceafterGoingforitShot",2016
20,43,"Rory McIlroy",37,22.4,62806,78,"AverageDistanceafterGoingforitShot",2016
21,8,"Daniel Berger",52,22.5,72759,90,"AverageDistanceafterGoingforitShot",2016
21,19,"Hideki Matsuyama",40,22.5,59826,74,"AverageDistanceafterGoingforitShot",2016
21,48,"DA Points",32,22.5,24346,30,"AverageDistanceafterGoingforitShot",2016
21,8,"Harold Varner III",58,22.5,98864,122,"AverageDistanceafterGoingforitShot",2016
25,36,"Fabian Gomez",49,22.8,81376,99,"AverageDistanceafterGoingforitShot",2016
25,33,"Ryan Palmer",46,22.8,87689,107,"AverageDistanceafterGoingforitShot",2016
27,31,"Patton Kizzire",57,22.9,71788,87,"AverageDistanceafterGoingforitShot",2016
28,26,"Webb Simpson",34,23,53759,65,"AverageDistanceafterGoingforitShot",2016
29,36,"Jason Dufner",53,23.1,55658,67,"AverageDistanceafterGoingforitShot",2016
30,45,"Will Wilcox",47,23.2,68428,82,"AverageDistanceafterGoingforitShot",2016
31,14,"Tyler Aldridge",53,23.3,51098,61,"AverageDistanceafterGoingforitShot",2016
31,42,"Wes Roach",33,23.3,34432,41,"AverageDistanceafterGoingforitShot",2016
33,36,"Tony Finau",49,23.4,96229,114,"AverageDistanceafterGoingforitShot",2016
34,39,"Lucas Glover",53,23.5,87957,104,"AverageDistanceafterGoingforitShot",2016
34,45,"Russell Henley",42,23.5,60922,72,"AverageDistanceafterGoingforitShot",2016
