"ConsecutiveSandSaves_RANKTHISWEEK_2015","ConsecutiveSandSaves_RANKLASTWEEK_2015","ConsecutiveSandSaves_PLAYERNAME_2015","ConsecutiveSandSaves_EVENTS_2015","ConsecutiveSandSaves_STREAK_2015","ConsecutiveSandSaves_CURRENTSTREAK_2015","ConsecutiveSandSaves_ROUND_2015","ConsecutiveSandSaves_HOLE_2015","ConsecutiveSandSaves_YEARTOURN_2015","stat_name","year"
1,1,"Brendon Todd",27,15,NA,1,17,2015030,"ConsecutiveSandSaves",2015
2,2,"Roberto Castro",16,12,3,4,7,2015180,"ConsecutiveSandSaves",2015
3,3,"Brian Davis",31,11,NA,2,14,2015070,"ConsecutiveSandSaves",2015
3,3,"Brian Harman",29,11,2,1,2,2015100,"ConsecutiveSandSaves",2015
3,3,"Andrew Loupe",15,11,NA,2,15,2015370,"ConsecutiveSandSaves",2015
3,3,"Rod Pampling",10,11,NA,3,7,2015180,"ConsecutiveSandSaves",2015
3,3,"Cameron Smith",13,11,1,3,5,2015150,"ConsecutiveSandSaves",2015
8,8,"Zac Blair",34,10,1,1,12,2015300,"ConsecutiveSandSaves",2015
8,8,"Steven Bowditch",32,10,7,2,12,2015040,"ConsecutiveSandSaves",2015
8,8,"Jonathan Byrd",22,10,NA,2,13,2015030,"ConsecutiveSandSaves",2015
8,8,"Tim Clark",13,10,10,2,18,2015400,"ConsecutiveSandSaves",2015
8,8,"Tommy Gainey",9,10,10,3,18,2015260,"ConsecutiveSandSaves",2015
8,8,"Alexander Levy",8,10,1,1,9,2015340,"ConsecutiveSandSaves",2015
8,8,"Pat Perez",26,10,5,3,16,2015110,"ConsecutiveSandSaves",2015
8,8,"Patrick Reed",27,10,NA,3,18,2015150,"ConsecutiveSandSaves",2015
16,16,"Aaron Baddeley",25,9,NA,2,8,2015370,"ConsecutiveSandSaves",2015
16,16,"KJ Choi",19,9,NA,4,8,2015280,"ConsecutiveSandSaves",2015
16,16,"Chad Collins",24,9,NA,1,9,2015110,"ConsecutiveSandSaves",2015
16,16,"Luke Donald",20,9,1,2,13,2015190,"ConsecutiveSandSaves",2015
16,16,"Matt Every",26,9,NA,4,5,2015220,"ConsecutiveSandSaves",2015
16,16,"Zach Johnson",25,9,1,1,1,2015220,"ConsecutiveSandSaves",2015
16,16,"Colt Knost",29,9,5,2,12,2015120,"ConsecutiveSandSaves",2015
16,16,"George McNeill",27,9,NA,4,5,2015290,"ConsecutiveSandSaves",2015
16,16,"Ryan Moore",24,9,1,2,2,2015370,"ConsecutiveSandSaves",2015
