"BounceBack_RANKTHISWEEK_2005","BounceBack_RANKLASTWEEK_2005","BounceBack_PLAYERNAME_2005","BounceBack_ROUNDS_2005","BounceBack_Pct_2005","stat_name","year"
1,1,"Dan Forsman",52,30.3,"BounceBack",2005
2,2,"Sergio Garcia",73,28,"BounceBack",2005
3,3,"Vijay Singh",111,27.83,"BounceBack",2005
4,4,"Fred Couples",72,26.83,"BounceBack",2005
5,5,"Geoff Ogilvy",97,26.38,"BounceBack",2005
6,6,"Woody Austin",100,25.08,"BounceBack",2005
7,7,"DJ Trahan",81,25,"BounceBack",2005
8,8,"Bob Heintz",67,24.88,"BounceBack",2005
9,9,"John Cook",72,24.78,"BounceBack",2005
10,10,"Chris Smith",93,24.74,"BounceBack",2005
11,11,"Jonathan Kaye",77,24.66,"BounceBack",2005
12,12,"David Toms",87,24.51,"BounceBack",2005
13,13,"Tim Clark",92,24.5,"BounceBack",2005
14,14,"John Senden",101,24.49,"BounceBack",2005
15,15,"Hunter Haas",83,24.46,"BounceBack",2005
16,16,"Brad Faxon",75,24.41,"BounceBack",2005
17,17,"Tiger Woods",76,24.4,"BounceBack",2005
18,18,"Davis Love III",80,24.26,"BounceBack",2005
19,19,"Brenden Pappas",51,24.07,"BounceBack",2005
20,20,"Corey Pavin",77,23.98,"BounceBack",2005
21,21,"Ben Crane",78,23.92,"BounceBack",2005
22,22,"Scott Verplank",87,23.91,"BounceBack",2005
23,23,"Alex Cejka",84,23.72,"BounceBack",2005
24,24,"Heath Slocum",103,23.58,"BounceBack",2005
25,25,"Adam Scott",72,23.35,"BounceBack",2005
26,26,"John Huston",90,23.28,"BounceBack",2005
27,27,"Kent Jones",99,23.26,"BounceBack",2005
28,28,"Cameron Beckman",96,23.13,"BounceBack",2005
28,28,"Tag Ridings",93,23.13,"BounceBack",2005
30,30,"Ryan Palmer",101,23.02,"BounceBack",2005
31,31,"Darron Stiles",78,22.93,"BounceBack",2005
32,32,"Scott Hend",75,22.88,"BounceBack",2005
33,33,"Tim Herron",100,22.81,"BounceBack",2005
34,34,"Joe Ogilvie",103,22.73,"BounceBack",2005
35,35,"Patrick Sheehan",114,22.69,"BounceBack",2005
36,36,"Brian Davis",75,22.67,"BounceBack",2005
37,37,"Ian Poulter",62,22.63,"BounceBack",2005
38,38,"Robert Allenby",95,22.61,"BounceBack",2005
39,39,"Hunter Mahan",103,22.51,"BounceBack",2005
40,40,"Justin Bolli",65,22.44,"BounceBack",2005
41,41,"Briny Baird",98,22.35,"BounceBack",2005
42,42,"Padraig Harrington",50,22.09,"BounceBack",2005
43,43,"Chris Anderson",66,22.06,"BounceBack",2005
44,44,"Joey Snyder III",102,21.95,"BounceBack",2005
45,45,"Lucas Glover",88,21.85,"BounceBack",2005
46,46,"Frank Lickliter II",100,21.84,"BounceBack",2005
47,47,"Jeff Brehaut",71,21.82,"BounceBack",2005
48,48,"Vaughn Taylor",99,21.68,"BounceBack",2005
49,49,"Charles Howell III",95,21.54,"BounceBack",2005
50,50,"KJ Choi",78,21.33,"BounceBack",2005
51,51,"Retief Goosen",71,21.3,"BounceBack",2005
52,52,"Phil Mickelson",81,21.28,"BounceBack",2005
53,53,"Harrison Frazar",105,21.25,"BounceBack",2005
53,53,"Glen Hnatiuk",59,21.25,"BounceBack",2005
55,55,"Jim Furyk",94,21.18,"BounceBack",2005
56,56,"Lee Janzen",75,21.15,"BounceBack",2005
57,57,"Tom Gillis",77,21.12,"BounceBack",2005
58,58,"Ted Purdy",122,21.11,"BounceBack",2005
59,59,"David Hearn",68,21.03,"BounceBack",2005
60,60,"Bo Van Pelt",112,20.89,"BounceBack",2005
61,61,"Freddie Jacobson",72,20.83,"BounceBack",2005
62,62,"Carl Pettersson",109,20.74,"BounceBack",2005
63,63,"Nick Watney",91,20.73,"BounceBack",2005
64,64,"Todd Fischer",99,20.69,"BounceBack",2005
64,64,"Steve Stricker",62,20.69,"BounceBack",2005
66,66,"Loren Roberts",54,20.61,"BounceBack",2005
67,67,"Brian Bateman",98,20.54,"BounceBack",2005
68,68,"Jeff Maggert",79,20.44,"BounceBack",2005
69,69,"DA Points",94,20.3,"BounceBack",2005
70,70,"Bart Bryant",91,20.25,"BounceBack",2005
70,70,"Jesper Parnevik",84,20.25,"BounceBack",2005
72,72,"Aaron Baddeley",84,20.24,"BounceBack",2005
73,73,"Shigeki Maruyama",99,20.23,"BounceBack",2005
73,73,"Mario Tiziani",67,20.23,"BounceBack",2005
75,75,"Bernhard Langer",67,20.2,"BounceBack",2005
76,76,"Paul Azinger",66,20.18,"BounceBack",2005
77,77,"JP Hayes",63,20.11,"BounceBack",2005
78,78,"Matt Davidson",53,20.1,"BounceBack",2005
79,79,"Michael Long",72,20.09,"BounceBack",2005
80,80,"Steve Flesch",90,20.07,"BounceBack",2005
80,80,"Neal Lancaster",95,20.07,"BounceBack",2005
82,82,"Carlos Franco",78,20,"BounceBack",2005
82,82,"Zach Johnson",96,20,"BounceBack",2005
82,82,"Scott McCarron",78,20,"BounceBack",2005
82,82,"Kevin Stadler",96,20,"BounceBack",2005
86,86,"Chris DiMarco",83,19.9,"BounceBack",2005
86,86,"Dudley Hart",84,19.9,"BounceBack",2005
88,88,"Jay Haas",54,19.88,"BounceBack",2005
89,89,"Rod Pampling",89,19.84,"BounceBack",2005
90,90,"Olin Browne",99,19.83,"BounceBack",2005
91,91,"Mark Hensby",70,19.75,"BounceBack",2005
92,92,"Marco Dawson",82,19.72,"BounceBack",2005
93,93,"Jerry Kelly",101,19.71,"BounceBack",2005
94,94,"Larry Mize",54,19.63,"BounceBack",2005
95,95,"Arron Oberholser",65,19.53,"BounceBack",2005
96,96,"Jonathan Byrd",103,19.52,"BounceBack",2005
97,97,"Robert Gamez",91,19.49,"BounceBack",2005
98,98,"DJ Brigman",76,19.47,"BounceBack",2005
98,98,"John Daly",78,19.47,"BounceBack",2005
