"SandSavesfrom_RANKTHISWEEK_2007","SandSavesfrom_RANKLASTWEEK_2007","SandSavesfrom_PLAYERNAME_2007","SandSavesfrom_ROUNDS_2007","SandSavesfrom_Pct_2007","SandSavesfrom_OFSAVES_2007","SandSavesfrom_OFBUNKERS_2007","stat_name","year"
1,1,"Jason Bohn",57,100,1,1,"SandSavesfrom",2007
1,1,"Andrew Buckle",77,100,5,5,"SandSavesfrom",2007
1,1,"Brian Davis",101,100,3,3,"SandSavesfrom",2007
1,1,"Mathias Gronberg",95,100,6,6,"SandSavesfrom",2007
1,1,"Jerry Kelly",101,100,4,4,"SandSavesfrom",2007
1,1,"Anthony Kim",93,100,10,10,"SandSavesfrom",2007
1,1,"Rocco Mediate",72,100,3,3,"SandSavesfrom",2007
1,1,"Michael Sim",52,100,4,4,"SandSavesfrom",2007
1,1,"Kevin Stadler",95,100,8,8,"SandSavesfrom",2007
1,1,"Chris Tidland",59,100,5,5,"SandSavesfrom",2007
11,11,"Jeff Quinney",95,90,9,10,"SandSavesfrom",2007
12,12,"Tim Clark",66,88.89,8,9,"SandSavesfrom",2007
12,12,"Gavin Coles",87,88.89,8,9,"SandSavesfrom",2007
14,14,"Glen Day",85,87.5,7,8,"SandSavesfrom",2007
14,14,"Fred Funk",65,87.5,7,8,"SandSavesfrom",2007
16,16,"Pat Perez",84,85.71,6,7,"SandSavesfrom",2007
16,16,"Paul Stankowski",52,85.71,6,7,"SandSavesfrom",2007
16,16,"David Toms",80,85.71,6,7,"SandSavesfrom",2007
19,19,"Eric Axley",107,83.33,5,6,"SandSavesfrom",2007
19,19,"Luke Donald",69,83.33,5,6,"SandSavesfrom",2007
19,19,"Paul Gow",70,83.33,5,6,"SandSavesfrom",2007
22,22,"Ken Duke",112,81.82,9,11,"SandSavesfrom",2007
22,22,"Dicky Pride",71,81.82,9,11,"SandSavesfrom",2007
24,24,"Craig Bowden",78,80,8,10,"SandSavesfrom",2007
24,24,"Michael Boyd",61,80,4,5,"SandSavesfrom",2007
24,24,"Paul Goydos",60,80,4,5,"SandSavesfrom",2007
24,24,"Carl Pettersson",111,80,12,15,"SandSavesfrom",2007
24,24,"Vijay Singh",102,80,8,10,"SandSavesfrom",2007
24,24,"Jeff Sluman",60,80,8,10,"SandSavesfrom",2007
24,24,"Henrik Stenson",52,80,4,5,"SandSavesfrom",2007
31,31,"Stuart Appleby",74,78.57,11,14,"SandSavesfrom",2007
32,32,"Bart Bryant",87,77.78,7,9,"SandSavesfrom",2007
32,32,"Jason Gore",86,77.78,7,9,"SandSavesfrom",2007
34,34,"Scott Verplank",82,76.92,10,13,"SandSavesfrom",2007
35,35,"Tim Petrovic",106,76.47,13,17,"SandSavesfrom",2007
36,36,"Billy Andrade",88,75,6,8,"SandSavesfrom",2007
36,36,"Daniel Chopra",106,75,12,16,"SandSavesfrom",2007
36,36,"Tom Lehman",62,75,3,4,"SandSavesfrom",2007
36,36,"Billy Mayfair",98,75,6,8,"SandSavesfrom",2007
36,36,"Kevin Na",84,75,6,8,"SandSavesfrom",2007
36,36,"Arron Oberholser",69,75,6,8,"SandSavesfrom",2007
36,36,"Jesper Parnevik",88,75,3,4,"SandSavesfrom",2007
36,36,"Justin Rose",63,75,3,4,"SandSavesfrom",2007
36,36,"Rory Sabbatini",81,75,6,8,"SandSavesfrom",2007
36,36,"Jaco Van Zyl",51,75,3,4,"SandSavesfrom",2007
36,36,"Steve Wheatcroft",73,75,3,4,"SandSavesfrom",2007
36,36,"Jay Williamson",50,75,3,4,"SandSavesfrom",2007
48,48,"Steve Flesch",100,72.73,8,11,"SandSavesfrom",2007
48,48,"Steve Stricker",81,72.73,8,11,"SandSavesfrom",2007
48,48,"Mark Wilson",87,72.73,8,11,"SandSavesfrom",2007
51,51,"Tom Pernice Jr",104,72.22,13,18,"SandSavesfrom",2007
52,52,"Charles Howell III",89,71.43,5,7,"SandSavesfrom",2007
52,52,"Tripp Isenhour",86,71.43,5,7,"SandSavesfrom",2007
52,52,"Stephen Leaney",82,71.43,5,7,"SandSavesfrom",2007
52,52,"Craig Lile",77,71.43,5,7,"SandSavesfrom",2007
56,56,"John Senden",97,70,7,10,"SandSavesfrom",2007
57,57,"Mathew Goggin",97,69.23,9,13,"SandSavesfrom",2007
58,58,"Mark Hensby",81,68.75,11,16,"SandSavesfrom",2007
59,59,"Stephen Ames",81,66.67,2,3,"SandSavesfrom",2007
59,59,"Cameron Beckman",96,66.67,6,9,"SandSavesfrom",2007
59,59,"Rich Beem",89,66.67,2,3,"SandSavesfrom",2007
59,59,"Tom Byrum",50,66.67,4,6,"SandSavesfrom",2007
59,59,"Harrison Frazar",88,66.67,12,18,"SandSavesfrom",2007
59,59,"Brian Gay",107,66.67,10,15,"SandSavesfrom",2007
59,59,"Anders Hansen",55,66.67,2,3,"SandSavesfrom",2007
59,59,"Matt Hendrix",63,66.67,2,3,"SandSavesfrom",2007
59,59,"JB Holmes",71,66.67,6,9,"SandSavesfrom",2007
59,59,"Trevor Immelman",74,66.67,4,6,"SandSavesfrom",2007
59,59,"Lee Janzen",66,66.67,4,6,"SandSavesfrom",2007
59,59,"Richard Johnson",93,66.67,4,6,"SandSavesfrom",2007
59,59,"Kent Jones",97,66.67,6,9,"SandSavesfrom",2007
59,59,"Matt Kuchar",85,66.67,6,9,"SandSavesfrom",2007
59,59,"Justin Leonard",95,66.67,8,12,"SandSavesfrom",2007
59,59,"Sean OHair",98,66.67,6,9,"SandSavesfrom",2007
59,59,"Greg Owen",81,66.67,2,3,"SandSavesfrom",2007
59,59,"Corey Pavin",81,66.67,4,6,"SandSavesfrom",2007
59,59,"Kirk Triplett",77,66.67,4,6,"SandSavesfrom",2007
59,59,"Bo Van Pelt",104,66.67,6,9,"SandSavesfrom",2007
59,59,"Charles Warren",101,66.67,6,9,"SandSavesfrom",2007
80,80,"Robert Allenby",90,63.64,7,11,"SandSavesfrom",2007
80,80,"KJ Choi",87,63.64,7,11,"SandSavesfrom",2007
80,80,"Nathan Green",103,63.64,7,11,"SandSavesfrom",2007
80,80,"Hunter Mahan",91,63.64,7,11,"SandSavesfrom",2007
84,84,"Jim Furyk",84,62.5,5,8,"SandSavesfrom",2007
84,84,"Shigeki Maruyama",84,62.5,5,8,"SandSavesfrom",2007
84,84,"Ted Purdy",102,62.5,5,8,"SandSavesfrom",2007
87,87,"Brett Wetterich",88,61.54,8,13,"SandSavesfrom",2007
88,88,"Chad Campbell",96,60,3,5,"SandSavesfrom",2007
88,88,"John Daly",59,60,3,5,"SandSavesfrom",2007
88,88,"Ernie Els",59,60,6,10,"SandSavesfrom",2007
