"FairwayApproachRTPScore_RANKTHISWEEK_2011","FairwayApproachRTPScore_RANKLASTWEEK_2011","FairwayApproachRTPScore_PLAYERNAME_2011","FairwayApproachRTPScore_ROUNDS_2011","FairwayApproachRTPScore_AVGRTP_2011","stat_name","year"
1,1,"Webb Simpson",98,-0.189,"FairwayApproachRTPScore",2011
2,2,"Jason Day",76,-0.17,"FairwayApproachRTPScore",2011
3,3,"Steve Stricker",70,-0.165,"FairwayApproachRTPScore",2011
4,4,"Nick Watney",80,-0.163,"FairwayApproachRTPScore",2011
5,5,"Luke Donald",73,-0.158,"FairwayApproachRTPScore",2011
6,6,"Aaron Baddeley",77,-0.153,"FairwayApproachRTPScore",2011
7,7,"Matt Kuchar",94,-0.146,"FairwayApproachRTPScore",2011
8,8,"Hunter Mahan",92,-0.138,"FairwayApproachRTPScore",2011
9,9,"Martin Laird",77,-0.129,"FairwayApproachRTPScore",2011
10,10,"Charley Hoffman",93,-0.128,"FairwayApproachRTPScore",2011
11,11,"David Toms",78,-0.125,"FairwayApproachRTPScore",2011
12,12,"Justin Rose",79,-0.124,"FairwayApproachRTPScore",2011
12,12,"John Senden",94,-0.124,"FairwayApproachRTPScore",2011
14,14,"Gary Woodland",93,-0.123,"FairwayApproachRTPScore",2011
15,15,"Zach Johnson",79,-0.122,"FairwayApproachRTPScore",2011
16,16,"Chris Kirk",87,-0.12,"FairwayApproachRTPScore",2011
17,17,"Robert Allenby",84,-0.119,"FairwayApproachRTPScore",2011
18,18,"Charles Howell III",108,-0.118,"FairwayApproachRTPScore",2011
19,19,"Dustin Johnson",72,-0.117,"FairwayApproachRTPScore",2011
19,19,"Brandt Snedeker",85,-0.117,"FairwayApproachRTPScore",2011
21,21,"Phil Mickelson",79,-0.116,"FairwayApproachRTPScore",2011
21,21,"Bo Van Pelt",92,-0.116,"FairwayApproachRTPScore",2011
23,23,"Brendon de Jonge",105,-0.11,"FairwayApproachRTPScore",2011
24,24,"KJ Choi",77,-0.109,"FairwayApproachRTPScore",2011
24,24,"Bill Haas",93,-0.109,"FairwayApproachRTPScore",2011
24,24,"Scott Piercy",78,-0.109,"FairwayApproachRTPScore",2011
27,27,"Andres Romero",77,-0.108,"FairwayApproachRTPScore",2011
27,27,"Bubba Watson",85,-0.108,"FairwayApproachRTPScore",2011
29,29,"Jonathan Byrd",83,-0.107,"FairwayApproachRTPScore",2011
29,29,"Jerry Kelly",85,-0.107,"FairwayApproachRTPScore",2011
29,29,"Adam Scott",60,-0.107,"FairwayApproachRTPScore",2011
32,32,"Bryce Molder",82,-0.106,"FairwayApproachRTPScore",2011
32,32,"Charl Schwartzel",58,-0.106,"FairwayApproachRTPScore",2011
34,34,"David Hearn",88,-0.105,"FairwayApproachRTPScore",2011
34,34,"Davis Love III",70,-0.105,"FairwayApproachRTPScore",2011
36,36,"Kevin Na",84,-0.104,"FairwayApproachRTPScore",2011
37,37,"John Rollins",85,-0.103,"FairwayApproachRTPScore",2011
37,37,"Kevin Streelman",90,-0.103,"FairwayApproachRTPScore",2011
39,39,"Ryan Moore",79,-0.102,"FairwayApproachRTPScore",2011
40,40,"Mark Wilson",89,-0.101,"FairwayApproachRTPScore",2011
41,41,"Woody Austin",59,-0.1,"FairwayApproachRTPScore",2011
42,42,"Brandt Jobe",100,-0.098,"FairwayApproachRTPScore",2011
42,42,"Spencer Levin",113,-0.098,"FairwayApproachRTPScore",2011
44,44,"Briny Baird",60,-0.097,"FairwayApproachRTPScore",2011
44,44,"Ernie Els",71,-0.097,"FairwayApproachRTPScore",2011
44,44,"Rickie Fowler",84,-0.097,"FairwayApproachRTPScore",2011
44,44,"Lucas Glover",74,-0.097,"FairwayApproachRTPScore",2011
48,48,"Robert Karlsson",61,-0.096,"FairwayApproachRTPScore",2011
49,49,"Chad Campbell",99,-0.095,"FairwayApproachRTPScore",2011
49,49,"Brian Davis",105,-0.095,"FairwayApproachRTPScore",2011
51,51,"Angel Cabrera",50,-0.093,"FairwayApproachRTPScore",2011
51,51,"Carl Pettersson",95,-0.093,"FairwayApproachRTPScore",2011
53,53,"Chez Reavie",92,-0.091,"FairwayApproachRTPScore",2011
53,53,"Kyle Stanley",98,-0.091,"FairwayApproachRTPScore",2011
55,55,"Freddie Jacobson",92,-0.09,"FairwayApproachRTPScore",2011
56,56,"Jim Furyk",87,-0.089,"FairwayApproachRTPScore",2011
56,56,"Vijay Singh",79,-0.089,"FairwayApproachRTPScore",2011
58,58,"Jason Bohn",74,-0.088,"FairwayApproachRTPScore",2011
58,58,"Jimmy Walker",79,-0.088,"FairwayApproachRTPScore",2011
60,60,"John Merrick",71,-0.086,"FairwayApproachRTPScore",2011
60,60,"Rory Sabbatini",85,-0.086,"FairwayApproachRTPScore",2011
62,62,"Kris Blanks",92,-0.085,"FairwayApproachRTPScore",2011
62,62,"Heath Slocum",89,-0.085,"FairwayApproachRTPScore",2011
62,62,"Brendan Steele",89,-0.085,"FairwayApproachRTPScore",2011
65,65,"Jason Dufner",78,-0.084,"FairwayApproachRTPScore",2011
65,65,"Steve Marino",76,-0.084,"FairwayApproachRTPScore",2011
67,67,"DA Points",89,-0.083,"FairwayApproachRTPScore",2011
68,68,"Blake Adams",116,-0.082,"FairwayApproachRTPScore",2011
68,68,"Greg Chalmers",88,-0.082,"FairwayApproachRTPScore",2011
68,68,"Marc Leishman",87,-0.082,"FairwayApproachRTPScore",2011
68,68,"Jim Renner",65,-0.082,"FairwayApproachRTPScore",2011
72,72,"JB Holmes",57,-0.081,"FairwayApproachRTPScore",2011
73,73,"Rod Pampling",72,-0.08,"FairwayApproachRTPScore",2011
74,74,"Brian Gay",90,-0.079,"FairwayApproachRTPScore",2011
75,75,"Tommy Gainey",104,-0.078,"FairwayApproachRTPScore",2011
75,75,"Bill Lunde",92,-0.078,"FairwayApproachRTPScore",2011
75,75,"Michael Thompson",79,-0.078,"FairwayApproachRTPScore",2011
75,75,"Camilo Villegas",69,-0.078,"FairwayApproachRTPScore",2011
79,79,"Stewart Cink",72,-0.077,"FairwayApproachRTPScore",2011
79,79,"Chris Couch",73,-0.077,"FairwayApproachRTPScore",2011
79,79,"Ben Crane",76,-0.077,"FairwayApproachRTPScore",2011
79,79,"Sergio Garcia",61,-0.077,"FairwayApproachRTPScore",2011
79,79,"Ben Martin",74,-0.077,"FairwayApproachRTPScore",2011
79,79,"Geoff Ogilvy",69,-0.077,"FairwayApproachRTPScore",2011
79,79,"Paul Stankowski",78,-0.077,"FairwayApproachRTPScore",2011
79,79,"Vaughn Taylor",89,-0.077,"FairwayApproachRTPScore",2011
87,87,"Arjun Atwal",91,-0.076,"FairwayApproachRTPScore",2011
87,87,"Graeme McDowell",50,-0.076,"FairwayApproachRTPScore",2011
89,89,"Robert Garrigus",83,-0.075,"FairwayApproachRTPScore",2011
90,90,"Jim Herman",69,-0.074,"FairwayApproachRTPScore",2011
90,90,"Pat Perez",76,-0.074,"FairwayApproachRTPScore",2011
90,90,"Tag Ridings",87,-0.074,"FairwayApproachRTPScore",2011
93,93,"Padraig Harrington",60,-0.073,"FairwayApproachRTPScore",2011
93,93,"Jeff Overton",92,-0.073,"FairwayApproachRTPScore",2011
93,93,"Josh Teater",104,-0.073,"FairwayApproachRTPScore",2011
93,93,"DJ Trahan",91,-0.073,"FairwayApproachRTPScore",2011
97,97,"Troy Matteson",91,-0.072,"FairwayApproachRTPScore",2011
98,98,"Sung Kang",63,-0.071,"FairwayApproachRTPScore",2011
99,99,"Retief Goosen",50,-0.07,"FairwayApproachRTPScore",2011
99,99,"Boo Weekley",66,-0.07,"FairwayApproachRTPScore",2011
101,101,"Ian Poulter",52,-0.069,"FairwayApproachRTPScore",2011
101,101,"Charlie Wi",83,-0.069,"FairwayApproachRTPScore",2011
103,103,"Keegan Bradley",91,-0.068,"FairwayApproachRTPScore",2011
103,103,"Garrett Willis",71,-0.068,"FairwayApproachRTPScore",2011
105,105,"Cameron Tringale",110,-0.067,"FairwayApproachRTPScore",2011
106,106,"Aron Price",58,-0.066,"FairwayApproachRTPScore",2011
106,106,"Scott Stallings",84,-0.066,"FairwayApproachRTPScore",2011
108,108,"Chris DiMarco",93,-0.065,"FairwayApproachRTPScore",2011
108,108,"Hunter Haas",96,-0.065,"FairwayApproachRTPScore",2011
108,108,"Billy Horschel",75,-0.065,"FairwayApproachRTPScore",2011
108,108,"Billy Mayfair",94,-0.065,"FairwayApproachRTPScore",2011
108,108,"Nick OHern",89,-0.065,"FairwayApproachRTPScore",2011
