"TotalPutting_RANKTHISWEEK_2012","TotalPutting_RANKLASTWEEK_2012","TotalPutting_PLAYERNAME_2012","TotalPutting_EVENTS_2012","TotalPutting_TOTAL_2012","stat_name","year"
1,1,"Luke Donald",17,20.7,"TotalPutting",2012
2,2,"Martin Flores",30,65.6,"TotalPutting",2012
3,3,"Brandt Snedeker",22,70,"TotalPutting",2012
4,4,"Carl Pettersson",26,76.6,"TotalPutting",2012
5,5,"Jonas Blixt",21,77.1,"TotalPutting",2012
6,6,"Daniel Chopra",21,80,"TotalPutting",2012
7,7,"Ben Curtis",19,81.2,"TotalPutting",2012
8,8,"Bo Van Pelt",24,83.4,"TotalPutting",2012
9,9,"Matt Kuchar",22,84.7,"TotalPutting",2012
10,10,"Zach Johnson",25,85.8,"TotalPutting",2012
11,11,"Brian Gay",28,89.3,"TotalPutting",2012
12,12,"Greg Chalmers",25,92.6,"TotalPutting",2012
13,13,"Bryce Molder",25,92.8,"TotalPutting",2012
14,14,"Charl Schwartzel",16,93.8,"TotalPutting",2012
15,15,"Jim Furyk",24,94.8,"TotalPutting",2012
16,16,"YE Yang",20,100.9,"TotalPutting",2012
17,17,"Ryan Moore",24,103.3,"TotalPutting",2012
18,18,"Jeff Overton",29,103.5,"TotalPutting",2012
19,19,"Brian Davis",29,104.8,"TotalPutting",2012
20,20,"James Driscoll",27,105.7,"TotalPutting",2012
21,21,"Ben Crane",23,108,"TotalPutting",2012
22,22,"Phil Mickelson",22,109.3,"TotalPutting",2012
23,23,"Gavin Coles",23,111,"TotalPutting",2012
24,24,"David Mathis",29,113.4,"TotalPutting",2012
25,25,"Jimmy Walker",28,114,"TotalPutting",2012
26,26,"Richard Lee",24,114.5,"TotalPutting",2012
27,27,"Aaron Baddeley",22,116.2,"TotalPutting",2012
28,28,"Tiger Woods",19,118.8,"TotalPutting",2012
29,29,"Ryan Palmer",24,124.3,"TotalPutting",2012
30,30,"Sergio Garcia",16,124.8,"TotalPutting",2012
31,31,"William McGirt",30,124.9,"TotalPutting",2012
32,32,"John Huh",28,128.3,"TotalPutting",2012
33,33,"John Daly",15,128.6,"TotalPutting",2012
34,34,"Michael Thompson",25,129.2,"TotalPutting",2012
35,35,"Billy Hurley III",27,129.8,"TotalPutting",2012
36,36,"Brendon Todd",29,130,"TotalPutting",2012
37,37,"Steve Stricker",19,134.1,"TotalPutting",2012
38,38,"Nathan Green",22,134.2,"TotalPutting",2012
39,39,"Tommy Biershenk",27,135.6,"TotalPutting",2012
40,40,"Tommy Gainey",32,137,"TotalPutting",2012
41,41,"Derek Lamely",25,137.7,"TotalPutting",2012
42,42,"Dicky Pride",19,137.8,"TotalPutting",2012
43,43,"John Senden",22,141.2,"TotalPutting",2012
44,44,"Chris Stroud",28,141.4,"TotalPutting",2012
45,45,"Charlie Wi",25,144.2,"TotalPutting",2012
46,46,"Jason Day",17,145.5,"TotalPutting",2012
47,47,"Tom Gillis",23,145.8,"TotalPutting",2012
